cells	samples	cell.types
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B10_S118_comb	Mel79	Mal
Cy71_CD45_G02_S554_comb	Mel71	Mal
cy78_CD45_neg_1_A05_S485_comb	Mel78	Mal
cy81_Bulk_CD45_neg_C03_S123_comb	Mel81	Mal
cy79_p4_CD45_neg_PDL1_neg_C03_S1083_comb	Mel79	Mal
cy94_cd45neg_cd90pos_E08_S344_comb	Mel94	Mal
cy81_FNA_CD45_neg_C09_S993_comb	Mel81	Mal
cy80_CD45_neg_G04_S940_comb	Mel80	Mal
Cy80_II_CD45_H09_S957_comb	Mel80	Mal
cy80_CD45_neg_A09_S873_comb	Mel80	Mal
CY88_3_H11_S671_comb	Mel88	Mal
Cy80_II_CD45_B11_S887_comb	Mel80	Mal
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D12_S144_comb	Mel79	Mal
CY89NEG_B03_S15_comb	Mel89	Mal
Cy81_Bulk_CD45_E04_S148_comb	Mel81	Mal
Cy80_II_CD45_D11_S911_comb	Mel80	Mal
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D05_S137_comb	Mel79	Mal
cy78_CD45_neg_1_E03_S531_comb	Mel78	Mal
CY88_3_C10_S610_comb	Mel88	Mal
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B08_S308_comb	Mel79	Mal
cy78_CD45_neg_1_E07_S535_comb	Mel78	Mal
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B12_S24_comb	Mel79	Mal
CY89NEG_G01_S73_comb	Mel89	Mal
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B02_S14_comb	Mel79	Mal
cy79_p4_CD45_neg_PDL1_pos_G08_S464_comb	Mel79	Mal
cy81_FNA_CD45_neg_F09_S1029_comb	Mel81	Mal
cy78_CD45_neg_2_C06_S606_comb	Mel78	Mal
Cy81_FNA_CD45_G10_S370_comb	Mel81	Mal
Cy71_CD45_E11_S539_comb	Mel71	Mal
CY88_5_D11_S719_comb	Mel88	Mal
cy82_CD45_pos_2_D11_S527_comb	Mel82	?
CY89FNAQ2_F06_S450_comb	Mel89	Mal
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C08_S32_comb	Mel79	Mal
cy78_CD45_neg_3_G02_S746_comb	Mel78	Mal
Cy81_FNA_CD45_C09_S321_comb	Mel81	Mal
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F06_S66_comb	Mel79	Mal
cy78_CD45_neg_1_B02_S494_comb	Mel78	Mal
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E01_S49_comb	Mel79	Mal
cy80_CD45_neg_D04_S904_comb	Mel80	Mal
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F01_S157_comb	Mel79	Mal
cy79_p4_CD45_neg_PDL1_pos_A02_S386_comb	Mel79	Mal
cy80_CD45_neg_E02_S914_comb	Mel80	Mal
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D09_S45_comb	Mel79	Mal
cy78_CD45_neg_1_H07_S571_comb	Mel78	Mal
Cy80_II_CD45_G07_S943_comb	Mel80	Mal
cy78_CD45_neg_1_F06_S546_comb	Mel78	Mal
cy81_FNA_CD45_neg_E04_S1012_comb	Mel81	Mal
cy81_Bulk_CD45_neg_E04_S148_comb	Mel81	Mal
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H01_S181_comb	Mel79	Mal
cy81_Bulk_CD45_neg_C11_S131_comb	Mel81	Mal
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A04_S4_comb	Mel79	Mal
cy81_Bulk_CD45_neg_D09_S141_comb	Mel81	Mal
Cy71_CD45_G08_S560_comb	Mel71	Mal
CY89CORE11_A04_S100_comb	Mel89	Mal
cy80_CD45_neg_G02_S938_comb	Mel80	Mal
CY88_5_H03_S759_comb	Mel88	Mal
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B08_S20_comb	Mel79	Mal
CY88_5_E04_S724_comb	Mel88	Mal
CY89NEG_H11_S95_comb	Mel89	Mal
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D11_S335_comb	Mel79	Mal
cy79_p5_CD45_neg_PDL1_neg_E02_S818_comb	Mel79	Mal
cy82_CD45_pos_3_B11_S23_comb	Mel82	?
cy81_FNA_CD45_neg_F08_S1028_comb	Mel81	Mal
CY88_3_D07_S619_comb	Mel88	Mal
cy79_p3_CD45_neg_PDL1_neg_F09_S261_comb	Mel79	Mal
CY88_3_G09_S657_comb	Mel88	Mal
cy79_p5_CD45_neg_PDL1_neg_D03_S807_comb	Mel79	Mal
CY88_5_H08_S764_comb	Mel88	Mal
cy79_p4_CD45_neg_PDL1_neg_F08_S1124_comb	Mel79	Mal
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D10_S334_comb	Mel79	?
cy81_FNA_CD45_neg_G12_S1044_comb	Mel81	Mal
CY88_3_B04_S592_comb	Mel88	Mal
cy79_p5_CD45_neg_PDL1_pos_A11_S683_comb	Mel79	Mal
Cy71_CD45_F06_S546_comb	Mel71	Mal
cy79_p5_CD45_neg_PDL1_pos_G11_S755_comb	Mel79	Mal
cy79_p5_CD45_neg_PDL1_pos_C10_S706_comb	Mel79	Mal
cy79_p3_CD45_neg_PDL1_neg_F08_S260_comb	Mel79	Mal
cy53_1_CD45_neg_B02_S302_comb	Mel53	Mal
CY89NEG_F05_S65_comb	Mel89	Mal
cy80_CD45_neg_H08_S956_comb	Mel80	Mal
Cy81_Bulk_CD45_D01_S133_comb	Mel81	?
cy79_p3_CD45_neg_PDL1_neg_G03_S267_comb	Mel79	Mal
Cy81_Bulk_CD45_D10_S142_comb	Mel81	Mal
CY89NEG_F07_S67_comb	Mel89	Mal
cy79_p5_CD45_neg_PDL1_pos_H06_S762_comb	Mel79	Mal
cy79_p4_CD45_neg_PDL1_neg_F12_S1128_comb	Mel79	Mal
cy82_CD45_pos_2_B03_S495_comb	Mel82	?
cy78_CD45_neg_1_A04_S484_comb	Mel78	Mal
Cy81_FNA_CD45_C05_S317_comb	Mel81	Mal
Cy80_II_CD45_B01_S877_comb	Mel80	Mal
CY89CORE11_E10_S154_comb	Mel89	Mal
cy81_Bulk_CD45_neg_E02_S146_comb	Mel81	Endo.
cy80_CD45_neg_A05_S869_comb	Mel80	Mal
cy79_p4_CD45_neg_PDL1_pos_D03_S423_comb	Mel79	Mal
cy79_p4_CD45_neg_PDL1_pos_A04_S388_comb	Mel79	Mal
CY89NEG_E06_S54_comb	Mel89	Mal
cy79_p5_CD45_neg_PDL1_neg_C02_S794_comb	Mel79	Mal
CY88_3_A10_S586_comb	Mel88	Mal
CY88CD45POS_7_C07_S223_comb	Mel88	Macrophage
CY89FNAQ2_G07_S463_comb	Mel89	Mal
cy80_CD45_neg_F05_S929_comb	Mel80	Mal
Cy81_Bulk_CD45_G12_S180_comb	Mel81	Mal
cy81_FNA_CD45_neg_F06_S1026_comb	Mel81	Mal
cy79_p4_CD45_neg_PDL1_pos_C02_S410_comb	Mel79	Mal
cy79_p5_CD45_neg_PDL1_pos_C11_S707_comb	Mel79	Mal
cy79_p5_CD45_neg_PDL1_pos_F09_S741_comb	Mel79	Mal
cy79_p4_CD45_neg_PDL1_pos_E10_S442_comb	Mel79	Mal
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H01_S373_comb	Mel79	Mal
cy78_CD45_neg_1_H08_S572_comb	Mel78	Mal
CY89CORE11_B04_S112_comb	Mel89	Mal
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F03_S159_comb	Mel79	Mal
cy79_p3_CD45_neg_PDL1_neg_H10_S286_comb	Mel79	Mal
cy78_CD45_neg_1_F02_S542_comb	Mel78	Mal
CY89CORE11_A05_S101_comb	Mel89	Mal
CY89CORE11_B06_S114_comb	Mel89	Mal
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E08_S56_comb	Mel79	Mal
cy79_p3_CD45_neg_PDL1_neg_C07_S223_comb	Mel79	Mal
cy78_CD45_neg_3_G07_S751_comb	Mel78	Mal
CY89NEG_A06_S6_comb	Mel89	Mal
cy79_p4_CD45_neg_PDL1_neg_B04_S1072_comb	Mel79	Mal
Cy81_FNA_CD45_F02_S350_comb	Mel81	Mal
cy79_p4_CD45_neg_PDL1_neg_H01_S1141_comb	Mel79	Mal
CY89CORE11_D09_S141_comb	Mel89	Mal
cy78_CD45_neg_1_F10_S550_comb	Mel78	Mal
cy79_p4_CD45_neg_PDL1_pos_H11_S479_comb	Mel79	Mal
cy81_FNA_CD45_neg_H09_S1053_comb	Mel81	Mal
cy78_CD45_neg_3_E05_S725_comb	Mel78	Mal
cy78_CD45_neg_1_H04_S568_comb	Mel78	Mal
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A07_S7_comb	Mel79	Mal
CY89FNAQ2_B02_S398_comb	Mel89	Mal
Cy71_CD45_H06_S570_comb	Mel71	Mal
cy79_p3_CD45_neg_PDL1_neg_D09_S237_comb	Mel79	Mal
CY88_5_B12_S696_comb	Mel88	Mal
CY88_3_H10_S670_comb	Mel88	Mal
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B11_S119_comb	Mel79	Mal
CY89FNAQ2_C04_S412_comb	Mel89	Mal
cy79_p5_CD45_neg_PDL1_pos_E10_S730_comb	Mel79	Mal
Cy80_II_CD45_B09_S885_comb	Mel80	Mal
cy79_p5_CD45_neg_PDL1_pos_G02_S746_comb	Mel79	Mal
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G02_S170_comb	Mel79	Mal
cy79_p3_CD45_neg_PDL1_neg_E05_S245_comb	Mel79	Mal
CY88_5_H05_S761_comb	Mel88	Mal
Cy81_FNA_CD45_H12_S384_comb	Mel81	Mal
cy79_p5_CD45_neg_PDL1_neg_G04_S844_comb	Mel79	Mal
CY88_5_D08_S716_comb	Mel88	Mal
cy79_p4_CD45_neg_PDL1_pos_B11_S407_comb	Mel79	Mal
cy79_p3_CD45_neg_PDL1_neg_B11_S215_comb	Mel79	Mal
CY88_3_B12_S600_comb	Mel88	Mal
cy81_FNA_CD45_neg_F02_S1022_comb	Mel81	Mal
cy79_p4_CD45_neg_PDL1_pos_D05_S425_comb	Mel79	Mal
cy94_cd45neg_cd90pos_A11_S299_comb	Mel94	Mal
cy60_1_cd_45_neg_3_F06_S546_comb	Mel60	Mal
cy79_p4_CD45_neg_PDL1_pos_D01_S421_comb	Mel79	Mal
CY88_5_D10_S718_comb	Mel88	Mal
CY89NEG_H06_S90_comb	Mel89	Mal
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H03_S375_comb	Mel79	Mal
Cy81_Bulk_CD45_E08_S152_comb	Mel81	Mal
CY89FNAQ2_H03_S471_comb	Mel89	Mal
cy79_p4_CD45_neg_PDL1_neg_H09_S1149_comb	Mel79	Mal
cy81_FNA_CD45_neg_B04_S976_comb	Mel81	Mal
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F11_S167_comb	Mel79	Mal
cy79_p4_CD45_neg_PDL1_neg_F03_S1119_comb	Mel79	Mal
cy79_p4_CD45_neg_PDL1_pos_C04_S412_comb	Mel79	Mal
Cy80_II_CD45_G09_S945_comb	Mel80	Mal
cy79_p5_CD45_neg_PDL1_pos_G05_S749_comb	Mel79	Mal
cy79_p4_CD45_neg_PDL1_pos_F06_S450_comb	Mel79	Mal
cy82_CD45_pos_3_C11_S35_comb	Mel82	?
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C04_S316_comb	Mel79	Mal
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F06_S162_comb	Mel79	Mal
CY88_3_C12_S612_comb	Mel88	Mal
Cy80_II_CD45_D09_S909_comb	Mel80	Mal
cy81_FNA_CD45_neg_E12_S1020_comb	Mel81	Mal
cy78_CD45_neg_3_G09_S753_comb	Mel78	Mal
cy79_p4_CD45_neg_PDL1_neg_A12_S1068_comb	Mel79	Mal
cy79_p4_CD45_neg_PDL1_neg_B11_S1079_comb	Mel79	Mal
cy79_p5_CD45_neg_PDL1_neg_A05_S773_comb	Mel79	Mal
Cy71_CD45_D11_S527_comb	Mel71	Mal
cy80_CD45_neg_D03_S903_comb	Mel80	Mal
cy78_CD45_neg_1_B08_S500_comb	Mel78	Mal
cy88_cd45pos_5_C01_S217_comb	Mel88	T.CD4
cy81_Bulk_CD45_neg_E09_S153_comb	Mel81	Mal
cy79_p3_CD45_neg_PDL1_neg_B06_S210_comb	Mel79	Mal
cy78_CD45_neg_3_D07_S715_comb	Mel78	Mal
cy79_p5_CD45_neg_PDL1_neg_F05_S833_comb	Mel79	Mal
cy80_CD45_neg_B01_S877_comb	Mel80	Mal
cy82_CD45_pos_1_E08_S536_comb	Mel82	T.CD4
Cy81_Bulk_CD45_B09_S117_comb	Mel81	Mal
cy78_CD45_neg_1_A03_S483_comb	Mel78	Mal
cy79_p5_CD45_neg_PDL1_neg_H06_S858_comb	Mel79	Mal
cy79_p4_CD45_neg_PDL1_neg_A03_S1059_comb	Mel79	Mal
cy78_CD45_neg_1_F08_S548_comb	Mel78	Mal
cy60_1_cd_45_neg_3_C10_S514_comb	Mel60	Mal
CY88_3_C08_S608_comb	Mel88	Mal
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_A12_S108_comb	Mel79	Mal
cy79_p5_CD45_neg_PDL1_neg_H10_S862_comb	Mel79	Mal
Cy71_CD45_G09_S561_comb	Mel71	Mal
cy80_CD45_neg_C09_S897_comb	Mel80	Mal
Cy71_CD45_F11_S551_comb	Mel71	Mal
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B04_S304_comb	Mel79	Mal
cy78_CD45_neg_3_D08_S716_comb	Mel78	Mal
cy79_p5_CD45_neg_PDL1_pos_E03_S723_comb	Mel79	Mal
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F04_S160_comb	Mel79	Mal
cy79_p4_CD45_neg_PDL1_pos_C12_S420_comb	Mel79	Mal
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C08_S128_comb	Mel79	Mal
cy79_p5_CD45_neg_PDL1_pos_E08_S728_comb	Mel79	Mal
cy80_CD45_neg_D07_S907_comb	Mel80	Mal
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F03_S63_comb	Mel79	Mal
cy79_p5_CD45_neg_PDL1_neg_H07_S859_comb	Mel79	Mal
cy79_p5_CD45_pos_PD1_pos_E02_S626_comb	Mel79	?
cy80_CD45_neg_A03_S867_comb	Mel80	Mal
Cy81_FNA_CD45_B10_S310_comb	Mel81	Mal
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H07_S187_comb	Mel79	Mal
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B07_S115_comb	Mel79	Mal
cy79_p5_CD45_neg_PDL1_neg_G09_S849_comb	Mel79	Mal
cy79_p5_CD45_neg_PDL1_neg_C09_S801_comb	Mel79	Mal
CY88_5_E02_S722_comb	Mel88	Mal
cy80_CD45_neg_H09_S957_comb	Mel80	Mal
cy53_1_CD45_neg_E12_S348_comb	Mel53	Mal
cy80_CD45_neg_H02_S950_comb	Mel80	Mal
cy78_CD45_neg_2_C05_S605_comb	Mel78	Mal
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G04_S172_comb	Mel79	Mal
cy79_p5_CD45_neg_PDL1_neg_G03_S843_comb	Mel79	Mal
cy78_CD45_neg_1_G04_S556_comb	Mel78	Mal
cy53_1_CD45_neg_H12_S384_comb	Mel53	?
cy78_CD45_neg_1_D05_S521_comb	Mel78	Mal
Cy71_CD45_H10_S574_comb	Mel71	Mal
cy79_p4_CD45_neg_PDL1_pos_D12_S432_comb	Mel79	Mal
cy81_Bulk_CD45_neg_C08_S128_comb	Mel81	Mal
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G07_S79_comb	Mel79	Mal
cy79_p4_CD45_neg_PDL1_pos_A08_S392_comb	Mel79	Mal
cy78_CD45_neg_1_C10_S514_comb	Mel78	Mal
cy78_CD45_neg_3_D09_S717_comb	Mel78	Mal
Cy81_Bulk_CD45_C06_S126_comb	Mel81	?
cy82_CD45_pos_2_E07_S535_comb	Mel82	?
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G12_S180_comb	Mel79	Mal
Cy81_FNA_CD45_H10_S382_comb	Mel81	Mal
Cy80_II_CD45_B02_S878_comb	Mel80	Mal
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B10_S310_comb	Mel79	Mal
cy80_CD45_neg_E01_S913_comb	Mel80	Mal
Cy81_FNA_CD45_B11_S311_comb	Mel81	Mal
cy81_Bulk_CD45_neg_C04_S124_comb	Mel81	Mal
CY88_3_G07_S655_comb	Mel88	Mal
Cy81_Bulk_CD45_B12_S120_comb	Mel81	Mal
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G03_S75_comb	Mel79	Mal
cy79_p4_CD45_neg_PDL1_pos_F11_S455_comb	Mel79	Mal
cy78_CD45_neg_3_B08_S692_comb	Mel78	Mal
cy78_CD45_neg_3_C09_S705_comb	Mel78	Mal
cy82_CD45_pos_1_H05_S569_comb	Mel82	?
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G09_S81_comb	Mel79	Mal
CY88_5_F11_S743_comb	Mel88	Mal
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B04_S112_comb	Mel79	Mal
cy80_CD45_neg_H03_S951_comb	Mel80	Mal
cy78_CD45_neg_1_H02_S566_comb	Mel78	Mal
CY88_5_C09_S705_comb	Mel88	Mal
cy79_p3_CD45_neg_PDL1_neg_F07_S259_comb	Mel79	Endo.
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C10_S34_comb	Mel79	Mal
cy81_Bulk_CD45_neg_B03_S111_comb	Mel81	Mal
cy81_Bulk_CD45_neg_E08_S152_comb	Mel81	Mal
cy84_Primary_CD45_neg_G07_S1039_comb	Mel84	Mal
cy79_p4_CD45_neg_PDL1_neg_D06_S1098_comb	Mel79	Mal
cy79_p4_CD45_neg_PDL1_neg_B09_S1077_comb	Mel79	Mal
cy53_1_CD45_neg_D06_S330_comb	Mel53	?
Cy71_CD45_A10_S490_comb	Mel71	Mal
cy79_p4_CD45_neg_PDL1_pos_B10_S406_comb	Mel79	Mal
Cy80_II_CD45_F12_S936_comb	Mel80	Mal
cy80_CD45_neg_D10_S910_comb	Mel80	Mal
Cy81_Bulk_CD45_B01_S109_comb	Mel81	?
Cy80_II_CD45_B06_S882_comb	Mel80	Mal
cy79_p5_CD45_neg_PDL1_pos_F02_S734_comb	Mel79	Mal
cy79_p5_CD45_neg_PDL1_neg_G07_S847_comb	Mel79	Mal
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E11_S59_comb	Mel79	Mal
Cy71_CD45_F10_S550_comb	Mel71	Mal
cy84_Primary_CD45_neg_A03_S963_comb	Mel84	Mal
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C07_S127_comb	Mel79	Mal
Cy71_CD45_D09_S525_comb	Mel71	Mal
cy79_p4_CD45_neg_PDL1_neg_H03_S1143_comb	Mel79	Mal
cy79_p4_CD45_neg_PDL1_neg_H10_S1150_comb	Mel79	Mal
CY89CORE11_F03_S159_comb	Mel89	Endo.
CY89FNAQ2_B10_S406_comb	Mel89	Mal
cy79_p4_CD45_neg_PDL1_pos_D02_S422_comb	Mel79	Mal
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D10_S46_comb	Mel79	Mal
Cy80_II_CD45_F07_S931_comb	Mel80	Mal
cy79_p4_CD45_neg_PDL1_pos_A11_S395_comb	Mel79	Mal
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G06_S78_comb	Mel79	Mal
CY88_5_B03_S687_comb	Mel88	Mal
Cy71_CD45_E10_S538_comb	Mel71	Mal
cy84_Primary_CD45_neg_E12_S1020_comb	Mel84	Mal
CY89NEG_A03_S3_comb	Mel89	Mal
cy79_p4_CD45_neg_PDL1_neg_G07_S1135_comb	Mel79	Mal
cy78_CD45_neg_1_F05_S545_comb	Mel78	Mal
CY88_5_B07_S691_comb	Mel88	Mal
cy82_CD45_pos_2_F11_S551_comb	Mel82	?
cy79_p4_CD45_neg_PDL1_pos_C10_S418_comb	Mel79	Mal
cy79_p4_CD45_neg_PDL1_pos_E02_S434_comb	Mel79	Mal
CY88_5_B01_S685_comb	Mel88	Mal
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H02_S374_comb	Mel79	Mal
cy79_p4_CD45_neg_PDL1_pos_F09_S453_comb	Mel79	Mal
CY89FNAQ2_C01_S409_comb	Mel89	Mal
Cy80_II_CD45_B12_S888_comb	Mel80	Mal
cy80_CD45_neg_D09_S909_comb	Mel80	Mal
CY89CORE11_G08_S176_comb	Mel89	Mal
CY88_3_E10_S634_comb	Mel88	Mal
cy79_p4_CD45_neg_PDL1_neg_C11_S1091_comb	Mel79	Mal
Cy80_II_CD45_A09_S873_comb	Mel80	Mal
cy79_p5_CD45_neg_PDL1_pos_B04_S688_comb	Mel79	Mal
cy81_Bulk_CD45_neg_F05_S161_comb	Mel81	?
cy79_p5_CD45_neg_PDL1_pos_E06_S726_comb	Mel79	Mal
cy81_FNA_CD45_neg_G03_S1035_comb	Mel81	Mal
cy82_CD45_neg_1_D05_S233_comb	Mel82	Mal
cy79_p5_CD45_neg_PDL1_neg_F11_S839_comb	Mel79	Mal
cy79_p5_CD45_neg_PDL1_neg_F02_S830_comb	Mel79	Mal
cy81_FNA_CD45_neg_G09_S1041_comb	Mel81	Mal
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B09_S117_comb	Mel79	Mal
CY89NEG_A02_S2_comb	Mel89	Mal
cy78_CD45_neg_3_F12_S744_comb	Mel78	Mal
cy79_p4_CD45_neg_PDL1_pos_G03_S459_comb	Mel79	Mal
Cy80_II_CD45_F11_S935_comb	Mel80	Mal
CY89NEG_E02_S50_comb	Mel89	Mal
cy79_p3_CD45_neg_PDL1_neg_A11_S203_comb	Mel79	Mal
CY89CORE11_F07_S163_comb	Mel89	Mal
cy78_CD45_neg_3_A05_S677_comb	Mel78	Mal
CY89CORE11_A09_S105_comb	Mel89	Mal
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H09_S189_comb	Mel79	Mal
cy78_CD45_neg_1_D09_S525_comb	Mel78	Mal
