method	class	precision	recall	f1_score	support	specificity	Cell Labels	category	dataset
LDArej	STROMAL	0.909090909	0.476190476	0.625	21	0.997849462	STROMAL	Stromal	Breast
LDArej	TCELL	0.896551724	0.764705882	0.825396825	34	0.993362832	TCELL	Immune	Breast
LDArej	TUMOR	0.948640483	0.990536278	0.969135802	317	0.899408284	TUMOR	Tumour	Breast
LDArej	UNLABELED	0	0	0	0	0.969135802			Breast
NMC	BCELL	0.970149254	0.792682927	0.872483221	82	0.995049505	BCELL	Immune	Breast
NMC	MYELOID	0.787878788	0.8125	0.8	32	0.984581498	MYELOID	Immune	Breast
NMC	STROMAL	0.355555556	0.761904762	0.484848485	21	0.937634409	STROMAL	Stromal	Breast
NMC	TCELL	0.658536585	0.794117647	0.72	34	0.969026549	TCELL	Immune	Breast
NMC	TUMOR	0.963333333	0.911671924	0.936790924	317	0.934911243	TUMOR	Tumour	Breast
kNN9	BCELL	0.72972973	0.987804878	0.839378238	82	0.925742574	BCELL	Immune	Breast
kNN9	MYELOID	0.95	0.59375	0.730769231	32	0.997797357	MYELOID	Immune	Breast
kNN9	STROMAL	0.909090909	0.476190476	0.625	21	0.997849462	STROMAL	Stromal	Breast
kNN9	TCELL	0.833333333	0.294117647	0.434782609	34	0.995575221	TCELL	Immune	Breast
kNN9	TUMOR	0.945783133	0.990536278	0.967642527	317	0.893491124	TUMOR	Tumour	Breast
ACTINN	BCELL	0.987179487	0.93902439	0.9625	82	0.997524752	BCELL	Immune	Breast
ACTINN	MYELOID	0.925925926	0.78125	0.847457627	32	0.995594714	MYELOID	Immune	Breast
ACTINN	STROMAL	0.833333333	0.476190476	0.606060606	21	0.995698925	STROMAL	Stromal	Breast
ACTINN	TCELL	0.909090909	0.882352941	0.895522388	34	0.993362832	TCELL	Immune	Breast
ACTINN	TUMOR	0.943452381	1	0.970903522	317	0.887573964	TUMOR	Tumour	Breast
scVI	BCELL	0.928571429	0.951219512	0.939759036	82	0.985148515	BCELL	Immune	Breast
scVI	MYELOID	0.851851852	0.71875	0.779661017	32	0.991189427	MYELOID	Immune	Breast
scVI	STROMAL	0.75	0.571428571	0.648648649	21	0.991397849	STROMAL	Stromal	Breast
scVI	TCELL	0.769230769	0.882352941	0.821917808	34	0.980088496	TCELL	Immune	Breast
scVI	TUMOR	0.9625	0.971608833	0.967032967	317	0.928994083	TUMOR	Tumour	Breast
Cell_BLAST	BCELL	0.933333333	0.170731707	0.288659794	82	0.997524752	BCELL	Immune	Breast
Cell_BLAST	MYELOID	0	0	0	32	1	MYELOID	Immune	Breast
Cell_BLAST	STROMAL	0	0	0	21	1	STROMAL	Stromal	Breast
Cell_BLAST	TCELL	0	0	0	34	1	TCELL	Immune	Breast
Cell_BLAST	TUMOR	0.795336788	0.968454259	0.873399716	317	0.532544379	TUMOR	Tumour	Breast
Cell_BLAST	UNLABELED	0	0	0	0	0.825102881			Breast
SingleCellNet	BCELL	0.951807229	0.963414634	0.957575758	82	0.99009901	BCELL	Immune	Breast
SingleCellNet	MYELOID	0.923076923	0.75	0.827586207	32	0.995594714	MYELOID	Immune	Breast
SingleCellNet	STROMAL	0.9	0.428571429	0.580645161	21	0.997849462	STROMAL	Stromal	Breast
SingleCellNet	TCELL	0.866666667	0.764705882	0.8125	34	0.991150442	TCELL	Immune	Breast
SingleCellNet	TUMOR	0.939759036	0.984227129	0.961479199	317	0.881656805	TUMOR	Tumour	Breast
SingleCellNet	UNLABELED	0	0	0	0	0.989711934			Breast
LAmbDA	BCELL	0.949367089	0.914634146	0.931677019	82	0.99009901	BCELL	Immune	Breast
LAmbDA	MYELOID	0.78125	0.78125	0.78125	32	0.984581498	MYELOID	Immune	Breast
LAmbDA	STROMAL	0.722222222	0.619047619	0.666666667	21	0.989247312	STROMAL	Stromal	Breast
LAmbDA	TCELL	0.771428571	0.794117647	0.782608696	34	0.982300885	TCELL	Immune	Breast
LAmbDA	TUMOR	0.965838509	0.981072555	0.973395931	317	0.934911243	TUMOR	Tumour	Breast
scPred	BCELL	0.975	0.951219512	0.962962963	82	0.995049505	BCELL	Immune	Breast
scPred	MYELOID	0.904761905	0.59375	0.716981132	32	0.995594714	MYELOID	Immune	Breast
scPred	STROMAL	0.6	0.142857143	0.230769231	21	0.995698925	STROMAL	Stromal	Breast
scPred	TCELL	0.9375	0.882352941	0.909090909	34	0.995575221	TCELL	Immune	Breast
scPred	TUMOR	0.951070336	0.981072555	0.965838509	317	0.905325444	TUMOR	Tumour	Breast
scPred	UNLABELED	0	0	0	0	0.956790123			Breast
CaSTLe	BCELL	0.9875	0.963414634	0.975308642	82	0.997524752	BCELL	Immune	Breast
CaSTLe	MYELOID	0.806451613	0.78125	0.793650794	32	0.986784141	MYELOID	Immune	Breast
CaSTLe	STROMAL	0.857142857	0.285714286	0.428571429	21	0.997849462	STROMAL	Stromal	Breast
CaSTLe	TCELL	0.84375	0.794117647	0.818181818	34	0.988938053	TCELL	Immune	Breast
CaSTLe	TUMOR	0.931547619	0.987381703	0.958652374	317	0.863905325	TUMOR	Tumour	Breast
CHETAH	BCELL	0.902439024	0.902439024	0.902439024	82	0.98019802	BCELL	Immune	Breast
CHETAH	MYELOID	0.794117647	0.84375	0.818181818	32	0.984581498	MYELOID	Immune	Breast
CHETAH	STROMAL	0.318181818	0.666666667	0.430769231	21	0.935483871	STROMAL	Stromal	Breast
CHETAH	TCELL	0.783783784	0.852941176	0.816901408	34	0.982300885	TCELL	Immune	Breast
CHETAH	TUMOR	0.972972973	0.794952681	0.875	317	0.958579882	TUMOR	Tumour	Breast
CHETAH	UNLABELED	0	0	0	0	0.938271605			Breast
scID	BCELL	0.898734177	0.865853659	0.881987578	82	0.98019802	BCELL	Immune	Breast
scID	MYELOID	1	0.4375	0.608695652	32	1	MYELOID	Immune	Breast
scID	STROMAL	0.297297297	0.523809524	0.379310345	21	0.944086022	STROMAL	Stromal	Breast
scID	TCELL	0.434210526	0.970588235	0.6	34	0.904867257	TCELL	Immune	Breast
scID	TUMOR	0.967857143	0.85488959	0.907872697	317	0.946745562	TUMOR	Tumour	Breast
scmapcell	BCELL	0.858823529	0.890243902	0.874251497	82	0.97029703	BCELL	Immune	Breast
scmapcell	MYELOID	0.933333333	0.4375	0.595744681	32	0.997797357	MYELOID	Immune	Breast
scmapcell	STROMAL	1	0.047619048	0.090909091	21	1	STROMAL	Stromal	Breast
scmapcell	TCELL	1	0.117647059	0.210526316	34	1	TCELL	Immune	Breast
scmapcell	TUMOR	0.936936937	0.984227129	0.96	317	0.875739645	TUMOR	Tumour	Breast
scmapcell	UNLABELED	0	0	0	0	0.901234568			Breast
scmapcluster	BCELL	0.909090909	0.853658537	0.880503145	82	0.982673267	BCELL	Immune	Breast
scmapcluster	MYELOID	0.857142857	0.75	0.8	32	0.991189427	MYELOID	Immune	Breast
scmapcluster	STROMAL	0.888888889	0.380952381	0.533333333	21	0.997849462	STROMAL	Stromal	Breast
scmapcluster	TCELL	0.9	0.264705882	0.409090909	34	0.997787611	TCELL	Immune	Breast
scmapcluster	TUMOR	0.989547038	0.895899054	0.940397351	317	0.982248521	TUMOR	Tumour	Breast
scmapcluster	UNLABELED	0	0	0	0	0.845679012			Breast
singleR	BCELL	0.917647059	0.951219512	0.934131737	82	0.982673267	BCELL	Immune	Breast
singleR	MYELOID	0.78125	0.78125	0.78125	32	0.984581498	MYELOID	Immune	Breast
singleR	STROMAL	0.833333333	0.476190476	0.606060606	21	0.995698925	STROMAL	Stromal	Breast
singleR	TCELL	0.888888889	0.941176471	0.914285714	34	0.991150442	TCELL	Immune	Breast
singleR	TUMOR	0.956386293	0.968454259	0.962382445	317	0.917159763	TUMOR	Tumour	Breast
cibersort	ASTOCYTE	1	0.886363636	0.939759036	88	1	ASTOCYTE	Brain	Glioblastoma
cibersort	IMMUNE	0.608968018	1	0.756967213	1847	0.319173364	IMMUNE	Immune	Glioblastoma
cibersort	NEOPLASTIC	0	0	0	1091	1	NEOPLASTIC	Tumour	Glioblastoma
cibersort	NEURON	0	0	0	21	1	NEURON	Brain	Glioblastoma
cibersort	OLIGODENDROCYTE	1	0.952941176	0.975903614	85	1	OLIGODENDROCYTE	Brain	Glioblastoma
cibersort	OPC	1	0.977832512	0.98879203	406	1	OPC	Brain	Glioblastoma
cibersort	VASCULAR	0	0	0	51	1	VASCULAR	Vascular	Glioblastoma
gsea	ASTOCYTE	1	0.886363636	0.939759036	88	1	ASTOCYTE	Brain	Glioblastoma
gsea	IMMUNE	0.997831978	0.996751489	0.997291441	1847	0.997703789	IMMUNE	Immune	Glioblastoma
gsea	NEOPLASTIC	0.972296693	0.997250229	0.984615385	1091	0.987590072	NEOPLASTIC	Tumour	Glioblastoma
gsea	NEURON	1	0.952380952	0.975609756	21	1	NEURON	Brain	Glioblastoma
gsea	OLIGODENDROCYTE	1	0.952941176	0.975903614	85	1	OLIGODENDROCYTE	Brain	Glioblastoma
gsea	OPC	1	0.977832512	0.98879203	406	1	OPC	Brain	Glioblastoma
gsea	VASCULAR	1	0.960784314	0.98	51	1	VASCULAR	Vascular	Glioblastoma
gsva	ASTOCYTE	0.164435946	0.977272727	0.281505728	88	0.87517852	ASTOCYTE	Brain	Glioblastoma
gsva	IMMUNE	0.873754153	0.996751489	0.931208902	1847	0.847301952	IMMUNE	Immune	Glioblastoma
gsva	NEOPLASTIC	0	0	0	1091	1	NEOPLASTIC	Tumour	Glioblastoma
gsva	NEURON	0.00952381	0.047619048	0.015873016	21	0.970852018	NEURON	Brain	Glioblastoma
gsva	OLIGODENDROCYTE	0.801980198	0.952941176	0.870967742	85	0.994292237	OLIGODENDROCYTE	Brain	Glioblastoma
gsva	OPC	0.575284091	0.997536946	0.72972973	406	0.906063462	OPC	Brain	Glioblastoma
gsva	VASCULAR	1	0.960784314	0.98	51	1	VASCULAR	Vascular	Glioblastoma
metaneighbor	ASTOCYTE	0.082692308	0.977272727	0.15248227	88	0.727506427	ASTOCYTE	Brain	Glioblastoma
metaneighbor	IMMUNE	0.792035398	0.096913914	0.172696575	1847	0.973019518	IMMUNE	Immune	Glioblastoma
metaneighbor	NEOPLASTIC	0	0	0	1091	1	NEOPLASTIC	Tumour	Glioblastoma
metaneighbor	NEURON	0.006493506	0.047619048	0.011428571	21	0.957118834	NEURON	Brain	Glioblastoma
metaneighbor	OLIGODENDROCYTE	0.067612688	0.952941176	0.126266563	85	0.681221461	OLIGODENDROCYTE	Brain	Glioblastoma
metaneighbor	OPC	0	0	0	406	1	OPC	Brain	Glioblastoma
metaneighbor	VASCULAR	0	0	0	51	0.725551159	VASCULAR	Vascular	Glioblastoma
ora	ASTOCYTE	1	0.886363636	0.939759036	88	1	ASTOCYTE	Brain	Glioblastoma
ora	IMMUNE	0.997831978	0.996751489	0.997291441	1847	0.997703789	IMMUNE	Immune	Glioblastoma
ora	NEOPLASTIC	0.972296693	0.997250229	0.984615385	1091	0.987590072	NEOPLASTIC	Tumour	Glioblastoma
ora	NEURON	1	0.952380952	0.975609756	21	1	NEURON	Brain	Glioblastoma
ora	OLIGODENDROCYTE	1	0.952941176	0.975903614	85	1	OLIGODENDROCYTE	Brain	Glioblastoma
ora	OPC	1	0.977832512	0.98879203	406	1	OPC	Brain	Glioblastoma
ora	VASCULAR	1	0.960784314	0.98	51	1	VASCULAR	Vascular	Glioblastoma
adobo	ASTOCYTE	1	0.886363636	0.939759036	88	1	ASTOCYTE	Brain	Glioblastoma
adobo	IMMUNE	0.998373984	0.332430969	0.498781478	1847	0.999425947	IMMUNE	Immune	Glioblastoma
adobo	NEOPLASTIC	0	0	0	1091	1	NEOPLASTIC	Tumour	Glioblastoma
adobo	NEURON	1	0.952380952	0.975609756	21	1	NEURON	Brain	Glioblastoma
adobo	OLIGODENDROCYTE	0.169456067	0.952941176	0.287744227	85	0.886700913	OLIGODENDROCYTE	Brain	Glioblastoma
adobo	OPC	0	0	0	406	1	OPC	Brain	Glioblastoma
adobo	Unknown	0	0	0	0	0.331847311			Glioblastoma
adobo	VASCULAR	0	0	0	51	1	VASCULAR	Vascular	Glioblastoma
sccatch	ASTOCYTE	1	0.886363636	0.939759036	88	1	ASTOCYTE	Brain	Glioblastoma
sccatch	IMMUNE	0	0	0	1847	1	IMMUNE	Immune	Glioblastoma
sccatch	NEOPLASTIC	0	0	0	1091	1	NEOPLASTIC	Tumour	Glioblastoma
sccatch	NEURON	0	0	0	21	1	NEURON	Brain	Glioblastoma
sccatch	OLIGODENDROCYTE	1	0.952941176	0.975903614	85	1	OLIGODENDROCYTE	Brain	Glioblastoma
sccatch	OPC	1	0.977832512	0.98879203	406	1	OPC	Brain	Glioblastoma
sccatch	Unknown	0	0	0	0	0.154917804			Glioblastoma
sccatch	VASCULAR	0	0	0	51	1	VASCULAR	Vascular	Glioblastoma
SVM	ASTOCYTE	1	0.863636364	0.926829268	88	1	ASTOCYTE	Brain	Glioblastoma
SVM	IMMUNE	0.994060475	0.996751489	0.995404163	1847	0.993685419	IMMUNE	Immune	Glioblastoma
SVM	NEOPLASTIC	0.966010733	0.989917507	0.977818017	1091	0.98478783	NEOPLASTIC	Tumour	Glioblastoma
SVM	NEURON	0.95	0.904761905	0.926829268	21	0.999719731	NEURON	Brain	Glioblastoma
SVM	OLIGODENDROCYTE	0.975	0.917647059	0.945454545	85	0.999429224	OLIGODENDROCYTE	Brain	Glioblastoma
SVM	OPC	0.992443325	0.97044335	0.98132005	406	0.999057493	OPC	Brain	Glioblastoma
SVM	VASCULAR	1	0.901960784	0.948453608	51	1	VASCULAR	Vascular	Glioblastoma
SVMrej	ASTOCYTE	1	0.727272727	0.842105263	88	1	ASTOCYTE	Brain	Glioblastoma
SVMrej	IMMUNE	0.998366903	0.992961559	0.995656895	1847	0.998277842	IMMUNE	Immune	Glioblastoma
SVMrej	NEOPLASTIC	0.986020503	0.969752521	0.977818854	1091	0.993995196	NEOPLASTIC	Tumour	Glioblastoma
SVMrej	NEURON	1	0.571428571	0.727272727	21	1	NEURON	Brain	Glioblastoma
SVMrej	OLIGODENDROCYTE	1	0.905882353	0.950617284	85	1	OLIGODENDROCYTE	Brain	Glioblastoma
SVMrej	OPC	1	0.945812808	0.972151899	406	1	OPC	Brain	Glioblastoma
SVMrej	UNLABELED	0	0	0	0	0.972137086			Glioblastoma
SVMrej	VASCULAR	1	0.823529412	0.903225806	51	1	VASCULAR	Vascular	Glioblastoma
RF	ASTOCYTE	1	0.784090909	0.878980892	88	1	ASTOCYTE	Brain	Glioblastoma
RF	IMMUNE	0.996755003	0.997834326	0.997294372	1847	0.996555683	IMMUNE	Immune	Glioblastoma
RF	NEOPLASTIC	0.944444444	0.997250229	0.970129291	1091	0.974379504	NEOPLASTIC	Tumour	Glioblastoma
RF	NEURON	1	0.523809524	0.6875	21	1	NEURON	Brain	Glioblastoma
RF	OLIGODENDROCYTE	1	0.894117647	0.944099379	85	1	OLIGODENDROCYTE	Brain	Glioblastoma
RF	OPC	0.992346939	0.958128079	0.974937343	406	0.999057493	OPC	Brain	Glioblastoma
RF	VASCULAR	1	0.784313725	0.879120879	51	1	VASCULAR	Vascular	Glioblastoma
LDA	ASTOCYTE	0.927710843	0.875	0.900584795	88	0.998286204	ASTOCYTE	Brain	Glioblastoma
LDA	IMMUNE	0.983905579	0.992961559	0.988412827	1847	0.982778416	IMMUNE	Immune	Glioblastoma
LDA	NEOPLASTIC	0.95679568	0.974335472	0.965485922	1091	0.980784628	NEOPLASTIC	Tumour	Glioblastoma
LDA	NEURON	0.944444444	0.80952381	0.871794872	21	0.999719731	NEURON	Brain	Glioblastoma
LDA	OLIGODENDROCYTE	0.974683544	0.905882353	0.93902439	85	0.999429224	OLIGODENDROCYTE	Brain	Glioblastoma
LDA	OPC	0.98974359	0.950738916	0.969849246	406	0.998743324	OPC	Brain	Glioblastoma
LDA	VASCULAR	1	0.862745098	0.926315789	51	1	VASCULAR	Vascular	Glioblastoma
LDArej	ASTOCYTE	0.93902439	0.875	0.905882353	88	0.998571837	ASTOCYTE	Brain	Glioblastoma
LDArej	IMMUNE	0.983905579	0.992961559	0.988412827	1847	0.982778416	IMMUNE	Immune	Glioblastoma
LDArej	NEOPLASTIC	0.95679568	0.974335472	0.965485922	1091	0.980784628	NEOPLASTIC	Tumour	Glioblastoma
LDArej	NEURON	0.944444444	0.80952381	0.871794872	21	0.999719731	NEURON	Brain	Glioblastoma
LDArej	OLIGODENDROCYTE	0.974683544	0.905882353	0.93902439	85	0.999429224	OLIGODENDROCYTE	Brain	Glioblastoma
LDArej	OPC	0.98974359	0.950738916	0.969849246	406	0.998743324	OPC	Brain	Glioblastoma
LDArej	UNLABELED	0	0	0	0	0.999721371			Glioblastoma
LDArej	VASCULAR	1	0.862745098	0.926315789	51	1	VASCULAR	Vascular	Glioblastoma
NMC	ASTOCYTE	0.943181818	0.943181818	0.943181818	88	0.998571837	ASTOCYTE	Brain	Glioblastoma
NMC	IMMUNE	0.948453608	0.99621007	0.971745445	1847	0.942594719	IMMUNE	Immune	Glioblastoma
NMC	NEOPLASTIC	0.973921765	0.890009166	0.930076628	1091	0.989591673	NEOPLASTIC	Tumour	Glioblastoma
NMC	NEURON	0.857142857	0.857142857	0.857142857	21	0.999159193	NEURON	Brain	Glioblastoma
NMC	OLIGODENDROCYTE	0.740384615	0.905882353	0.814814815	85	0.992294521	OLIGODENDROCYTE	Brain	Glioblastoma
NMC	OPC	0.98961039	0.938423645	0.963337547	406	0.998743324	OPC	Brain	Glioblastoma
NMC	VASCULAR	0.833333333	0.882352941	0.857142857	51	0.99745619	VASCULAR	Vascular	Glioblastoma
kNN9	ASTOCYTE	1	0.25	0.4	88	1	ASTOCYTE	Brain	Glioblastoma
kNN9	IMMUNE	0.952207792	0.992420141	0.971898197	1847	0.947187141	IMMUNE	Immune	Glioblastoma
kNN9	NEOPLASTIC	0.701462766	0.96700275	0.813102119	1091	0.820256205	NEOPLASTIC	Tumour	Glioblastoma
kNN9	NEURON	1	0.476190476	0.64516129	21	1	NEURON	Brain	Glioblastoma
kNN9	OLIGODENDROCYTE	1	0.082352941	0.152173913	85	1	OLIGODENDROCYTE	Brain	Glioblastoma
kNN9	OPC	1	0.293103448	0.453333333	406	1	OPC	Brain	Glioblastoma
kNN9	VASCULAR	1	0.039215686	0.075471698	51	1	VASCULAR	Vascular	Glioblastoma
ACTINN	ASTOCYTE	1	0.897727273	0.946107784	88	1	ASTOCYTE	Brain	Glioblastoma
ACTINN	IMMUNE	0.99621417	0.997292907	0.996753247	1847	0.99598163	IMMUNE	Immune	Glioblastoma
ACTINN	NEOPLASTIC	0.97311828	0.995417049	0.984141368	1091	0.987990392	NEOPLASTIC	Tumour	Glioblastoma
ACTINN	NEURON	1	0.952380952	0.975609756	21	1	NEURON	Brain	Glioblastoma
ACTINN	OLIGODENDROCYTE	1	0.929411765	0.963414634	85	1	OLIGODENDROCYTE	Brain	Glioblastoma
ACTINN	OPC	1	0.975369458	0.987531172	406	1	OPC	Brain	Glioblastoma
ACTINN	VASCULAR	1	0.980392157	0.99009901	51	1	VASCULAR	Vascular	Glioblastoma
scVI	ASTOCYTE	0.976470588	0.943181818	0.959537572	88	0.999428735	ASTOCYTE	Brain	Glioblastoma
scVI	IMMUNE	0.996755003	0.997834326	0.997294372	1847	0.996555683	IMMUNE	Immune	Glioblastoma
scVI	NEOPLASTIC	0.983651226	0.992667278	0.988138686	1091	0.992794235	NEOPLASTIC	Tumour	Glioblastoma
scVI	NEURON	0.95	0.904761905	0.926829268	21	0.999719731	NEURON	Brain	Glioblastoma
scVI	OLIGODENDROCYTE	1	0.988235294	0.99408284	85	1	OLIGODENDROCYTE	Brain	Glioblastoma
scVI	OPC	0.997512438	0.987684729	0.992574257	406	0.999685831	OPC	Brain	Glioblastoma
scVI	VASCULAR	1	0.941176471	0.96969697	51	1	VASCULAR	Vascular	Glioblastoma
Cell_BLAST	ASTOCYTE	0	0	0	88	1	ASTOCYTE	Brain	Glioblastoma
Cell_BLAST	IMMUNE	0.998366013	0.992420141	0.995384198	1847	0.998277842	IMMUNE	Immune	Glioblastoma
Cell_BLAST	NEOPLASTIC	0.761678543	0.881759853	0.817332201	1091	0.879503603	NEOPLASTIC	Tumour	Glioblastoma
Cell_BLAST	NEURON	0	0	0	21	1	NEURON	Brain	Glioblastoma
Cell_BLAST	OLIGODENDROCYTE	0	0	0	85	1	OLIGODENDROCYTE	Brain	Glioblastoma
Cell_BLAST	OPC	0.702222222	0.389162562	0.500792393	406	0.978950675	OPC	Brain	Glioblastoma
Cell_BLAST	UNLABELED	0	0	0	0	0.926441906			Glioblastoma
Cell_BLAST	VASCULAR	1	0.019607843	0.038461538	51	1	VASCULAR	Vascular	Glioblastoma
SingleCellNet	ASTOCYTE	1	0.886363636	0.939759036	88	1	ASTOCYTE	Brain	Glioblastoma
SingleCellNet	IMMUNE	0.997292907	0.997292907	0.997292907	1847	0.997129736	IMMUNE	Immune	Glioblastoma
SingleCellNet	NEOPLASTIC	0.968805704	0.996333639	0.982376864	1091	0.985988791	NEOPLASTIC	Tumour	Glioblastoma
SingleCellNet	NEURON	1	0.904761905	0.95	21	1	NEURON	Brain	Glioblastoma
SingleCellNet	OLIGODENDROCYTE	1	0.929411765	0.963414634	85	1	OLIGODENDROCYTE	Brain	Glioblastoma
SingleCellNet	OPC	0.997487437	0.977832512	0.987562189	406	0.999685831	OPC	Brain	Glioblastoma
SingleCellNet	VASCULAR	1	0.901960784	0.948453608	51	1	VASCULAR	Vascular	Glioblastoma
LAmbDA	ASTOCYTE	0.81372549	0.943181818	0.873684211	88	0.994572979	ASTOCYTE	Brain	Glioblastoma
LAmbDA	IMMUNE	0.989724175	0.990795885	0.99025974	1847	0.989092997	IMMUNE	Immune	Glioblastoma
LAmbDA	NEOPLASTIC	0.978217822	0.905591201	0.940504522	1091	0.991192954	NEOPLASTIC	Tumour	Glioblastoma
LAmbDA	NEURON	0.833333333	0.952380952	0.888888889	21	0.998878924	NEURON	Brain	Glioblastoma
LAmbDA	OLIGODENDROCYTE	0.642276423	0.929411765	0.759615385	85	0.987442922	OLIGODENDROCYTE	Brain	Glioblastoma
LAmbDA	OPC	0.943488943	0.945812808	0.944649446	406	0.992774112	OPC	Brain	Glioblastoma
LAmbDA	VASCULAR	0.621621622	0.901960784	0.736	51	0.992085924	VASCULAR	Vascular	Glioblastoma
scPred	ASTOCYTE	1	0.909090909	0.952380952	88	1	ASTOCYTE	Brain	Glioblastoma
