Input_Sample	ACINAR_CELL	B_CELL	DUCTAL_CELL_TYPE_1	DUCTAL_CELL_TYPE_2	ENDOCRINE_CELL	ENDOTHELIAL_CELL	FIBROBLAST	MACROPHAGE	STELLATE_CELL	T_CELL
clust20	0	0.12070676152358001	0.10070506336860399	0.2779015492048873	0.05486783750433869	0.0861978124012116	0.10650481776561015	0.06296870462788064	0.05548199656811316	0.13466545703577448
clust21	0.12986995572377985	0.11125417751431078	0.20414168206316033	0.11097892543428135	0.0493214799422889	0.14730957823320726	0.04518335907516505	0.007361055816052487	0.08443474375293475	0.11014504244481924
clust22	0.06156864396035644	0.08825198616901064	0.11773267506794859	0.09086640666732866	0.32376533428626303	0.06778975592916933	0.05338670136710965	0.058831055118833124	0.05426510063864658	0.08354234079533396
clust23	0.0359395785460549	0.20162643414433434	0.05504173568525697	0.07519965211792579	0.03993535562579331	0.05861232172222686	0.05149054024426058	0.2733818018293717	0.046498605821265186	0.16227397426351034
clust24	0.011035523917455778	0.10929042522837766	0.060406429314356476	0.06829939803858973	0.05654731014774	0.07133518648802481	0.1557006845483991	0.06529926077363306	0.16143962952818114	0.24064615201524225
clust25	0.036984285126094946	0.11835117948572418	0.05855143297676825	0.0730932985698422	0.0510954930955949	0.07823246648419557	0.10263419228591497	0.18421330318910198	0.17795308604648155	0.11889126274028143
clust26	0.01915155370239325	0.2167785677134227	0.038291339058501864	0.0540854184136887	0.027200073282497694	0.03921473600929678	0.03302275970519554	0.0693692900147634	0.030100990097716437	0.4727852720025237
clust27	0.07018959094542807	0.12324408648716036	0.031527126502167456	0.0996163415855597	0.038150887474861325	0.20984860555516485	0.0657901486305074	0.06843808664311844	0.08864226673794225	0.20455285943809012
clust28	0.010092405798626311	0.14793080831483058	0.02700080012180892	0.0860482316519844	0.026673270155045555	0.06200766293552207	0.0665880428741594	0.21777356580896662	0.029185471111143193	0.32669974122791295
clust29	0.054416061434798275	0.10246027748820719	0.07159604935442773	0.07533914153087246	0.05555273245359544	0.19890545200970572	0.07951078098030771	0.07056490771957265	0.19376422139530622	0.09789037563320666
clust30	0.06584525271469906	0.12629651223288355	0.035930284303888844	0.10079838961580445	0.021141140326567432	0.1891359991870435	0.05847588588148468	0.18485026087619685	0.08558919697960855	0.1319370778818231
clust31	0.16024245198548687	0.08027419226073	0.12088605155906172	0.06738694280140964	0.3401856190771754	0.06705051331334527	0.06176512719132094	8.88571651049486E-4	0.026222449245166427	0.07509808091525422
clust32	0.011155958828749554	0.12070359681020083	0.06368911014547159	0.07640649464553419	0.0617145808235797	0.08344022406625562	0.10831374369914747	0.06576724840127281	0.30405733962745873	0.10475170295232954
clust33	0.10301277774917321	0.09441947275727038	0.19904160363223292	0.08939096226263668	0.07068426670987218	0.08437856942725613	0.08611620044178729	0.008625371828755696	0.17450318067305692	0.0898275945179586
