gsm,altAnalyze,ascend,bigScale,cellranger,cidr,countClust,monocle,pcaReduce,phenograph,raceid,rca,sc3,scran,seurat,sincera,tscan,truth,category,x,cell,paper
GSM2243472,1,2,5,6,2,1,4,4,2,4,31,26,2,5,1,11,Neoplastic,Tumour,GSM2243472_1001000173.G2.csv,1001000173.G2,5
GSM2243473,1,2,5,8,1,1,3,11,2,9,55,27,13,6,1,2,Neoplastic,Tumour,GSM2243473_1001000173.A3.csv,1001000173.A3,5
GSM2243474,1,2,5,6,2,1,2,4,8,1,6,34,5,5,1,2,Neoplastic,Tumour,GSM2243474_1001000173.D3.csv,1001000173.D3,5
GSM2243475,1,2,5,8,1,1,3,11,2,4,32,26,13,6,1,2,Neoplastic,Tumour,GSM2243475_1001000173.E1.csv,1001000173.E1,5
GSM2243476,1,2,5,8,1,4,3,11,8,9,57,26,13,6,1,2,Neoplastic,Tumour,GSM2243476_1001000173.G12.csv,1001000173.G12,5
GSM2243477,1,2,5,6,2,1,2,4,8,1,25,34,5,5,1,11,Neoplastic,Tumour,GSM2243477_1001000173.C10.csv,1001000173.C10,5
GSM2243478,1,2,7,7,1,5,2,19,2,1,40,28,2,5,2,5,Neoplastic,Tumour,GSM2243478_1001000173.C3.csv,1001000173.C3,5
GSM2243479,3,1,3,2,3,2,30,5,5,5,29,3,12,1,4,17,Immune cell,Immune,GSM2243479_1001000173.D11.csv,1001000173.D11,7
GSM2243480,1,2,5,8,2,1,2,11,8,4,2,34,5,5,1,2,Neoplastic,Tumour,GSM2243480_1001000173.A5.csv,1001000173.A5,5
GSM2243481,1,2,5,8,1,1,3,8,2,3,3,26,13,6,1,2,Neoplastic,Tumour,GSM2243481_1001000173.G4.csv,1001000173.G4,5
GSM2243482,1,2,5,8,1,4,3,11,2,9,3,27,13,6,1,2,Neoplastic,Tumour,GSM2243482_1001000173.B11.csv,1001000173.B11,5
GSM2243483,1,2,5,6,2,1,2,4,8,1,2,34,5,5,1,11,Neoplastic,Tumour,GSM2243483_1001000173.G9.csv,1001000173.G9,5
GSM2243484,1,2,5,6,1,1,2,4,8,1,25,34,5,5,1,2,Neoplastic,Tumour,GSM2243484_1001000173.F1.csv,1001000173.F1,5
GSM2243485,1,2,5,8,1,5,3,11,8,4,32,34,13,5,1,2,Neoplastic,Tumour,GSM2243485_1001000173.D8.csv,1001000173.D8,5
GSM2243486,1,2,5,8,1,5,2,8,8,4,68,34,5,5,1,11,Neoplastic,Tumour,GSM2243486_1001000173.E12.csv,1001000173.E12,5
GSM2243487,1,2,5,8,1,1,3,11,8,9,39,34,13,5,1,2,Neoplastic,Tumour,GSM2243487_1001000173.F11.csv,1001000173.F11,5
GSM2243488,1,2,5,8,1,5,4,11,2,4,18,26,5,5,1,2,Neoplastic,Tumour,GSM2243488_1001000173.E5.csv,1001000173.E5,5
GSM2243489,1,2,5,8,1,1,2,4,8,1,6,34,2,5,1,2,Neoplastic,Tumour,GSM2243489_1001000173.G10.csv,1001000173.G10,5
GSM2243490,1,2,5,8,1,1,3,11,2,4,0,26,13,6,1,2,Neoplastic,Tumour,GSM2243490_1001000173.B9.csv,1001000173.B9,5
GSM2243491,4,1,3,10,4,2,17,21,5,6,0,3,8,8,4,14,Immune cell,Immune,GSM2243491_1001000173.F8.csv,1001000173.F8,7
GSM2243492,1,2,5,7,1,4,5,8,2,1,81,27,13,6,1,2,Neoplastic,Tumour,GSM2243492_1001000173.C7.csv,1001000173.C7,5
GSM2243493,1,2,5,8,1,1,2,4,8,1,25,34,5,5,1,2,Neoplastic,Tumour,GSM2243493_1001000173.B2.csv,1001000173.B2,5
GSM2243494,1,2,7,7,1,4,5,19,8,1,44,27,2,6,1,11,Neoplastic,Tumour,GSM2243494_1001000173.H4.csv,1001000173.H4,5
GSM2243495,3,1,3,1,3,2,16,13,5,5,4,3,8,2,4,14,Immune cell,Immune,GSM2243495_1001000173.D1.csv,1001000173.D1,7
GSM2243496,1,2,5,8,1,1,3,11,2,9,3,27,2,6,1,11,Neoplastic,Tumour,GSM2243496_1001000174.G5.csv,1001000174.G5,5
GSM2243497,1,2,5,6,2,1,2,4,8,9,18,34,2,5,1,11,Neoplastic,Tumour,GSM2243497_1001000174.H9.csv,1001000174.H9,5
GSM2243498,4,1,3,1,3,3,16,5,9,5,10,3,6,1,4,9,Immune cell,Immune,GSM2243498_1001000174.H2.csv,1001000174.H2,7
GSM2243499,1,2,7,7,1,4,2,2,8,1,0,28,1,6,2,5,Neoplastic,Tumour,GSM2243499_1001000174.E12.csv,1001000174.E12,5
GSM2243500,1,2,5,6,2,1,4,4,8,4,2,26,5,5,1,2,Neoplastic,Tumour,GSM2243500_1001000174.A10.csv,1001000174.A10,5
GSM2243501,1,2,7,7,2,5,2,2,8,1,55,28,1,5,2,5,Neoplastic,Tumour,GSM2243501_1001000174.G10.csv,1001000174.G10,5
GSM2243502,1,2,5,8,1,1,3,11,2,9,44,27,2,6,1,11,Neoplastic,Tumour,GSM2243502_1001000174.C8.csv,1001000174.C8,5
GSM2243503,1,2,7,6,1,1,2,19,8,1,3,34,1,5,1,11,Neoplastic,Tumour,GSM2243503_1001000174.F6.csv,1001000174.F6,5
GSM2243504,1,2,7,7,1,5,5,2,2,1,3,28,2,6,1,5,Neoplastic,Tumour,GSM2243504_1001000174.B4.csv,1001000174.B4,5
GSM2243505,1,2,5,7,1,5,5,19,2,14,58,34,10,6,1,11,Neoplastic,Tumour,GSM2243505_1001000174.H7.csv,1001000174.H7,5
GSM2243506,1,2,7,7,1,4,5,19,8,9,44,28,1,6,1,11,Neoplastic,Tumour,GSM2243506_1001000174.E10.csv,1001000174.E10,5
GSM2243507,1,2,7,7,1,4,12,2,8,1,3,28,1,6,2,5,Neoplastic,Tumour,GSM2243507_1001000174.D5.csv,1001000174.D5,5
GSM2243508,1,2,5,7,1,4,5,19,2,1,32,27,1,6,1,5,Neoplastic,Tumour,GSM2243508_1001000174.E5.csv,1001000174.E5,5
GSM2243509,1,2,5,7,1,1,2,19,2,2,3,28,1,5,1,11,Neoplastic,Tumour,GSM2243509_1001000174.B11.csv,1001000174.B11,5
GSM2243510,1,2,5,6,2,5,2,4,8,4,0,34,5,5,1,5,Neoplastic,Tumour,GSM2243510_1001000174.F10.csv,1001000174.F10,5
GSM2243511,1,2,5,6,2,1,2,4,8,1,2,34,2,5,1,5,Neoplastic,Tumour,GSM2243511_1001000174.A5.csv,1001000174.A5,5
GSM2243512,1,2,5,8,1,1,2,4,8,4,32,34,5,5,1,11,Neoplastic,Tumour,GSM2243512_1001000174.B8.csv,1001000174.B8,5
GSM2243513,1,2,5,8,1,1,3,11,2,9,57,27,13,6,1,2,Neoplastic,Tumour,GSM2243513_1001000174.F2.csv,1001000174.F2,5
GSM2243514,1,2,5,8,1,1,3,11,8,9,0,26,13,6,1,2,Neoplastic,Tumour,GSM2243514_1001000174.F9.csv,1001000174.F9,5
GSM2243515,1,2,5,7,2,5,2,19,2,1,39,28,1,5,2,5,Neoplastic,Tumour,GSM2243515_1001000174.F4.csv,1001000174.F4,5
GSM2243516,4,1,3,1,3,2,16,13,9,6,10,3,11,2,4,9,Immune cell,Immune,GSM2243516_1001000174.C10.csv,1001000174.C10,7
GSM2243517,1,2,5,8,1,5,5,8,2,4,71,26,10,6,1,11,Neoplastic,Tumour,GSM2243517_1001000174.B6.csv,1001000174.B6,5
GSM2243518,1,2,5,8,1,1,3,8,2,9,67,27,13,6,1,2,Neoplastic,Tumour,GSM2243518_1001000174.E2.csv,1001000174.E2,5
GSM2243519,1,2,7,7,2,5,2,19,2,1,3,28,1,5,2,5,Neoplastic,Tumour,GSM2243519_1001000174.G2.csv,1001000174.G2,5
GSM2243520,1,2,5,8,1,1,2,8,8,1,18,34,2,5,1,11,Neoplastic,Tumour,GSM2243520_1001000174.D8.csv,1001000174.D8,5
GSM2243521,1,2,5,8,1,5,4,11,2,4,26,26,10,5,1,11,Neoplastic,Tumour,GSM2243521_1001000174.H6.csv,1001000174.H6,5
GSM2243522,1,2,5,6,2,1,2,4,8,2,27,34,5,5,1,11,Neoplastic,Tumour,GSM2243522_1001000174.C3.csv,1001000174.C3,5
GSM2243523,1,2,7,7,1,4,5,19,2,9,3,27,2,6,1,11,Neoplastic,Tumour,GSM2243523_1001000174.B7.csv,1001000174.B7,5
GSM2243524,1,2,5,6,2,1,2,4,8,1,2,34,5,5,1,11,Neoplastic,Tumour,GSM2243524_1001000174.A7.csv,1001000174.A7,5
GSM2243525,1,2,5,8,2,5,4,11,2,4,3,26,5,5,1,11,Neoplastic,Tumour,GSM2243525_1001000174.H10.csv,1001000174.H10,5
GSM2243526,1,2,5,8,1,5,3,8,2,9,67,27,2,6,1,11,Neoplastic,Tumour,GSM2243526_1001000174.F7.csv,1001000174.F7,5
GSM2243527,1,2,7,6,2,5,2,19,2,1,3,34,1,5,2,5,Neoplastic,Tumour,GSM2243527_1001000174.A2.csv,1001000174.A2,5
GSM2243528,1,2,7,7,1,4,5,19,2,1,3,28,2,5,1,5,Neoplastic,Tumour,GSM2243528_1001000174.E4.csv,1001000174.E4,5
GSM2243529,1,2,5,6,1,5,2,4,2,4,66,34,5,5,1,11,Neoplastic,Tumour,GSM2243529_1001000174.D12.csv,1001000174.D12,5
GSM2243530,1,2,5,6,2,5,2,4,8,1,83,34,5,5,1,11,Neoplastic,Tumour,GSM2243530_1001000174.H4.csv,1001000174.H4,5
GSM2243531,1,2,5,8,1,1,2,4,8,1,3,26,1,5,1,5,Neoplastic,Tumour,GSM2243531_1001000174.C5.csv,1001000174.C5,5
GSM2243532,1,2,5,6,2,1,2,4,8,1,2,34,2,5,1,5,Neoplastic,Tumour,GSM2243532_1001000174.E9.csv,1001000174.E9,5
GSM2243533,1,2,5,8,1,5,3,11,2,9,32,27,13,6,1,11,Neoplastic,Tumour,GSM2243533_1001000174.D1.csv,1001000174.D1,5
GSM2243534,1,2,5,7,1,5,5,19,2,4,66,27,2,6,1,5,Neoplastic,Tumour,GSM2243534_1001000174.G4.csv,1001000174.G4,5
GSM2243535,1,2,5,8,1,5,3,11,2,9,3,27,13,6,1,11,Neoplastic,Tumour,GSM2243535_1001000174.G9.csv,1001000174.G9,5
GSM2243536,1,2,5,8,1,5,4,11,2,4,18,26,13,6,1,2,Neoplastic,Tumour,GSM2243536_1001000174.D4.csv,1001000174.D4,5
GSM2243537,1,2,5,8,1,5,3,8,2,4,3,27,13,6,1,11,Neoplastic,Tumour,GSM2243537_1001000174.H11.csv,1001000174.H11,5
GSM2243538,1,2,5,8,1,4,3,11,2,9,32,27,13,6,1,2,Neoplastic,Tumour,GSM2243538_1001000174.A9.csv,1001000174.A9,5
GSM2243539,4,1,3,1,3,3,14,14,9,6,1,3,3,2,4,1,Immune cell,Immune,GSM2243539_1001000174.G12.csv,1001000174.G12,7
GSM2243540,1,2,5,7,1,4,5,8,2,9,43,27,2,6,1,11,Neoplastic,Tumour,GSM2243540_1001000174.A4.csv,1001000174.A4,5
GSM2243541,1,2,5,8,1,5,5,8,2,14,44,27,10,6,1,11,Neoplastic,Tumour,GSM2243541_1001000174.C7.csv,1001000174.C7,5
GSM2243542,1,2,7,7,1,5,5,2,9,1,19,28,1,6,1,5,Neoplastic,Tumour,GSM2243542_1001000174.B12.csv,1001000174.B12,5
GSM2243543,1,2,5,6,2,1,2,4,8,2,6,34,2,5,1,11,Neoplastic,Tumour,GSM2243543_1001000174.D11.csv,1001000174.D11,5
GSM2243544,4,1,3,2,3,2,30,5,5,7,1,3,3,1,4,9,Immune cell,Immune,GSM2243544_1001000174.B3.csv,1001000174.B3,7
GSM2243545,1,2,5,7,1,5,5,19,2,1,58,28,10,6,1,5,Neoplastic,Tumour,GSM2243545_1001000174.F5.csv,1001000174.F5,5
GSM2243546,1,2,5,7,1,5,5,19,2,1,3,28,1,6,1,5,Neoplastic,Tumour,GSM2243546_1001000174.G6.csv,1001000174.G6,5
GSM2243547,1,2,7,7,2,5,2,2,8,1,52,28,1,5,2,5,Neoplastic,Tumour,GSM2243547_1001000174.D6.csv,1001000174.D6,5
GSM2243548,1,2,5,8,1,4,3,8,2,9,3,27,13,6,1,11,Neoplastic,Tumour,GSM2243548_1001000174.H3.csv,1001000174.H3,5
GSM2243549,1,2,7,7,2,5,2,19,2,1,3,28,1,5,2,5,Neoplastic,Tumour,GSM2243549_1001000174.F12.csv,1001000174.F12,5
GSM2243550,1,2,7,7,1,1,12,2,8,34,42,39,1,14,2,11,Neoplastic,Tumour,GSM2243550_1001000174.E6.csv,1001000174.E6,5
GSM2243551,1,2,5,6,2,1,2,4,8,2,2,34,2,5,1,11,Neoplastic,Tumour,GSM2243551_1001000174.G3.csv,1001000174.G3,5
GSM2243552,1,2,5,8,1,5,5,8,2,9,3,27,13,6,1,11,Neoplastic,Tumour,GSM2243552_1001000174.A8.csv,1001000174.A8,5
GSM2243553,1,2,5,6,2,1,2,4,8,2,2,34,5,5,1,11,Neoplastic,Tumour,GSM2243553_1001000174.B10.csv,1001000174.B10,5
GSM2243554,1,2,5,8,1,5,4,11,8,4,18,34,5,5,1,11,Neoplastic,Tumour,GSM2243554_1001000174.C2.csv,1001000174.C2,5
GSM2243555,1,2,5,7,1,5,5,8,2,1,43,26,10,6,1,11,Neoplastic,Tumour,GSM2243555_1001000174.F1.csv,1001000174.F1,5
GSM2243556,4,1,1,2,3,3,11,23,9,5,10,16,6,1,4,9,Immune cell,Immune,GSM2243556_1001000174.F3.csv,1001000174.F3,7
GSM2243557,1,2,5,8,1,1,3,11,2,9,3,27,13,6,1,2,Neoplastic,Tumour,GSM2243557_1001000174.C11.csv,1001000174.C11,5
GSM2243558,1,2,7,6,2,5,2,2,8,1,42,28,1,5,2,5,Neoplastic,Tumour,GSM2243558_1001000174.H8.csv,1001000174.H8,5
GSM2243559,1,2,5,6,2,1,2,4,8,1,25,34,2,5,1,11,Neoplastic,Tumour,GSM2243559_1001000174.H1.csv,1001000174.H1,5
GSM2243560,1,2,7,7,1,3,5,19,8,1,44,28,1,6,1,5,Neoplastic,Tumour,GSM2243560_1001000174.G8.csv,1001000174.G8,5
GSM2243561,1,2,5,6,1,5,2,4,8,1,63,34,5,5,1,11,Neoplastic,Tumour,GSM2243561_1001000174.B5.csv,1001000174.B5,5
GSM2243562,1,2,5,6,2,1,2,4,8,2,2,34,2,5,1,11,Neoplastic,Tumour,GSM2243562_1001000174.E11.csv,1001000174.E11,5
GSM2243563,3,3,7,7,1,4,5,19,6,3,66,28,1,6,2,11,Neoplastic,Tumour,GSM2243563_1001000174.E8.csv,1001000174.E8,5
GSM2243564,1,2,5,7,1,4,5,19,2,1,32,27,1,6,1,5,Neoplastic,Tumour,GSM2243564_1001000174.F11.csv,1001000174.F11,5
GSM2243565,1,2,7,7,2,1,2,19,2,1,18,28,1,5,2,5,Neoplastic,Tumour,GSM2243565_1001000174.A1.csv,1001000174.A1,5
GSM2243566,1,2,5,8,1,5,4,11,8,4,32,34,10,5,1,11,Neoplastic,Tumour,GSM2243566_1001000174.E7.csv,1001000174.E7,5
GSM2243567,1,2,5,7,1,5,5,8,2,4,3,26,10,6,1,11,Neoplastic,Tumour,GSM2243567_1001000174.B1.csv,1001000174.B1,5
GSM2243568,1,2,7,7,2,5,2,19,8,1,0,28,1,5,2,5,Neoplastic,Tumour,GSM2243568_1001000174.C12.csv,1001000174.C12,5
GSM2243569,1,2,5,8,1,5,3,11,2,4,3,27,13,6,1,11,Neoplastic,Tumour,GSM2243569_1001000174.C9.csv,1001000174.C9,5
GSM2243570,1,2,5,6,2,5,2,4,8,1,16,34,5,5,1,11,Neoplastic,Tumour,GSM2243570_1001000174.D7.csv,1001000174.D7,5
GSM2243571,1,2,5,8,1,1,4,11,2,4,2,34,5,5,1,11,Neoplastic,Tumour,GSM2243571_1001000174.D2.csv,1001000174.D2,5
GSM2243572,1,2,5,8,1,5,3,11,2,9,3,27,13,6,1,2,Neoplastic,Tumour,GSM2243572_1001000174.C4.csv,1001000174.C4,5
GSM2243573,1,2,5,8,1,1,3,8,8,9,3,27,2,6,1,2,Neoplastic,Tumour,GSM2243573_1001000174.F8.csv,1001000174.F8,5
GSM2243574,1,2,5,8,1,5,4,11,2,4,18,26,13,6,1,11,Neoplastic,Tumour,GSM2243574_1001000174.D10.csv,1001000174.D10,5
GSM2243575,1,2,5,8,2,1,4,11,8,4,2,26,5,5,1,11,Neoplastic,Tumour,GSM2243575_1001000174.G11.csv,1001000174.G11,5
GSM2243576,1,2,5,7,1,4,5,19,2,1,58,27,1,6,1,5,Neoplastic,Tumour,GSM2243576_1001000174.A3.csv,1001000174.A3,5
GSM2243577,1,2,5,8,1,5,3,11,2,4,18,26,13,6,1,2,Neoplastic,Tumour,GSM2243577_1001000174.E3.csv,1001000174.E3,5
GSM2243578,1,2,5,6,2,1,2,4,8,2,2,34,5,5,1,11,Neoplastic,Tumour,GSM2243578_1001000174.H5.csv,1001000174.H5,5
GSM2243579,1,2,7,7,2,1,12,2,8,38,0,39,1,14,2,5,Neoplastic,Tumour,GSM2243579_1001000174.C6.csv,1001000174.C6,5
GSM2243580,1,2,7,7,1,5,5,19,8,1,43,28,1,6,2,5,Neoplastic,Tumour,GSM2243580_1001000174.D3.csv,1001000174.D3,5
GSM2243581,1,2,5,8,1,5,5,8,2,9,3,27,2,6,1,11,Neoplastic,Tumour,GSM2243581_1001000174.D9.csv,1001000174.D9,5
GSM2243582,1,2,5,6,2,1,2,4,8,1,2,34,5,5,1,11,Neoplastic,Tumour,GSM2243582_1001000175.E1.csv,1001000175.E1,5
GSM2243583,1,2,5,6,1,5,2,4,8,1,31,34,5,5,1,11,Neoplastic,Tumour,GSM2243583_1001000175.A3.csv,1001000175.A3,5
GSM2243584,1,2,7,7,2,6,2,2,8,1,44,28,1,5,2,5,Neoplastic,Tumour,GSM2243584_1001000175.H2.csv,1001000175.H2,5
GSM2243585,1,2,5,7,1,4,5,8,2,9,31,27,2,6,1,11,Neoplastic,Tumour,GSM2243585_1001000175.C11.csv,1001000175.C11,5
GSM2243586,3,3,3,5,4,4,26,14,5,1,29,19,1,3,4,1,Immune cell,Immune,GSM2243586_1001000175.D9.csv,1001000175.D9,7
GSM2243587,1,2,7,7,2,6,10,2,8,1,57,28,1,5,2,15,Neoplastic,Tumour,GSM2243587_1001000175.G12.csv,1001000175.G12,5
GSM2243588,1,2,5,7,1,5,5,19,2,1,66,28,1,6,1,5,Neoplastic,Tumour,GSM2243588_1001000175.F3.csv,1001000175.F3,5
GSM2243589,1,2,5,6,2,1,2,4,8,1,16,34,2,5,1,11,Neoplastic,Tumour,GSM2243589_1001000175.B9.csv,1001000175.B9,5
GSM2243590,1,2,7,7,1,5,5,19,2,1,31,28,1,6,1,5,Neoplastic,Tumour,GSM2243590_1001000175.H4.csv,1001000175.H4,5
GSM2243591,1,5,7,7,1,1,5,8,8,1,38,26,1,6,1,16,Neoplastic,Tumour,GSM2243591_1001000175.G2.csv,1001000175.G2,5
GSM2243592,1,2,7,7,1,6,13,2,8,9,0,39,1,9,2,15,Neuron,Brain,GSM2243592_1001000175.H9.csv,1001000175.H9,6
GSM2243593,1,2,7,6,2,5,2,19,2,1,43,28,1,5,1,5,Neoplastic,Tumour,GSM2243593_1001000175.G11.csv,1001000175.G11,5
GSM2243594,1,2,5,8,1,5,5,8,2,9,3,27,13,6,1,2,Neoplastic,Tumour,GSM2243594_1001000175.B4.csv,1001000175.B4,5
GSM2243595,3,2,5,8,1,1,5,8,5,3,39,27,2,6,1,11,Neoplastic,Tumour,GSM2243595_1001000175.D2.csv,1001000175.D2,5
GSM2243596,1,2,7,7,1,4,5,19,2,1,3,27,2,6,1,5,Neoplastic,Tumour,GSM2243596_1001000175.C1.csv,1001000175.C1,5
GSM2243597,1,2,5,8,1,5,3,11,2,4,32,27,10,6,1,2,Neoplastic,Tumour,GSM2243597_1001000175.G7.csv,1001000175.G7,5
GSM2243598,1,2,5,7,1,4,5,19,8,1,43,27,1,6,1,5,Neoplastic,Tumour,GSM2243598_1001000175.E8.csv,1001000175.E8,5
GSM2243599,1,2,5,6,2,1,2,4,8,2,2,34,2,5,1,11,Neoplastic,Tumour,GSM2243599_1001000175.F6.csv,1001000175.F6,5
GSM2243600,1,2,7,8,1,1,2,4,2,2,3,34,2,5,1,11,Neoplastic,Tumour,GSM2243600_1001000175.H6.csv,1001000175.H6,5
GSM2243601,1,2,7,7,2,5,2,2,8,1,0,28,1,5,2,5,Neoplastic,Tumour,GSM2243601_1001000175.H11.csv,1001000175.H11,5
GSM2243602,1,2,5,6,2,5,4,4,2,4,3,26,5,5,1,11,Neoplastic,Tumour,GSM2243602_1001000175.C7.csv,1001000175.C7,5
GSM2243603,1,2,5,8,1,1,4,11,2,4,0,26,5,6,1,2,Neoplastic,Tumour,GSM2243603_1001000175.A11.csv,1001000175.A11,5
GSM2243604,1,2,5,6,1,5,2,19,8,1,2,28,1,5,2,5,Neoplastic,Tumour,GSM2243604_1001000175.G8.csv,1001000175.G8,5
GSM2243605,1,2,5,7,2,5,2,19,2,1,18,28,1,5,1,5,Neoplastic,Tumour,GSM2243605_1001000175.A7.csv,1001000175.A7,5
GSM2243606,1,2,5,6,1,5,2,4,8,1,0,34,5,5,1,11,Neoplastic,Tumour,GSM2243606_1001000175.H5.csv,1001000175.H5,5
GSM2243607,1,2,5,8,2,1,8,11,8,2,24,34,2,13,1,2,Neoplastic,Tumour,GSM2243607_1001000175.F8.csv,1001000175.F8,5
GSM2243608,1,2,5,8,1,5,3,8,2,14,71,27,10,6,1,11,Neoplastic,Tumour,GSM2243608_1001000175.D12.csv,1001000175.D12,5
GSM2243609,1,2,7,7,1,5,5,19,2,1,88,27,2,6,1,11,Neoplastic,Tumour,GSM2243609_1001000175.A5.csv,1001000175.A5,5
GSM2243610,1,2,5,7,1,5,2,19,2,1,43,34,2,5,1,11,Neoplastic,Tumour,GSM2243610_1001000175.D4.csv,1001000175.D4,5
GSM2243612,1,2,7,7,1,6,5,19,8,1,31,39,1,15,5,11,Vascular,Vascular,GSM2243612_1001000175.B6.csv,1001000175.B6,1
GSM2243614,1,2,7,7,2,5,2,2,2,1,2,28,2,5,2,11,Neoplastic,Tumour,GSM2243614_1001000175.D10.csv,1001000175.D10,5
GSM2243616,1,2,5,7,1,5,2,19,2,1,40,28,1,5,2,5,Neoplastic,Tumour,GSM2243616_1001000175.A9.csv,1001000175.A9,5
