cell,seurat,truth,paper
BC07LN_34,4,Tumor,4
BC07LN_35,4,Tumor,4
BC07LN_36,4,Tumor,4
BC07LN_40,4,Tumor,4
BC07LN_41,4,Tumor,4
BC07LN_42,4,Tumor,4
BC07LN_49,1,Bcell,6
BC07LN_50,1,Bcell,6
BC07LN_51,4,Tumor,4
BC07LN_52,4,Tumor,4
BC07LN_53,1,Bcell,6
BC07LN_54,1,Tcell,2
BC07LN_57,4,Tumor,4
BC07LN_59,1,Bcell,6
BC07LN_60,4,Tumor,4
BC07LN_62,1,Bcell,6
BC07LN_64,1,Bcell,6
BC07LN_67,1,Bcell,6
BC07LN_68,1,Bcell,6
BC07LN_71,7,Bcell,6
BC07LN_73,4,Tumor,4
BC07LN_75,4,Tumor,4
BC07LN_79,4,Tumor,4
BC07LN_81,1,Bcell,6
BC07LN_82,4,Tumor,4
BC07LN_83,1,Bcell,6
BC07LN_84,7,Bcell,6
BC07LN_86,4,Tumor,4
BC07LN_89,1,Bcell,6
BC07LN_91,4,Tumor,4
BC07LN_94,1,Bcell,6
BC07LN_95,4,Tumor,4
BC07LN_96,1,Bcell,6
BC01_50,3,Stromal,5
BC02_02,5,Tumor,4
BC02_08,5,Tumor,4
BC02_09,5,Tumor,4
BC02_10,5,Tumor,4
BC02_11,5,Tumor,4
BC02_12,5,Tumor,4
BC02_13,5,Tumor,4
BC02_14,5,Tumor,4
BC02_15,5,Tumor,4
BC02_18,5,Tumor,4
BC02_19,5,Tumor,4
BC02_22,5,Tumor,4
BC02_24,5,Tumor,4
BC02_25,5,Tumor,4
BC02_26,5,Tumor,4
BC02_28,5,Tumor,4
BC02_31,5,Tumor,4
BC02_34,5,Tumor,4
BC02_44,5,Tumor,4
BC02_47,5,Tumor,4
BC02_50,5,Tumor,4
BC02_51,5,Tumor,4
BC02_53,5,Tumor,4
BC02_54,5,Tumor,4
BC02_55,5,Tumor,4
BC02_58,5,Tumor,4
BC02_59,5,Tumor,4
BC02_60,9,Tumor,4
BC02_61,5,Tumor,4
BC02_62,5,Tumor,4
BC02_63,5,Tumor,4
BC02_64,5,Tumor,4
BC02_66,5,Tumor,4
BC02_67,5,Tumor,4
BC02_68,5,Tumor,4
BC02_70,5,Tumor,4
BC02_71,5,Tumor,4
BC02_73,5,Tumor,4
BC02_74,5,Tumor,4
BC02_75,5,Tumor,4
BC02_76,5,Tumor,4
BC02_79,5,Tumor,4
BC02_81,5,Tumor,4
BC02_82,5,Tumor,4
BC02_83,5,Tumor,4
BC02_86,5,Tumor,4
BC02_88,5,Tumor,4
BC02_89,5,Tumor,4
BC02_90,5,Tumor,4
BC02_93,5,Tumor,4
BC02_94,5,Tumor,4
BC02_95,5,Tumor,4
BC02_96,5,Tumor,4
BC03_25,1,Tcell,2
BC03_53,1,Bcell,6
BC03_66,1,Tcell,2
BC03_85,1,Tcell,2
BC03LN_58,1,Bcell,6
BC03LN_74,1,Bcell,6
BC04_14,6,Tumor,4
BC04_16,6,Tumor,4
BC04_22,6,Tumor,4
BC04_30,6,Tumor,4
BC04_35,9,Myeloid,3
BC04_62,1,Tcell,2
BC04_72,9,Myeloid,3
BC05_01,2,Tumor,4
BC05_02,2,Tumor,4
BC05_04,2,Tumor,4
BC05_07,2,Tumor,4
BC05_08,2,Tumor,4
BC05_09,2,Tumor,4
BC05_12,2,Tumor,4
BC05_13,2,Tumor,4
BC05_16,2,Tumor,4
BC05_17,2,Tumor,4
BC05_18,2,Tumor,4
BC05_20,2,Tumor,4
BC05_21,2,Tumor,4
BC05_22,2,Tumor,4
BC05_23,2,Tumor,4
BC05_25,2,Tumor,4
BC05_26,2,Tumor,4
BC05_27,2,Tumor,4
BC05_28,2,Tumor,4
BC05_29,2,Tumor,4
BC05_30,2,Tumor,4
BC05_31,2,Tumor,4
BC05_32,2,Tumor,4
BC05_33,2,Tumor,4
BC05_34,2,Tumor,4
BC05_35,2,Tumor,4
BC05_36,2,Tumor,4
BC05_37,2,Tumor,4
BC05_38,2,Tumor,4
BC05_39,2,Tumor,4
BC05_41,2,Tumor,4
BC05_42,2,Tumor,4
BC05_43,2,Tumor,4
BC05_44,2,Tumor,4
BC05_45,2,Tumor,4
BC05_46,2,Tumor,4
BC05_47,2,Tumor,4
BC05_48,2,Tumor,4
BC05_49,2,Tumor,4
BC05_50,2,Tumor,4
BC05_52,2,Tumor,4
BC05_53,2,Tumor,4
BC05_55,2,Tumor,4
BC05_57,2,Tumor,4
BC05_59,2,Tumor,4
BC05_60,2,Tumor,4
BC05_61,2,Tumor,4
BC05_62,2,Tumor,4
BC05_63,2,Tumor,4
BC05_64,2,Tumor,4
BC05_68,2,Tumor,4
BC05_69,2,Tumor,4
BC05_70,2,Tumor,4
BC05_71,2,Tumor,4
BC05_72,2,Tumor,4
BC05_73,2,Tumor,4
BC05_74,9,Stromal,5
BC05_75,2,Tumor,4
BC05_77,2,Tumor,4
BC05_78,2,Tumor,4
BC05_79,2,Tumor,4
BC05_80,2,Tumor,4
BC05_81,2,Tumor,4
BC05_83,2,Tumor,4
BC05_84,2,Tumor,4
BC05_85,2,Tumor,4
BC05_86,2,Tumor,4
BC05_87,2,Tumor,4
BC05_88,2,Tumor,4
BC05_90,2,Tumor,4
BC05_91,2,Tumor,4
BC05_92,2,Tumor,4
BC05_93,2,Tumor,4
BC05_94,2,Tumor,4
BC05_95,2,Tumor,4
BC05_96,2,Tumor,4
BC06_04,1,Bcell,6
BC06_08,3,Stromal,5
BC06_10,3,Tumor,4
BC06_21,1,Bcell,6
BC06_23,3,Tumor,4
BC06_25,1,Bcell,6
BC06_26,1,Bcell,6
BC06_27,3,Tumor,4
BC06_28,3,Tumor,4
BC06_29,1,Bcell,6
BC06_32,3,Tumor,4
BC06_39,3,Tumor,4
BC06_40,7,Bcell,6
BC06_43,5,Stromal,5
BC06_58,1,Bcell,6
BC06_60,3,Tumor,4
BC06_61,1,Bcell,6
BC06_74,3,Tumor,4
BC07_07,3,Myeloid,3
BC07_55,3,Myeloid,3
BC07_58,4,Myeloid,3
BC07LN_30,4,Tumor,4
BC07LN_90,1,Tcell,2
BC08_01,3,Stromal,5
BC08_04,3,Stromal,5
BC08_06,3,Tumor,4
BC08_08,3,Tumor,4
BC08_10,9,Myeloid,3
BC08_22,3,Tumor,4
BC08_24,3,Tumor,4
BC08_27,3,Tumor,4
BC08_31,3,Stromal,5
BC08_33,3,Tumor,4
BC08_36,3,Tumor,4
BC08_48,3,Tumor,4
BC08_51,3,Tumor,4
BC08_54,3,Stromal,5
BC08_56,3,Tumor,4
BC08_59,3,Tumor,4
BC08_70,3,Tumor,4
BC08_73,3,Tumor,4
BC08_83,3,Stromal,5
BC08_88,3,Stromal,5
BC08_94,3,Tumor,4
BC08_95,3,Tumor,4
BC09_05,9,Myeloid,3
BC09_13,3,Stromal,5
BC09_19,1,Tcell,2
BC09_21,1,Tcell,2
BC09_25,9,Myeloid,3
BC09_29,9,Myeloid,3
BC09_31,9,Myeloid,3
BC09_33,9,Myeloid,3
BC09_34,9,Myeloid,3
BC09_37,9,Myeloid,3
BC09_42,9,Myeloid,3
BC09_44,3,Tcell,2
BC09_45,9,Myeloid,3
BC09_46,9,Myeloid,3
BC09_48,9,Myeloid,3
BC09_49,1,Tcell,2
BC09_50,3,Myeloid,3
BC09_53,1,Bcell,6
BC09_57,1,Tcell,2
BC09_64,1,Myeloid,3
BC09_65,9,Myeloid,3
BC09_70,3,Stromal,5
BC09_83,9,Myeloid,3
BC09_86,1,Tcell,2
BC09_92,9,Myeloid,3
BC09_93,1,Tcell,2
BC09_Re_01,3,Tcell,2
BC09_Re_03,1,Tcell,2
BC09_Re_05,3,Stromal,5
BC09_Re_06,1,Tcell,2
BC09_Re_07,1,Tcell,2
BC09_Re_13,3,Stromal,5
BC09_Re_14,1,Tcell,2
BC09_Re_15,1,Tcell,2
BC09_Re_21,1,Tcell,2
BC09_Re_32,1,Myeloid,3
BC09_Re_37,1,Tcell,2
BC09_Re_39,1,Tcell,2
BC09_Re_41,1,Tcell,2
BC09_Re_43,1,Tcell,2
BC09_Re_44,1,Myeloid,3
BC09_Re_46,9,Myeloid,3
BC09_Re_54,1,Tcell,2
BC09_Re_57,1,Tcell,2
BC09_Re_59,1,Myeloid,3
BC09_Re_60,1,Tcell,2
BC09_Re_61,1,Bcell,6
BC09_Re_62,1,Tcell,2
BC09_Re_66,1,Tcell,2
BC09_Re_74,1,Tcell,2
BC09_Re_80,1,Myeloid,3
BC09_Re_83,1,Tcell,2
BC09_Re_88,1,Myeloid,3
BC09_Re_94,1,Tcell,2
BC09_Re_95,1,Tcell,2
BC10_07,9,Myeloid,3
BC10_09,3,Tumor,4
BC10_16,3,Tumor,4
BC10_20,3,Stromal,5
BC10_43,9,Myeloid,3
BC10_47,3,Tumor,4
BC10_54,3,Tumor,4
BC10_58,3,Tumor,4
BC10_67,3,Stromal,5
BC10_69,3,Tumor,4
BC10_73,3,Tumor,4
BC10_80,3,Tumor,4
BC10_81,3,Tumor,4
BC10_85,3,Tumor,4
BC10_95,3,Tumor,4
BC11_01,3,Tumor,4
BC11_04,3,Tumor,4
BC11_07,3,Tumor,4
BC11_28,1,Tumor,4
BC11_43,3,Tumor,4
BC11_56,3,Tumor,4
BC11_69,3,Tumor,4
BC11_70,3,Tumor,4
BC11_78,3,Tumor,4
BC11_81,3,Tumor,4
BC11_88,3,Tumor,4
