genes	clust3	clust4	clust6	clust7	clust10	clust11	clust13	clust17	clust19	clust20
AAMP	0.079578700994734	0.111312545322698	0.128145114101814	0.100050530570995	0.144496609285342	0.139294117647059	0.193899782135076	0.099058380414313	0.197386210004507	0.192471358428805
AANAT	0.000585137507314	0.000725163161711	0.000585137507314	0	0	0.000941176470588	0	0.0015065913371	0.000450653447499	0.001963993453355
AAR2	0.016383850204798	0.025380710659899	0.028671737858397	0.028802425467408	0.041210224308816	0.046117647058824	0.032679738562092	0.024858757062147	0.058134294727355	0.058919803600655
AARD	0.001755412521943	0.002900652646846	0.004681100058514	0.006063668519454	0.001043296817945	0.005647058823529	0.002178649237473	0.002636534839925	0.005182514646237	0.002291325695581
AARS	0.012287887653599	0.008701957940537	0.027501462843768	0.037897928246589	0.046948356807512	0.031058823529412	0.037037037037037	0.012429378531074	0.070752591257323	0.09721767594108
AARS2	0.017554125219427	0.015591007976795	0.023405500292569	0.026275896917635	0.034950443401148	0.02964705882353	0.041394335511983	0.018832391713748	0.041234790446147	0.061865793780687
AARSD1	0.055588063194851	0.034445250181291	0.07899356348742	0.063163213744315	0.070422535211268	0.063058823529412	0.119825708061002	0.032391713747646	0.108382154123479	0.12013093289689
AASDH	0.054417788180222	0.048948513415519	0.067875950848449	0.061647296614452	0.100678142931664	0.067764705882353	0.09041394335512	0.053860640301318	0.102748986029743	0.126677577741408
AASDHPPT	0.138092451726156	0.117476432197244	0.179052077238151	0.191005558362809	0.259780907668232	0.16	0.186274509803922	0.091902071563089	0.330779630464173	0.404255319148936
AASS	0.081334113516677	0.00507614213198	0.065535400819193	0.020717534108136	0	0.002352941176471	0.047930283224401	0.002636534839925	0.019152771518702	0.004582651391162
AATBC	0.002340550029257	0.016316171138506	0.002340550029257	0.001515917129864	0.009389671361502	0.016470588235294	0.002178649237473	0.029001883239171	0.001351960342497	0.001636661211129
AATF	0.075482738443534	0.109862218999275	0.121708601521358	0.092976250631632	0.238914971309337	0.106823529411765	0.181917211328976	0.109227871939736	0.166967102298333	0.258592471358429
AATK	0.001170275014628	0.003988397389413	0.004681100058514	0.003537139969682	0.004694835680751	0.000941176470588	0	0.005273069679849	0.001577287066246	0.000981996726678
AATK-AS1	0	0	0	0	0	0	0	0	0	0
ABALON	0.004681100058514	0.005801305293691	0.005851375073142	0.008590197069227	0.006259780907668	0.007058823529412	0.005446623093682	0.006026365348399	0.013068949977467	0.007528641571195
ABAT	0.008777062609713	0.021392313270486	0.007021650087771	0.008084891359272	0.01773604590506	0.015529411764706	0.006535947712418	0.020715630885123	0.008787742226228	0.007201309328969
ABCA1	0.057343475716794	0.067077592458303	0.038619075482739	0.03688731682668	0.099634846113719	0.058823529411765	0.029411764705882	0.087382297551789	0.029743127534926	0.020294599018003
ABCA10	0.0040959625512	0.002175489485134	0.004681100058514	0.003537139969682	0.004173187271779	0.006117647058824	0.003267973856209	0.001883239171375	0.006534474988734	0.003600654664484
ABCA11P	0.016383850204798	0.010877447425671	0.022820362785255	0.016169782718545	0.007824726134585	0.025411764705882	0.019607843137255	0.003389830508475	0.021406038756197	0.026841243862521
ABCA12	0.002340550029257	0	0.003510825043885	0.002526528549773	0.000521648408972	0.002352941176471	0.003267973856209	0	0.002478593961244	0.000327332242226
ABCA13	0.029842012873025	0.011240029006527	0.016968987712112	0.011116725619	0.004173187271779	0.012705882352941	0.026143790849673	0.006403013182674	0.00788643533123	0.007201309328969
ABCA17P	0.001170275014628	0	0	0	0	0	0	0.000376647834275	0.000225326723749	0.001636661211129
ABCA2	0.014043300175541	0.006526468455402	0.036863662960796	0.01566447700859	0.011997913406364	0.008	0.030501089324619	0.006779661016949	0.021180712032447	0.024877250409165
ABCA3	0.003510825043885	0.000725163161711	0.001170275014628	0.003031834259727	0.001564945226917	0.003294117647059	0.001089324618736	0.00225988700565	0.003379900856242	0.001309328968903
ABCA4	0.000585137507314	0	0	0	0.000521648408972	0	0	0	0	0
ABCA5	0.092451726155647	0.024655547498187	0.089526038619076	0.03233956543709	0.067292644757434	0.037647058823529	0.076252723311547	0.031638418079096	0.024785939612438	0.017675941080196
ABCA6	0.002925687536571	0.002175489485134	0.000585137507314	0.016675088428499	0.00886802295253	0.025882352941177	0	0.007156308851224	0.050022532672375	0.011456628477905
ABCA7	0.009362200117028	0.051849166062364	0.014628437682856	0.029307731177362	0.055816379760042	0.088470588235294	0.022875816993464	0.094161958568738	0.038981523208653	0.027168576104746
ABCA8	0.001170275014628	0	0	0	0	0	0	0	0	0
ABCA9	0.000585137507314	0.001450326323423	0	0.020212228398181	0.001043296817945	0.01364705882353	0	0.005273069679849	0.011041009463722	0.001636661211129
ABCA9-AS1	0.000585137507314	0	0	0.000505305709955	0	0.000470588235294	0	0	0	0
ABCB1	0.083089526038619	0.001812907904278	0.07489760093622	0.050025265285498	0	0.016941176470588	0.0119825708061	0.00225988700565	0.029968454258675	0.002291325695581
ABCB10	0.02633118782914	0.056200145032632	0.05968402574605	0.029813036887317	0.100678142931664	0.053176470588235	0.124183006535948	0.049340866290019	0.051149166291122	0.103436988543372
ABCB11	0	0	0	0	0	0.000470588235294	0	0	0.000225326723749	0
ABCB4	0.001755412521943	0.000362581580856	0.001170275014628	0.001010611419909	0.003651538862806	0.005647058823529	0.004357298474946	0	0.001126633618747	0.011129296235679
ABCB5	0.003510825043885	0.004713560551124	0.005851375073142	0.008084891359272	0.001564945226917	0.007058823529412	0.004357298474946	0.006026365348399	0.005633168093736	0.002291325695581
ABCB6	0.004681100058514	0.001087744742567	0.003510825043885	0.0055583628095	0.000521648408972	0.001411764705882	0.002178649237473	0.00075329566855	0.00383055430374	0.002618657937807
ABCB7	0.057928613224108	0.05221174764322	0.091866588648332	0.070237493683679	0.100678142931664	0.065882352941177	0.10239651416122	0.052730696798493	0.104326273095989	0.108019639934534
ABCB8	0.002340550029257	0.003988397389413	0.002340550029257	0.0055583628095	0.006259780907668	0.002352941176471	0.005446623093682	0.001883239171375	0.004281207751239	0.005237315875614
ABCB9	0.001170275014628	0.000362581580856	0.002925687536571	0.001010611419909	0.004173187271779	0.003764705882353	0.001089324618736	0.000376647834275	0.003154574132492	0.001963993453355
ABCC1	0.095377413692218	0.046047860768673	0.125804564072557	0.163719050025265	0.066249347939489	0.061176470588235	0.068627450980392	0.047080979284369	0.227129337539432	0.093944353518822
ABCC10	0.0040959625512	0.010152284263959	0.005851375073142	0.007579585649318	0.018779342723005	0.012235294117647	0.0119825708061	0.011676082862524	0.010365029292474	0.012438625204583
ABCC11	0	0.001087744742567	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0.000470588235294	0	0	0	0
ABCC13	0.001170275014628	0.00253807106599	0.000585137507314	0.002021222839818	0.000521648408972	0.002823529411765	0.001089324618736	0.0015065913371	0.002253267237494	0.001963993453355
ABCC2	0	0.00253807106599	0.000585137507314	0.001010611419909	0.003651538862806	0.003764705882353	0.002178649237473	0.005273069679849	0.001802613789996	0.003273322422259
ABCC3	0	0.007976794778825	0.000585137507314	0.000505305709955	0.002608242044862	0.002823529411765	0	0.008662900188324	0.001351960342497	0.000327332242226
ABCC4	0.055002925687537	0.015591007976795	0.047396138092452	0.06922688226377	0.051643192488263	0.040941176470588	0.055555555555556	0.015442561205273	0.116944569625958	0.080523731587561
ABCC5	0.030427150380339	0.041334300217549	0.034523112931539	0.057604850934816	0.05320813771518	0.041411764705882	0.046840958605665	0.045197740112994	0.071203244704822	0.053355155482815
ABCC5-AS1	0	0	0	0	0	0	0.001089324618736	0	0.000225326723749	0
ABCC6	0.008777062609713	0.005801305293691	0.005266237565828	0.008084891359272	0.005216484089724	0.003764705882353	0.003267973856209	0.006779661016949	0.009689049121226	0.005237315875614
ABCC6P1	0	0.000362581580856	0.000585137507314	0	0.002086593635889	0	0	0.000376647834275	0.000901306894998	0.000327332242226
ABCC6P2	0	0	0	0.000505305709955	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0.001089324618736	0	0	0
ABCC9	0.000585137507314	0.001450326323423	0.001755412521943	0.002526528549773	0.001564945226917	0.001411764705882	0	0.001129943502825	0.001126633618747	0.001309328968903
ABCD1	0.000585137507314	0.010152284263959	0.002340550029257	0.008590197069227	0.015649452269171	0.01364705882353	0.003267973856209	0.019962335216573	0.008337088778729	0.009819967266776
ABCD2	0.001170275014628	0.005801305293691	0.0040959625512	0.004547751389591	0.002086593635889	0.007058823529412	0.004357298474946	0.000376647834275	0.002253267237494	0.003600654664484
ABCD3	0.042715038033938	0.060913705583756	0.075482738443534	0.067710965133906	0.104851330203443	0.048941176470588	0.14161220043573	0.049717514124294	0.12392969806219	0.142716857610475
ABCD4	0.03744880046811	0.029369108049311	0.046225863077823	0.061141990904497	0.032863849765258	0.056470588235294	0.06318082788671	0.028625235404897	0.08810274898603	0.079541734860884
ABCE1	0.296664716208309	0.154459753444525	0.419543592744295	0.245578575037898	0.507563901930099	0.236705882352941	0.625272331154684	0.12391713747646	0.591482649842271	0.89885433715221
ABCF1	0.122293739028672	0.16243654822335	0.194850789935635	0.146033350176857	0.25508607198748	0.167058823529412	0.339869281045752	0.137476459510358	0.276701216764308	0.374468085106383
ABCF2	0.03744880046811	0.056200145032632	0.064365125804564	0.03688731682668	0.139280125195618	0.064	0.111111111111111	0.04256120527307	0.084722848129788	0.225859247135843
ABCF3	0.010532475131656	0.024292965917331	0.010532475131656	0.016675088428499	0.036515388628065	0.030117647058824	0.021786492374728	0.025988700564972	0.033123028391167	0.04189852700491
ABCG1	0.030427150380339	0.00761421319797	0.033937975424225	0.025265285497726	0.009389671361502	0.014117647058824	0.007625272331155	0.009416195856874	0.01599819738621	0.006546644844517
ABCG2	0.008191925102399	0.001087744742567	0.005266237565828	0.007579585649318	0.000521648408972	0.003764705882353	0.005446623093682	0.00075329566855	0.00383055430374	0.002291325695581
ABCG4	0	0.000362581580856	0	0.000505305709955	0	0	0	0	0	0
ABCG5	0	0.000362581580856	0	0.000505305709955	0	0.000941176470588	0	0.000376647834275	0.000225326723749	0.000327332242226
ABCG8	0	0	0	0.000505305709955	0	0	0.001089324618736	0	0	0.000981996726678
ABHD1	0.001755412521943	0.004713560551124	0.001755412521943	0.003537139969682	0.003129890453834	0.003764705882353	0.002178649237473	0.001883239171375	0.006534474988734	0.002945990180033
ABHD10	0.074312463428906	0.046773023930384	0.11644236395553	0.084386053562405	0.094940010432968	0.112470588235294	0.136165577342048	0.050470809792844	0.175529517800811	0.185597381342062
ABHD11	0.009362200117028	0.018854242204496	0.009947337624342	0.011622031328954	0.035993740219092	0.032941176470588	0.017429193899782	0.023728813559322	0.028391167192429	0.048445171849427
ABHD11-AS1	0	0.001087744742567	0	0	0	0.000941176470588	0	0	0	0.000654664484452
ABHD12	0.012287887653599	0.025743292240754	0.018139262726741	0.031834259727135	0.046948356807512	0.056	0.041394335511983	0.033521657250471	0.054979720594863	0.05531914893617
ABHD12B	0.001755412521943	0.002900652646846	0.002340550029257	0.004042445679636	0.006259780907668	0.007058823529412	0.005446623093682	0.002636534839925	0.005633168093736	0.006219312602291
ABHD13	0.053247513165594	0.104786076867295	0.049736688121709	0.05255179383527	0.108502869066249	0.082352941176471	0.074074074074074	0.084745762711864	0.065795403334836	0.07823240589198
ABHD14A	0.023990637799883	0.011602610587382	0.031012287887654	0.033855482566953	0.060511215440793	0.065411764705882	0.069716775599129	0.019585687382298	0.05588102748986	0.086088379705401
ABHD14A-ACY1	0.000585137507314	0	0	0	0	0	0	0	0	0
ABHD14B	0.046225863077823	0.020667150108775	0.069046225863078	0.067205659423952	0.112676056338028	0.069176470588235	0.064270152505447	0.053860640301318	0.110184767913475	0.109656301145663
ABHD15	0.007021650087771	0.015228426395939	0.012873025160913	0.017180394138454	0.030255607720397	0.031058823529412	0.017429193899782	0.018832391713748	0.0200540784137	0.0379705400982
ABHD16A	0.03744880046811	0.071428571428572	0.053247513165594	0.061647296614452	0.071987480438185	0.074352941176471	0.086056644880174	0.073446327683616	0.085173501577287	0.080196399345336
ABHD16B	0.002925687536571	0.000362581580856	0.0040959625512	0.003031834259727	0.005216484089724	0.001411764705882	0.003267973856209	0.005273069679849	0.004957187922488	0.004909983633388
ABHD17A	0.033352837916911	0.045685279187817	0.034523112931539	0.052046488125316	0.068335941575378	0.055529411764706	0.053376906318083	0.04331450094162	0.086074808472285	0.058265139116203
ABHD17B	0.06377998829725	0.021754894851342	0.067290813341135	0.135927235977767	0.061554512258738	0.067764705882353	0.066448801742919	0.028248587570622	0.192429022082019	0.156792144026187
ABHD17C	0.007606787595085	0.004713560551124	0.027501462843768	0.0055583628095	0.009911319770475	0.002823529411765	0.037037037037037	0.00075329566855	0.012392969806219	0.019967266775778
ABHD18	0.053832650672908	0.075416968817984	0.062024575775307	0.072258716523497	0.105372978612415	0.074823529411765	0.064270152505447	0.071939736346516	0.106804867057233	0.105073649754501
ABHD2	0.18314803978935	0.361493836113125	0.239321240491515	0.259727134916625	0.357850808555034	0.285176470588235	0.285403050108932	0.322787193973635	0.364353312302839	0.34468085106383
ABHD3	0.022820362785255	0.070340826686004	0.031012287887654	0.03688731682668	0.070422535211268	0.050352941176471	0.057734204793028	0.057250470809793	0.058584948174854	0.048772504091653
ABHD4	0.010532475131656	0.006526468455402	0.01111761263897	0.033855482566953	0.002608242044862	0.02164705882353	0.010893246187364	0.004519774011299	0.029968454258675	0.027168576104746
ABHD5	0.036278525453482	0.176939811457578	0.033352837916911	0.037392622536635	0.095983307250913	0.037647058823529	0.072984749455338	0.109981167608286	0.044614691302389	0.061211129296236
ABHD6	0.002925687536571	0.009064539521392	0.004681100058514	0.004042445679636	0.002086593635889	0.016	0.001089324618736	0.019209039548023	0.006534474988734	0.006873977086743
ABHD8	0.009362200117028	0.007251631617114	0.008777062609713	0.009095502779181	0.008346374543558	0.006117647058824	0.014161220043573	0.006403013182674	0.012392969806219	0.011456628477905
ABI1	0.43417203042715	0.441261783901378	0.463428905792861	0.337544214249621	0.541471048513302	0.398117647058823	0.503267973856209	0.392090395480226	0.52410995944119	0.521440261865794
ABI2	0.142773551784669	0.029731689630167	0.22469280280866	0.083375442142496	0.055294731351069	0.065882352941177	0.190631808278867	0.015065913370998	0.154348805768364	0.121112929623568
ABI3	0.000585137507314	0.032994923857868	0.002925687536571	0.003031834259727	0.005216484089724	0.057411764705882	0.001089324618736	0.042184557438795	0.01216764308247	0.002618657937807
ABI3BP	0.019894675248684	0.001812907904278	0.01111761263897	0.006568974229409	0.002086593635889	0.001882352941176	0.004357298474946	0.0030131826742	0.006083821541235	0.00392798690671
ABL1	0.023990637799883	0.030456852791878	0.029256875365711	0.031834259727135	0.045383411580595	0.038588235294118	0.044662309368192	0.025612052730697	0.062866155926093	0.077905073649755
ABL2	0.072557050906963	0.038796229151559	0.077238150965477	0.085901970692269	0.068857589984351	0.066823529411765	0.091503267973856	0.057627118644068	0.102073005858495	0.092307692307692
ABLIM1	0.355763604447045	0.012327773749094	0.313048566413107	0.26478019201617	0.003651538862806	0.027764705882353	0.118736383442266	0.006403013182674	0.259576385759351	0.028805237315876
ABLIM2	0	0	0	0	0	0	0	0	0.000225326723749	0
ABLIM3	0.001170275014628	0.000362581580856	0	0	0.000521648408972	0	0	0.009792843691149	0	0
ABO	0.009947337624342	0.002175489485134	0.002340550029257	0.012127337038909	0	0.006588235294118	0.006535947712418	0.000376647834275	0.007661108607481	0.002945990180033
ABR	0.018724400234055	0.09934735315446	0.035108250438853	0.033855482566953	0.106937923839332	0.076705882352941	0.064270152505447	0.086252354048964	0.061739522307346	0.06088379705401
ABRA	0	0.001450326323423	0	0.000505305709955	0	0.000470588235294	0	0.00075329566855	0.000225326723749	0.000981996726678
ABRACL	0.304271503803394	0.385786802030457	0.500292568753657	0.371905002526529	0.612936880542514	0.504	0.821350762527233	0.343126177024482	0.792248760703019	0.704746317512275
ABRAXAS1	0.170275014628438	0.076142131979696	0.163838502047981	0.138959070237494	0.128325508607199	0.095529411764706	0.166666666666667	0.054990583804143	0.222848129788193	0.201636661211129
ABRAXAS2	0.058513750731422	0.058375634517767	0.070216500877706	0.081354219302678	0.116327595200835	0.104	0.104575163398693	0.061770244821092	0.126633618747183	0.144353518821604
ABT1	0.045055588063195	0.043147208121827	0.051492100643651	0.071753410813542	0.072509128847157	0.065411764705882	0.055555555555556	0.04406779661017	0.114465975664714	0.098199672667758
ABTB1	0.018724400234055	0.044960116026106	0.01521357519017	0.090955027791814	0.044861763171622	0.090352941176471	0.014161220043573	0.070809792843691	0.087201442091032	0.058265139116203
ABTB2	0.005266237565828	0.00253807106599	0.0040959625512	0.008590197069227	0.007824726134585	0.005647058823529	0.005446623093682	0.00225988700565	0.015322217214962	0.010801963993453
ACAA1	0.032767700409596	0.092095721537346	0.049736688121709	0.101566447700859	0.107459572248305	0.133176470588235	0.065359477124183	0.111864406779661	0.125281658404687	0.119803600654664
ACAA2	0.104154476301931	0.244742567077592	0.207138677589233	0.138453764527539	0.297339593114241	0.188705882352941	0.324618736383442	0.181920903954802	0.223298783235692	0.294599018003273
ACACA	0.029256875365711	0.014140681653372	0.042715038033938	0.043456291056089	0.039645279081899	0.034352941176471	0.025054466230937	0.011676082862524	0.069851284362325	0.093944353518822
ACACB	0.031012287887654	0.008339376359681	0.01521357519017	0.007074279939363	0.011997913406364	0.016470588235294	0.021786492374728	0.009792843691149	0.008337088778729	0.01342062193126
ACAD10	0.010532475131656	0.009064539521392	0.02223522527794	0.019201616978272	0.028690662493479	0.019294117647059	0.019607843137255	0.013559322033898	0.028391167192429	0.033715220949264
ACAD11	0.030427150380339	0.017766497461929	0.027501462843768	0.034866093986862	0.024517475221701	0.030588235294118	0.029411764705882	0.017702448210923	0.045966651644885	0.038625204582651
ACAD8	0.004681100058514	0.016678752719362	0.016383850204798	0.023244062657908	0.018257694314032	0.025882352941177	0.019607843137255	0.023352165725047	0.033573681838666	0.024877250409165
ACAD9	0.015798712697484	0.0286439448876	0.033937975424225	0.031834259727135	0.076160667709964	0.04	0.07843137254902	0.032391713747646	0.082469580892294	0.095908346972177
ACADL	0	0	0	0	0.000521648408972	0	0	0	0	0
ACADM	0.241661790520772	0.147208121827411	0.35225277940316	0.250631632137443	0.501304121022431	0.259294117647059	0.446623093681917	0.15894538606403	0.4799459215863	0.637315875613748
ACADS	0.014043300175541	0.017766497461929	0.015798712697484	0.040929762506316	0.028169014084507	0.043764705882353	0.026143790849673	0.027495291902072	0.053402433528617	0.049754500818331
ACADSB	0.053247513165594	0.040971718636693	0.056758338209479	0.040929762506316	0.050599895670318	0.047058823529412	0.05119825708061	0.030131826741996	0.060612888688599	0.092635024549918
ACADVL	0.075482738443534	0.18346627991298	0.121123464014043	0.201616978271854	0.42357850808555	0.398588235294118	0.220043572984749	0.311864406779661	0.318837314105453	0.372504091653028
ACAN	0.000585137507314	0.000725163161711	0	0	0	0	0	0	0	0
ACAP1	0.049151550614394	0.04459753444525	0.052077238150966	0.089439110661951	0.059989567031821	0.110588235294118	0.05119825708061	0.065160075329567	0.110184767913475	0.054009819967267
ACAP2	0.452311293153891	0.899927483683829	0.489760093622001	0.616472966144517	0.845592070944184	0.666352941176471	0.619825708061002	0.765348399246704	0.863001351960342	0.778723404255319
ACAP3	0.009362200117028	0.032632342277012	0.01521357519017	0.019201616978272	0.031820552947314	0.017882352941177	0.019607843137255	0.023352165725047	0.023208652546192	0.019312602291326
ACAT1	0.100058513750731	0.140681653372009	0.197776477472206	0.209196563921172	0.57642149191445	0.177411764705882	0.427015250544662	0.117514124293785	0.447048219918882	0.676923076923077
ACAT2	0.018139262726741	0.025743292240754	0.044470450555881	0.024759979787772	0.052686489306208	0.049411764705882	0.050108932461874	0.012052730696799	0.0601622352411	0.070049099836334
ACBD3	0.125219426565243	0.14902102973169	0.121708601521358	0.09044972208186	0.1773604590506	0.131294117647059	0.206971677559913	0.164971751412429	0.129562866155926	0.168576104746318
ACBD3-AS1	0	0.002900652646846	0.002340550029257	0.001010611419909	0.001564945226917	0.001411764705882	0.002178649237473	0.00225988700565	0.001126633618747	0.001963993453355
ACBD4	0.006436512580456	0.006163886874547	0.012873025160913	0.019706922688226	0.016692749087115	0.017882352941177	0.009803921568627	0.014312617702448	0.022307345651194	0.012765957446809
ACBD5	0.083089526038619	0.124002900652647	0.112931538911644	0.098534613441132	0.153886280646844	0.113882352941176	0.15359477124183	0.12316384180791	0.132717440288418	0.16366612111293
ACBD6	0.222352252779403	0.084481508339376	0.250438853130486	0.192521475492673	0.181011997913406	0.146352941176471	0.298474945533769	0.098305084745763	0.319513294276701	0.263829787234043
ACBD7	0.008777062609713	0.005438723712835	0.033937975424225	0.006063668519454	0.004173187271779	0.009882352941176	0.015250544662309	0.004143126177024	0.012618296529969	0.007855973813421
ACBD7-DCLRE1CP1	0	0	0	0	0	0	0	0	0	0
ACCS	0.016968987712112	0.015228426395939	0.016968987712112	0.041940373926225	0.018257694314032	0.044235294117647	0.022875816993464	0.030131826741996	0.047318611987382	0.050736497545008
ACCSL	0	0	0	0	0	0	0	0.000376647834275	0	0
ACD	0.02223522527794	0.015591007976795	0.040959625511995	0.03132895401718	0.039645279081899	0.02964705882353	0.02723311546841	0.013935969868173	0.043488057683641	0.059901800327332
ACE	0.004681100058514	0.001087744742567	0.0040959625512	0.012127337038909	0.005738132498696	0.004235294117647	0.001089324618736	0.0015065913371	0.026137899954935	0.003600654664484
ACE2	0	0	0	0	0	0	0	0	0	0.000327332242226
ACER1	0	0	0	0	0	0.000470588235294	0	0	0.000225326723749	0.000327332242226
ACER2	0.000585137507314	0.000725163161711	0.000585137507314	0.001515917129864	0.000521648408972	0	0.001089324618736	0.001129943502825	0.002703920684993	0.002618657937807
ACER3	0.031012287887654	0.206671501087745	0.062024575775307	0.045477513895907	0.18622848200313	0.119058823529412	0.072984749455338	0.153295668549906	0.070977917981073	0.087397708674305
ACHE	0	0.000725163161711	0	0	0	0	0	0	0.000225326723749	0
ACIN1	0.336454066705676	0.413705583756345	0.431246342890579	0.419909044972208	0.640584246218049	0.508705882352941	0.576252723311547	0.407532956685499	0.690175754844525	0.805891980360065
ACKR1	0	0.000362581580856	0	0	0	0	0.001089324618736	0	0	0
ACKR2	0.002340550029257	0.002175489485134	0.002340550029257	0.003537139969682	0.001564945226917	0.002352941176471	0.001089324618736	0.001883239171375	0.002027940513745	0.004909983633388
ACKR3	0.007021650087771	0.010514865844815	0.005266237565828	0.006568974229409	0.005738132498696	0.004235294117647	0.007625272331155	0.002636534839925	0.00811176205498	0.006873977086743
ACKR4	0.002925687536571	0.002175489485134	0.002340550029257	0.004042445679636	0.005216484089724	0.000941176470588	0.005446623093682	0.0030131826742	0.007210455159982	0.007528641571195
ACLY	0.047981275599766	0.091370558375635	0.098303101228789	0.104092976250632	0.16849243609807	0.136941176470588	0.104575163398693	0.091902071563089	0.197611536728256	0.239934533551555
ACMSD	0.001170275014628	0	0	0	0	0	0	0.000376647834275	0.000225326723749	0
ACO1	0.042129900526624	0.029731689630167	0.040959625511995	0.036382011116726	0.054773082942097	0.035764705882353	0.056644880174292	0.024482109227872	0.074583145561064	0.057937806873977
ACO2	0.007021650087771	0.021392313270486	0.013458162668227	0.020212228398181	0.02660406885759	0.028235294117647	0.023965141612201	0.022598870056497	0.031095087877422	0.031751227495908
ACOD1	0	0.000362581580856	0	0	0	0	0	0	0	0
ACOT1	0.000585137507314	0.000362581580856	0	0.001010611419909	0.001564945226917	0.000941176470588	0	0	0.001126633618747	0.002291325695581
ACOT11	0.002925687536571	0.000725163161711	0.002340550029257	0.004547751389591	0.002608242044862	0.004705882352941	0.004357298474946	0.001883239171375	0.009013068949977	0.006219312602291
ACOT12	0.000585137507314	0	0	0.001010611419909	0	0.000470588235294	0.002178649237473	0	0.000901306894998	0
ACOT13	0.17612638970158	0.101522842639594	0.23990637799883	0.16422435573522	0.252477829942619	0.155764705882353	0.273420479302832	0.097551789077213	0.249211356466877	0.333224222585925
ACOT2	0.012873025160913	0.006889050036258	0.025160912814512	0.03233956543709	0.015649452269171	0.02164705882353	0.015250544662309	0.004896421845574	0.04416403785489	0.031423895253683
ACOT4	0.003510825043885	0.000725163161711	0.001755412521943	0.007579585649318	0.006781429316641	0.011294117647059	0.006535947712418	0.00075329566855	0.016448850833709	0.007201309328969
ACOT6	0.000585137507314	0.000362581580856	0.002340550029257	0.000505305709955	0.001043296817945	0	0.001089324618736	0.000376647834275	0.000901306894998	0.000654664484452
