cell,altA54lyze,ascend,bigScale,cellranger,cidr,countClust,monocle,pcaReduce,phenograph,raceid,rca,sc3,scran,seurat,sincera,tscan,truth,category
cy04.3_CD45pos_S42,243,1,3,4,5,1,41,16,14,2,3,54,2,5,3,20,T.CD8,Immune
cy04.3_CD45pos_S43,280,1,3,7,4,1,41,31,8,2,3,44,2,5,3,3,T.CD4,Immune
cy04.3_CD45pos_S44,278,1,3,7,4,1,39,31,10,2,1,23,3,5,3,3,T.CD8,Immune
cy04.3_CD45pos_S45,243,1,3,5,4,2,30,31,14,2,1,31,3,5,3,3,T cell,Immune
cy04.3_CD45pos_S46,243,1,3,5,4,2,39,31,14,2,1,32,3,5,3,3,T.CD8,Immune
cy04.3_CD45pos_S47,243,1,3,9,5,1,46,5,14,2,1,42,2,2,3,11,T.CD8,Immune
cy04.3_CD45pos_S48,281,1,1,9,5,6,46,5,12,6,67,42,1,2,3,11,Macrophage,Immune
cy04.3_CD45pos_S49,281,1,1,5,4,2,39,24,7,8,1,38,1,5,3,10,T cell,Immune
cy04.3_CD45pos_S5,282,1,3,4,4,1,39,24,9,8,1,31,1,5,3,20,T.CD8,Immune
cy04.3_CD45pos_S51,282,3,3,7,1,4,40,19,9,8,3,49,2,4,3,9,T cell,Immune
cy04.3_CD45pos_S52,279,1,3,5,4,2,30,31,8,2,1,32,2,5,3,20,T.CD8,Immune
cy04.3_CD45pos_S53,280,1,3,5,4,2,39,31,8,2,1,31,3,5,3,17,T.CD8,Immune
cy04.3_CD45pos_S55,181,1,1,4,5,1,34,16,16,2,3,47,3,4,3,20,T.CD4,Immune
cy04.3_CD45pos_S56,165,2,1,7,1,5,40,16,16,2,23,42,3,4,1,20,T cell,Immune
cy04.3_CD45pos_S57,243,1,3,5,4,2,38,31,14,2,3,29,3,5,3,3,T cell,Immune
cy04.3_CD45pos_S58,278,1,2,3,5,1,42,29,10,7,4,3,3,3,3,3,B cell,Immune
cy04.3_CD45pos_S59,243,1,3,5,4,2,38,30,14,2,3,54,3,5,3,3,T.CD4,Immune
cy04.3_CD45pos_S6,280,1,3,5,4,2,38,31,8,2,3,44,2,5,3,3,T.CD4,Immune
cy04.3_CD45pos_S60,279,1,3,9,5,1,46,5,6,8,2,44,1,2,3,11,T.CD4,Immune
cy04.3_CD45pos_S61,278,1,1,7,1,4,41,19,10,11,0,54,1,4,3,20,T cell,Immune
cy04.3_CD45pos_S62,279,1,1,4,5,1,41,19,8,2,1,23,2,5,3,20,T.CD8,Immune
cy04.3_CD45pos_S64,281,1,1,5,4,2,39,31,7,2,1,23,3,5,3,3,T cell,Immune
cy04.3_CD45pos_S65,279,1,3,5,4,2,39,31,6,2,1,31,3,5,3,3,T.CD8,Immune
cy04.3_CD45pos_S66,165,2,1,7,4,5,40,16,16,2,1,31,3,5,3,20,T.CD8,Immune
cy04.3_CD45pos_S69,278,1,3,5,4,1,38,30,10,2,3,54,3,5,3,3,T cell,Immune
cy04.3_CD45pos_S7,184,2,4,9,3,1,45,16,14,2,7,42,3,7,3,3,Macrophage,Immune
cy04.3_CD45pos_S70,277,1,3,7,4,1,38,19,14,2,3,47,3,5,3,20,T.CD4,Immune
cy04.3_CD45pos_S71,243,1,3,5,4,2,30,31,14,2,1,54,3,1,3,20,T.CD8,Immune
cy04.3_CD45pos_S72,278,1,1,5,4,2,45,30,10,2,1,31,2,1,3,3,T.CD8,Immune
cy04.3_CD45pos_S73,279,1,3,7,5,1,41,19,6,2,3,49,2,4,3,20,T cell,Immune
cy04.3_CD45pos_S74,278,1,3,7,4,1,41,31,10,2,2,42,3,5,3,20,T.CD4,Immune
cy04.3_CD45pos_S75,278,1,1,5,4,2,39,31,10,2,1,32,3,5,3,3,T.CD8,Immune
cy04.3_CD45pos_S76,278,1,3,5,4,1,39,31,10,2,1,54,3,5,3,3,NK,Immune
cy04.3_CD45pos_S77,278,1,3,5,4,2,39,31,10,2,1,54,3,5,3,3,T.CD8,Immune
cy04.3_CD45pos_S78,180,1,1,5,4,2,38,31,14,2,3,54,3,5,3,3,T.CD4,Immune
cy04.3_CD45pos_S79,278,1,1,7,5,1,41,19,10,2,3,50,2,4,3,20,T.CD4,Immune
cy04.3_CD45pos_S8,278,1,3,5,4,4,39,15,10,11,1,32,2,5,3,20,T.CD8,Immune
cy04.3_CD45pos_S80,278,1,3,5,4,2,39,31,10,11,3,42,3,5,3,3,T.CD4,Immune
cy04.3_CD45pos_S81,281,1,3,4,4,1,41,19,7,8,3,44,2,4,3,3,T.CD4,Immune
cy04.3_CD45pos_S82,278,1,3,5,4,2,39,15,10,2,1,23,2,5,3,20,NK,Immune
cy04.3_CD45pos_S84,277,1,1,5,4,2,39,31,14,2,1,32,3,1,3,20,T.CD8,Immune
cy04.3_CD45pos_S86,278,1,1,7,4,1,41,19,6,2,3,44,2,5,3,20,T.CD4,Immune
cy04.3_CD45pos_S87,279,1,3,7,4,1,39,31,8,2,3,42,3,5,3,3,T.CD4,Immune
cy04.3_CD45pos_S88,279,1,3,5,4,2,39,31,10,2,1,32,3,5,3,17,T.CD8,Immune
cy04.3_CD45pos_S89,278,1,3,5,4,2,39,31,10,2,1,32,3,5,3,3,T.CD8,Immune
cy04.3_CD45pos_S9,278,1,3,5,4,2,30,31,10,2,1,54,2,5,3,20,T.CD8,Immune
cy04.3_CD45pos_S90,278,1,3,5,4,1,39,31,10,2,1,23,2,1,3,20,NK,Immune
cy04.3_CD45pos_S93,278,1,3,5,4,2,30,31,10,2,1,54,3,5,3,3,T.CD8,Immune
cy04.3_CD45pos_S95,280,1,1,5,4,2,39,31,6,2,1,23,3,5,3,3,NK,Immune
cy04.3_CD45pos_S96,279,1,1,9,5,6,45,9,12,6,67,54,1,4,3,4,T cell,Immune
cy102_CD45neg_CD90neg_S1,279,3,6,2,1,3,32,22,12,1,33,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S11,279,3,6,2,2,3,32,22,12,1,33,54,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S13,279,3,1,9,1,3,34,16,12,6,0,54,1,8,3,3,Mal,Tumour
cy102_CD45neg_CD90neg_S14,278,3,6,2,2,3,32,22,12,1,58,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S15,279,3,1,9,1,3,34,16,12,8,10,42,2,8,3,3,Mal,Tumour
cy102_CD45neg_CD90neg_S16,279,3,8,2,1,3,32,22,12,1,45,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S17,280,3,6,2,1,3,32,22,12,1,58,54,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S18,279,3,6,2,2,4,32,22,12,1,45,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S19,280,3,8,2,2,3,32,22,12,1,18,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S2,278,3,6,2,2,3,32,22,12,1,33,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S20,280,3,8,2,1,3,32,16,12,14,0,39,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S21,279,3,6,2,2,4,32,22,12,1,0,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S22,281,3,6,2,1,3,32,22,12,1,33,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S23,280,3,6,2,2,4,32,22,12,1,45,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S24,282,3,6,2,1,3,32,22,2,4,48,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S26,280,3,8,2,1,3,32,22,12,1,0,54,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S27,278,3,6,2,2,4,32,22,12,11,45,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S28,278,3,6,2,1,3,32,22,12,1,74,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S289,281,3,6,2,2,4,32,25,2,1,64,54,5,12,1,9,Mal,Tumour
cy102_CD45neg_CD90neg_S29,280,3,8,2,2,3,32,1,12,1,33,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S290,279,3,6,2,2,4,32,22,12,1,58,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S291,283,3,6,2,2,4,32,22,2,4,18,54,5,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S292,278,3,6,2,1,3,32,22,1,1,20,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S293,279,3,6,2,2,4,32,22,5,1,45,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S294,278,3,6,2,2,4,32,22,5,11,33,54,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S295,278,3,6,2,1,3,32,22,5,1,69,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S296,282,3,6,9,1,3,32,1,2,14,18,7,1,12,1,3,Mal,Tumour
cy102_CD45neg_CD90neg_S297,279,3,6,2,2,4,32,22,12,1,58,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S298,234,3,6,2,2,3,32,22,1,1,18,54,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S299,278,3,6,2,2,4,32,22,1,11,33,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S30,278,3,6,2,2,4,32,22,12,11,0,54,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S300,279,3,6,2,2,3,32,22,12,1,45,7,1,12,1,3,Mal,Tumour
cy102_CD45neg_CD90neg_S301,282,3,6,2,2,4,32,22,2,1,18,7,5,12,1,9,Mal,Tumour
cy102_CD45neg_CD90neg_S302,280,3,6,2,2,4,32,22,12,1,58,7,2,12,1,14,Mal,Tumour
cy102_CD45neg_CD90neg_S303,280,3,6,2,2,4,32,22,12,1,30,7,5,12,1,9,Mal,Tumour
cy102_CD45neg_CD90neg_S304,278,3,6,2,2,4,32,22,5,1,18,54,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S305,279,3,6,2,2,4,32,22,5,1,32,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S306,279,3,6,2,1,3,32,1,5,11,53,54,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S307,280,3,6,2,2,4,32,22,12,1,18,7,5,12,1,9,Mal,Tumour
cy102_CD45neg_CD90neg_S308,277,3,6,2,1,3,32,22,1,1,18,7,3,12,1,17,Mal,Tumour
cy102_CD45neg_CD90neg_S309,278,3,6,2,2,3,32,22,1,1,18,54,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S31,279,3,1,4,1,3,32,16,12,1,14,54,2,8,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S310,280,3,6,2,2,4,32,22,12,1,33,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S311,279,3,6,2,1,4,32,22,5,1,10,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S314,281,3,6,2,2,4,32,22,2,4,18,7,5,12,1,9,Mal,Tumour
cy102_CD45neg_CD90neg_S315,282,3,6,2,2,4,32,22,2,4,14,7,5,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S316,279,3,6,2,2,4,32,22,5,11,58,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S318,278,3,6,2,2,4,32,22,5,1,45,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S319,279,3,6,2,2,4,32,22,5,1,33,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S32,280,3,8,2,1,3,32,22,12,1,52,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S320,232,3,6,2,2,3,32,22,1,11,18,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S321,234,3,8,2,1,4,32,22,1,11,49,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S322,278,3,6,2,1,3,32,22,1,1,5,7,3,12,1,9,Mal,Tumour
cy102_CD45neg_CD90neg_S323,277,3,6,2,1,3,32,22,1,1,45,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S325,282,3,6,2,2,4,32,22,2,1,0,54,5,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S326,282,3,6,2,2,4,32,22,2,14,58,7,5,12,1,9,Mal,Tumour
cy102_CD45neg_CD90neg_S327,281,3,6,2,2,4,32,22,2,1,33,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S328,277,3,6,2,2,4,32,22,1,11,0,54,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S329,278,3,6,2,2,4,32,22,5,1,18,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S33,279,3,6,2,2,4,32,22,12,1,18,54,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S330,278,3,8,8,2,4,40,28,5,11,10,7,3,8,1,14,Mal,Tumour
cy102_CD45neg_CD90neg_S331,280,3,6,2,1,4,32,22,12,1,33,7,3,8,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S333,278,3,6,2,1,3,32,22,5,1,58,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S334,278,3,6,2,2,4,32,22,5,1,33,54,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S335,277,3,6,2,2,4,32,22,1,11,18,54,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S336,278,3,6,2,1,3,32,22,5,1,0,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S337,282,3,6,2,2,4,32,22,2,4,45,7,5,12,1,9,Mal,Tumour
cy102_CD45neg_CD90neg_S338,282,3,6,2,2,4,32,22,2,4,33,7,5,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S339,279,3,6,13,2,4,32,22,5,11,30,7,3,12,1,9,Mal,Tumour
cy102_CD45neg_CD90neg_S34,280,3,6,2,2,4,32,22,12,1,30,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S340,278,3,6,2,2,4,32,22,5,1,33,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S341,282,3,6,2,2,4,32,22,2,14,18,7,5,12,1,9,Mal,Tumour
cy102_CD45neg_CD90neg_S342,280,3,6,2,2,4,32,22,12,1,18,7,5,12,1,9,Mal,Tumour
cy102_CD45neg_CD90neg_S343,280,3,6,2,2,4,32,22,12,1,45,7,5,12,1,9,Mal,Tumour
cy102_CD45neg_CD90neg_S344,277,3,6,2,2,4,32,22,1,11,33,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S345,279,3,6,2,1,3,32,22,5,1,33,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S346,280,3,6,2,2,4,32,22,12,1,30,54,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S347,277,3,6,2,2,4,32,22,1,11,10,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S349,283,3,6,2,2,4,32,22,2,4,18,7,5,12,1,9,Mal,Tumour
cy102_CD45neg_CD90neg_S35,280,3,6,2,1,3,32,22,12,4,0,54,1,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S350,282,3,6,2,2,4,32,22,2,4,33,7,5,12,1,9,Mal,Tumour
cy102_CD45neg_CD90neg_S351,281,3,6,2,2,4,32,22,2,1,27,7,5,12,1,9,Mal,Tumour
cy102_CD45neg_CD90neg_S352,280,3,6,2,2,4,32,22,12,3,63,54,2,8,1,9,Mal,Tumour
cy102_CD45neg_CD90neg_S353,278,3,6,2,2,4,32,22,5,1,45,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S354,280,3,6,2,2,4,32,22,12,1,18,7,5,12,1,9,Mal,Tumour
cy102_CD45neg_CD90neg_S355,279,3,6,2,2,3,32,22,5,1,18,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S356,227,3,6,2,2,4,32,22,1,11,33,54,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S358,277,3,6,2,2,3,32,22,1,11,17,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S359,279,3,6,2,2,4,32,22,5,1,5,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S36,278,3,6,2,1,3,32,22,12,1,48,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S360,277,3,6,2,2,4,32,22,1,11,23,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S361,280,3,6,2,2,3,32,22,12,1,18,7,3,12,1,9,Mal,Tumour
cy102_CD45neg_CD90neg_S362,284,3,6,2,1,3,32,1,2,14,69,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S363,281,3,6,2,2,4,32,22,2,1,30,7,5,12,1,9,Mal,Tumour
cy102_CD45neg_CD90neg_S364,278,3,6,2,2,4,32,22,5,11,23,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S365,278,3,6,2,1,3,32,22,5,1,18,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S366,280,3,6,2,2,3,32,22,12,1,58,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S367,280,3,6,2,2,4,32,22,12,1,45,7,5,12,1,9,Mal,Tumour
cy102_CD45neg_CD90neg_S368,279,3,6,2,2,4,32,22,5,1,30,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S369,280,3,6,2,2,4,32,22,12,1,45,54,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S37,281,3,8,2,2,4,32,22,12,1,18,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S370,279,3,6,2,2,4,32,22,5,1,14,7,3,12,1,9,Mal,Tumour
cy102_CD45neg_CD90neg_S371,277,3,6,2,2,4,32,22,1,1,69,54,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S372,278,3,6,2,2,4,32,13,5,1,18,7,1,12,1,12,Mal,Tumour
cy102_CD45neg_CD90neg_S373,278,3,8,2,2,3,32,1,5,1,0,7,2,8,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S374,283,3,6,2,2,4,32,22,2,4,25,7,5,12,1,9,Mal,Tumour
cy102_CD45neg_CD90neg_S375,281,3,6,2,2,4,32,22,2,1,18,54,5,12,1,9,Mal,Tumour
cy102_CD45neg_CD90neg_S376,278,3,6,2,2,4,32,22,1,11,18,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S377,280,3,6,2,2,3,32,22,12,1,0,7,3,12,1,9,Mal,Tumour
cy102_CD45neg_CD90neg_S378,280,3,6,2,2,4,32,22,12,1,18,7,5,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S380,277,3,6,2,2,4,32,22,1,11,45,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S381,279,3,6,2,1,3,32,22,5,1,18,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S382,280,3,6,2,2,4,32,22,12,1,49,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S383,281,3,6,2,2,4,32,22,12,1,71,54,5,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S4,279,3,6,2,2,4,32,22,12,1,58,54,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S40,279,3,6,2,2,4,32,22,12,1,45,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S42,278,3,6,2,2,4,32,22,12,11,74,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S43,278,3,6,2,2,4,32,22,12,1,45,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S45,279,3,6,2,1,3,32,22,12,1,33,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S46,278,3,6,2,1,3,32,22,12,1,69,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S47,281,3,6,2,2,4,32,22,12,1,0,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S48,278,3,6,2,2,4,32,22,12,11,45,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S49,280,3,8,2,2,3,32,1,12,1,0,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S5,283,3,8,8,2,4,40,4,2,14,63,7,1,8,1,14,Mal,Tumour
cy102_CD45neg_CD90neg_S50,279,3,8,2,2,3,32,1,12,1,26,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S51,280,3,1,9,1,3,34,16,12,6,49,42,1,8,3,3,Mal,Tumour
cy102_CD45neg_CD90neg_S53,280,3,8,2,2,3,32,16,12,1,39,39,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S54,278,3,6,2,1,3,32,22,12,1,48,54,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S55,243,3,6,2,1,4,32,22,14,11,58,54,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S57,278,3,6,2,2,4,32,22,12,11,30,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S58,279,3,6,2,1,4,32,22,12,1,45,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S59,279,3,6,2,2,4,32,22,12,1,18,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S6,281,3,8,9,2,3,32,1,12,1,18,7,1,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S60,278,3,6,2,1,3,32,22,12,1,62,54,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S61,281,3,8,2,2,3,32,1,2,1,21,54,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S62,279,3,6,2,2,3,32,22,12,1,37,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S63,278,3,6,2,1,4,32,22,12,11,18,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S64,278,3,6,2,1,3,32,22,12,1,20,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S65,280,3,8,2,2,3,32,22,12,1,45,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S66,280,3,6,2,1,4,32,22,12,1,5,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S67,280,3,6,2,2,4,32,22,12,1,74,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S68,180,3,6,2,1,3,32,22,14,1,0,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S69,180,3,8,2,1,3,32,22,14,11,58,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S7,279,3,6,2,1,3,32,22,12,3,18,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S71,278,3,8,2,1,4,32,22,12,11,49,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S72,279,3,6,2,1,3,32,22,12,1,18,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S73,282,3,8,2,2,4,32,1,2,14,64,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S74,279,3,6,2,2,4,32,22,12,11,64,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S75,280,3,6,2,2,4,32,22,12,1,48,54,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S76,279,3,6,2,1,3,32,22,12,1,0,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S77,243,3,6,2,1,3,32,22,14,1,18,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S78,278,3,6,2,2,4,32,22,12,11,33,54,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S79,278,3,6,2,2,4,32,22,12,1,20,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S80,278,3,6,2,2,4,32,22,12,1,14,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S81,279,3,6,2,2,4,32,22,12,1,33,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S82,180,3,6,2,1,3,32,22,14,11,48,7,3,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S83,278,3,6,2,1,3,32,22,12,1,18,7,2,12,1,8,Mal,Tumour
cy102_CD45neg_CD90neg_S84,280,3,6,2,2,4,32,22,12,1,33,7,2,12,1,8,Mal,Tumour
