Unnamed: 0,cell,seurat,ascend,cellRanger,cidr,clue,countClust,RaceID,rca,SAFE,SAME_AIC,SAME_BIC,sc3,scran,seurat_y,simlr,truth,tscan,paper
30,Cy80_II_CD45_B11_S887_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
31,Cy81_Bulk_CD45_E04_S148_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
32,CY58_1_CD45_A06_S966_comb,2,1,2,2,10,1,1470,3,1,14,16,11,1,1,14,T Cell,1,2
33,Cy80_II_CD45_D11_S911_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
34,Cy81_FNA_CD45_A09_S201_comb,1,1,2,3,10,1,2546,3,1,18,5,15,3,1,14,T Cell,1,2
35,Cy81_FNA_CD45_B12_S216_comb,1,1,2,3,10,1,2688,2,2,18,10,20,3,1,14,T Cell,1,2
36,Cy71_CD45_B08_S500_comb,1,1,2,4,10,1,2318,2,2,18,10,18,3,1,14,T Cell,1,2
37,Cy81_FNA_CD45_G10_S370_comb,7,2,3,6,5,2,3,1,8,8,13,26,6,8,10,Melanoma,2,1
38,Cy71_CD45_E11_S539_comb,12,2,3,3,6,2,15,9,8,12,3,29,2,5,3,Melanoma,2,1
39,Cy81_FNA_CD45_C09_S321_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
40,CY58_1_CD45_D11_S1007_comb,1,1,2,4,10,1,2218,2,1,18,5,17,1,1,14,T Cell,1,2
41,Cy80_II_CD45_G07_S943_comb,8,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
42,Cy72_CD45_F12_S744_comb,1,1,2,4,10,1,1741,2,2,18,10,5,3,1,14,T Cell,1,2
43,Cy80_II_CD45_G05_S941_comb,15,2,3,6,3,5,6,12,7,19,6,24,6,13,12,CAF,5,6
44,Cy72_CD45_C07_S703_comb,1,1,2,4,10,1,1507,2,2,18,10,5,3,1,14,T Cell,1,2
45,Cy71_CD45_G08_S560_comb,12,2,3,3,6,2,15,9,8,12,3,29,2,9,3,Melanoma,2,1
46,Cy74_CD45_F07_S451_comb,2,1,2,2,1,4,1815,3,1,1,2,11,1,1,14,T Cell,4,2
47,Cy71_CD45_F06_S546_comb,6,2,3,3,6,2,15,1,8,12,3,29,2,5,3,Melanoma,2,1
48,Cy81_FNA_CD45_B04_S208_comb,5,1,2,5,10,1,2540,2,2,18,5,15,3,1,7,T Cell,1,2
49,Cy74_CD45_C02_S410_comb,2,1,1,2,1,3,1149,3,1,9,15,11,1,1,14,T Cell,3,2
50,Cy81_Bulk_CD45_D01_S133_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
51,Cy81_FNA_CD45_G01_S265_comb,7,1,2,4,10,3,2516,3,1,15,15,26,3,8,14,T Cell,3,2
52,Cy81_FNA_CD45_D02_S230_comb,1,1,2,5,10,1,2472,2,2,18,10,18,3,1,14,T Cell,1,2
53,Cy81_Bulk_CD45_D10_S142_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
54,CY58_1_CD45_A10_S970_comb,5,1,2,3,10,1,2524,2,2,18,5,13,1,1,3,T Cell,1,2
55,Cy81_FNA_CD45_C05_S317_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
56,Cy72_CD45_D12_S720_comb,1,1,2,5,10,1,1844,2,2,18,10,5,3,1,14,T Cell,1,2
57,Cy80_II_CD45_B01_S877_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
58,CY58_1_CD45_F11_S1031_comb,1,1,2,4,10,1,2048,2,2,18,10,5,3,1,14,T Cell,1,2
59,Cy81_Bulk_CD45_G12_S180_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
60,Cy81_FNA_CD45_F01_S253_comb,7,1,2,4,10,3,1443,3,2,15,15,26,3,8,3,T Cell,3,2
61,Cy74_CD45_A08_S392_comb,5,1,2,2,10,1,1405,2,1,14,5,8,1,1,14,T Cell,1,2
62,Cy71_CD45_G06_S558_comb,5,1,2,4,10,4,1918,2,1,1,15,12,1,1,14,T Cell,4,2
63,Cy74_CD45_A04_S388_comb,5,1,2,5,10,1,2214,3,1,18,5,17,3,1,14,T Cell,1,2
64,CY58_1_CD45_B01_S973_comb,1,1,6,5,9,1,2672,7,4,22,8,18,3,2,9,T Cell,1,2
65,CY58_1_CD45_H12_S1056_comb,2,1,1,5,8,3,1,3,1,2,9,9,7,7,7,T Cell,3,2
66,Cy81_FNA_CD45_F02_S350_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
67,CY58_1_CD45_F05_S1025_comb,1,1,6,5,10,1,2609,2,2,18,10,18,3,1,14,T Cell,1,2
68,Cy71_CD45_H06_S570_comb,6,2,3,3,5,2,15,9,8,12,3,29,2,5,3,Melanoma,2,1
69,CY58_1_CD45_H02_S1046_comb,10,1,6,2,10,1,2465,3,1,14,16,8,3,2,14,T Cell,1,2
70,Cy80_II_CD45_B09_S885_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
71,Cy72_CD45_A07_S679_comb,3,1,4,1,11,3,815,4,3,7,12,1,4,3,7,B Cell,3,3
72,Cy74_CD45_G02_S458_comb,5,1,1,2,1,4,717,2,1,1,2,20,1,1,14,T Cell,4,2
73,Cy81_FNA_CD45_H12_S384_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
74,Cy72_CD45_G12_S756_comb,1,1,2,4,10,1,1432,2,2,18,10,5,3,1,14,T Cell,1,2
75,Cy72_CD45_B02_S686_comb,1,1,2,4,10,1,2296,2,2,18,10,5,3,1,14,T Cell,1,2
76,CY58_1_CD45_B09_S981_comb,1,1,2,4,10,1,1100,2,1,18,5,18,1,1,14,T Cell,1,2
77,Cy81_Bulk_CD45_E08_S152_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
78,Cy74_CD45_E04_S436_comb,13,1,1,2,1,3,963,3,1,2,9,23,1,9,14,T Cell,3,2
79,Cy80_II_CD45_G09_S945_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
80,Cy81_FNA_CD45_A02_S194_comb,1,1,2,3,10,1,2527,2,1,18,5,13,1,1,14,T Cell,1,2
81,Cy81_FNA_CD45_A06_S198_comb,1,1,2,5,10,1,2496,2,2,18,5,17,3,1,15,T Cell,1,2
82,Cy80_II_CD45_D09_S909_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
83,Cy74_CD45_F01_S445_comb,2,1,1,2,1,4,1668,3,1,1,2,11,1,1,14,T Cell,4,2
84,Cy71_CD45_D11_S527_comb,6,2,3,3,5,2,15,9,8,12,3,29,2,5,3,Melanoma,2,1
85,Cy74_CD45_D01_S421_comb,2,1,2,2,1,4,1445,3,1,1,2,11,1,1,14,T Cell,4,2
86,Cy74_CD45_B08_S404_comb,3,1,4,1,11,1,2491,4,3,10,14,1,4,3,7,B Cell,1,3
87,Cy72_CD45_B07_S691_comb,1,1,2,4,10,1,1541,2,2,18,10,5,3,1,14,T Cell,1,2
88,Cy81_FNA_CD45_A03_S195_comb,5,1,2,5,10,1,2363,3,1,14,5,11,1,1,14,T Cell,1,2
89,Cy81_FNA_CD45_G02_S266_comb,1,1,2,5,10,1,2563,3,1,18,5,17,3,1,14,T Cell,1,2
90,Cy81_FNA_CD45_D11_S239_comb,5,1,2,2,10,1,2448,3,1,14,16,15,1,1,14,T Cell,1,2
91,Cy81_Bulk_CD45_B09_S117_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
92,CY58_1_CD45_F10_S1030_comb,5,1,2,4,10,1,2129,3,1,14,5,8,1,1,14,T Cell,1,2
93,Cy81_FNA_CD45_C06_S222_comb,1,1,2,5,10,1,2657,2,2,18,10,5,3,1,14,T Cell,1,2
94,Cy72_CD45_B06_S690_comb,1,1,6,5,10,1,2203,7,1,4,10,5,3,2,14,T Cell,1,2
95,Cy71_CD45_G09_S561_comb,6,2,3,3,6,2,15,11,8,12,3,29,2,5,3,Melanoma,2,1
96,Cy71_CD45_F11_S551_comb,6,2,3,6,5,2,15,9,8,12,3,29,2,5,3,Melanoma,2,1
97,Cy81_FNA_CD45_B10_S310_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
98,Cy74_CD45_B03_S399_comb,5,1,2,4,10,1,2197,2,1,18,5,17,1,1,14,T Cell,1,2
99,Cy74_CD45_F08_S452_comb,2,1,1,2,1,4,2065,3,1,1,2,11,1,1,14,T Cell,4,2
100,Cy71_CD45_H10_S574_comb,6,2,3,3,5,2,15,9,8,12,3,29,2,5,3,Melanoma,2,1
101,Cy72_CD45_D01_S709_comb,1,1,6,4,10,1,1693,2,2,4,10,18,3,2,14,T Cell,1,2
102,Cy74_CD45_H08_S476_comb,9,2,7,7,8,3,10,5,5,5,7,22,7,7,13,Macrophage,3,4
103,Cy81_Bulk_CD45_C06_S126_comb,7,2,3,3,5,2,3,1,8,8,13,26,6,8,10,Melanoma,2,1
104,Cy74_CD45_G01_S457_comb,1,1,2,4,10,3,1368,2,1,20,15,18,1,1,14,T Cell,3,2
105,Cy74_CD45_F02_S446_comb,5,1,2,2,10,1,2170,3,1,14,16,8,1,1,14,T Cell,1,2
106,Cy81_FNA_CD45_H10_S382_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
107,Cy80_II_CD45_B02_S878_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
108,Cy81_FNA_CD45_B08_S212_comb,1,1,2,5,10,1,1939,2,2,18,10,5,3,1,14,T Cell,1,2
109,Cy71_CD45_D12_S528_comb,5,1,2,2,10,1,1788,3,1,14,16,11,1,1,14,T Cell,1,2
110,Cy74_CD45_C03_S411_comb,3,1,4,1,11,3,1268,4,3,7,12,1,4,3,14,B Cell,3,3
111,Cy81_FNA_CD45_B11_S311_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
112,Cy81_Bulk_CD45_B12_S120_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
113,Cy74_CD45_H06_S474_comb,5,1,1,2,1,3,1064,3,1,9,15,9,1,1,14,T Cell,3,2
114,Cy72_CD45_H06_S762_comb,1,1,2,5,10,1,2534,2,2,18,10,5,3,1,14,T Cell,1,2
115,Cy71_CD45_A10_S490_comb,6,2,3,3,6,2,15,9,8,12,3,29,2,5,3,Melanoma,2,1
116,Cy72_CD45_A05_S677_comb,3,1,4,1,11,1,2188,4,3,10,14,1,4,3,7,B Cell,1,3
117,Cy80_II_CD45_F12_S936_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
118,Cy81_Bulk_CD45_B01_S109_comb,7,2,3,6,3,5,3,1,7,19,13,26,6,8,3,Melanoma,5,1
119,Cy80_II_CD45_B06_S882_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
120,Cy71_CD45_F10_S550_comb,12,2,3,3,5,2,15,9,8,12,3,29,2,5,3,Melanoma,2,1
121,Cy71_CD45_D09_S525_comb,6,2,3,3,5,2,15,9,8,12,3,29,2,5,3,Melanoma,2,1
122,Cy72_CD45_G01_S745_comb,1,1,2,7,10,1,2024,3,1,18,5,17,3,1,14,T Cell,1,2
123,Cy74_CD45_H12_S480_comb,13,1,1,5,4,3,1,3,1,2,9,9,7,9,14,T Cell,3,2
124,CY58_1_CD45_G11_S1043_comb,2,1,2,2,10,1,2487,3,1,14,5,11,3,1,14,T Cell,1,2
125,CY58_1_CD45_D04_S1000_comb,1,1,2,4,10,1,853,2,2,18,10,5,3,1,14,T Cell,1,2
126,Cy72_CD45_A11_S683_comb,1,1,2,4,10,1,2093,2,2,18,10,5,3,1,14,T Cell,1,2
127,Cy81_FNA_CD45_C11_S227_comb,5,1,2,3,10,1,2503,2,1,18,5,13,1,1,14,T Cell,1,2
128,Cy71_CD45_F03_S543_comb,2,1,2,2,10,1,1250,3,1,14,16,11,1,1,14,T Cell,1,2
129,Cy80_II_CD45_F07_S931_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
130,Cy72_CD45_E10_S730_comb,1,1,6,2,10,1,2143,2,1,4,5,20,3,2,14,T Cell,1,2
131,Cy71_CD45_E10_S538_comb,6,2,3,3,5,2,15,9,8,12,3,29,2,5,3,Melanoma,2,1
132,CY58_1_CD45_F09_S1029_comb,1,1,6,2,10,1,2660,7,1,4,8,20,3,2,14,T Cell,1,2
133,Cy80_II_CD45_B12_S888_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
134,CY58_1_CD45_E05_S1013_comb,5,1,1,4,1,3,1849,3,1,9,15,11,1,1,14,T Cell,3,2
135,Cy71_CD45_C01_S505_comb,1,2,2,6,10,2,2161,17,8,15,4,20,3,1,3,T Cell,2,2
136,Cy74_CD45_D08_S428_comb,3,1,4,1,11,1,1968,4,3,10,14,1,4,3,7,B Cell,1,3
137,CY58_1_CD45_F04_S1024_comb,2,1,6,2,1,1,336,3,1,14,16,11,1,2,14,T Cell,1,2
138,Cy80_II_CD45_A09_S873_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
139,CY58_1_CD45_F12_S1032_comb,1,1,2,4,10,1,1911,2,1,18,5,18,1,1,14,T Cell,1,2
140,CY58_1_CD45_G09_S1041_comb,1,1,2,4,10,3,132,2,1,20,15,5,1,1,14,T Cell,3,2
141,Cy81_FNA_CD45_F04_S256_comb,2,1,2,5,1,4,2369,3,1,1,2,11,1,1,14,T Cell,4,2
142,Cy80_II_CD45_F11_S935_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
143,Cy74_CD45_G04_S460_comb,1,1,2,3,10,1,2590,2,2,18,10,18,3,1,14,T Cell,1,2
144,CY58_1_CD45_C03_S987_comb,1,1,2,4,10,1,2051,2,1,18,10,5,1,1,14,T Cell,1,2
145,Cy81_Bulk_CD45_E03_S147_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
146,Cy72_CD45_F05_S737_comb,1,1,2,4,10,1,1309,2,2,18,10,5,3,1,14,T Cell,1,2
147,Cy74_CD45_D03_S423_comb,1,1,2,4,10,3,982,2,1,20,15,5,1,1,14,T Cell,3,2
148,Cy80_II_CD45_D04_S904_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
149,Cy74_CD45_G03_S459_comb,1,1,2,5,10,1,2617,7,2,18,10,5,3,1,14,T Cell,1,2
150,Cy81_FNA_CD45_A07_S199_comb,1,1,2,3,10,1,2624,3,1,18,5,8,3,1,14,T Cell,1,2
151,Cy71_CD45_B12_S504_comb,6,2,3,6,5,2,144,9,8,12,3,29,2,5,3,Melanoma,2,1
152,Cy72_CD45_B05_S689_comb,1,1,6,7,10,1,2377,2,2,4,10,5,3,1,14,T Cell,1,2
153,Cy81_Bulk_CD45_A11_S107_comb,7,2,3,6,5,2,3,1,8,8,13,26,6,8,3,Melanoma,2,1
154,CY58_1_CD45_A07_S967_comb,2,1,1,2,1,3,959,3,1,9,15,11,1,1,3,T Cell,3,2
155,Cy72_CD45_B09_S693_comb,3,1,4,1,11,1,1597,4,3,10,14,1,4,3,7,B Cell,1,3
156,CY58_1_CD45_F03_S1023_comb,1,1,2,4,10,1,2184,2,1,18,10,5,1,1,14,T Cell,1,2
157,Cy71_CD45_E02_S530_comb,6,2,3,6,5,2,15,9,8,12,3,29,2,5,3,Melanoma,2,1
158,Cy71_CD45_B03_S495_comb,6,2,3,3,6,2,15,9,8,12,3,29,2,5,3,Melanoma,2,1
159,Cy81_FNA_CD45_C08_S320_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,8,Melanoma,2,1
160,Cy74_CD45_G08_S464_comb,5,1,1,2,10,3,839,2,1,20,15,12,1,1,14,T Cell,3,2
161,Cy81_Bulk_CD45_C05_S125_comb,7,1,6,6,10,1,1498,6,4,15,4,26,6,8,9,Melanoma,1,1
162,Cy72_CD45_F02_S734_comb,1,1,2,4,10,1,1245,2,2,18,10,5,3,1,14,T Cell,1,2
163,Cy74_CD45_E08_S440_comb,5,1,2,5,10,1,2468,3,1,14,5,11,1,1,14,T Cell,1,2
164,Cy81_FNA_CD45_C02_S218_comb,1,1,2,7,10,1,2420,2,1,4,5,12,1,1,14,T Cell,1,2
165,CY58_1_CD45_A04_S964_comb,2,1,2,2,10,1,2321,3,1,14,16,11,1,1,14,T Cell,1,2
166,Cy71_CD45_F01_S541_comb,6,2,3,6,5,2,15,9,8,12,3,29,2,5,3,Melanoma,2,1
167,Cy81_Bulk_CD45_B04_S112_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
168,Cy74_CD45_G07_S463_comb,2,1,2,5,10,1,1700,3,1,14,5,11,1,1,14,T Cell,1,2
169,Cy71_CD45_G05_S557_comb,12,2,3,3,6,2,15,9,8,12,3,29,2,5,3,Melanoma,2,1
170,Cy81_FNA_CD45_A05_S197_comb,1,1,2,5,10,1,1938,2,2,18,10,5,3,1,14,T Cell,1,2
171,Cy81_FNA_CD45_H05_S281_comb,3,1,4,1,11,1,2037,4,3,10,14,1,4,3,7,B Cell,1,3
172,Cy81_FNA_CD45_A08_S200_comb,1,1,2,7,10,1,2444,2,1,4,5,13,1,1,14,T Cell,1,2
173,Cy72_CD45_F10_S742_comb,3,1,4,1,11,3,1386,4,3,7,12,1,4,3,7,B Cell,3,3
174,Cy74_CD45_B06_S402_comb,5,1,2,2,10,1,2441,2,1,14,5,13,1,1,14,T Cell,1,2
175,Cy74_CD45_H02_S470_comb,2,1,1,2,1,3,700,3,1,9,15,9,1,1,14,T Cell,3,2
176,CY58_1_CD45_B08_S980_comb,5,1,2,5,10,3,1219,3,1,9,15,11,1,1,14,T Cell,3,2
177,Cy80_II_CD45_C12_S900_comb,14,2,9,6,3,5,309,8,7,21,6,25,6,12,12,Endothelial,5,5
178,Cy72_CD45_F07_S739_comb,1,1,2,4,10,1,2176,7,2,18,10,5,3,1,14,T Cell,1,2
179,Cy81_FNA_CD45_F03_S351_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
180,Cy71_CD45_C08_S512_comb,1,1,2,5,10,1,2395,2,2,18,10,18,3,1,14,T Cell,1,2
181,Cy81_Bulk_CD45_B05_S113_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
182,CY58_1_CD45_F08_S1028_comb,1,1,6,4,10,1,2680,3,1,18,5,18,3,2,14,NK,1,7
183,Cy74_CD45_C06_S414_comb,5,1,2,5,10,1,2154,3,1,18,5,8,3,1,14,T Cell,1,2
184,Cy71_CD45_F07_S547_comb,6,2,3,3,6,2,15,9,8,12,3,29,2,5,3,Melanoma,2,1
185,Cy72_CD45_A03_S675_comb,3,1,4,1,11,1,1847,4,3,10,14,1,4,3,7,B Cell,1,3
186,Cy81_FNA_CD45_F10_S262_comb,5,1,2,5,10,1,1810,3,1,14,5,8,1,1,14,T Cell,1,2
187,Cy74_CD45_E02_S434_comb,2,1,2,5,10,1,2023,3,1,14,5,11,1,1,14,T Cell,1,2
188,Cy72_CD45_C03_S699_comb,3,1,4,1,11,1,1481,4,3,10,14,1,4,3,7,B Cell,1,3
189,Cy81_FNA_CD45_G11_S275_comb,13,1,4,1,11,3,2105,4,3,7,12,3,4,9,7,B Cell,3,3
190,Cy81_FNA_CD45_B01_S205_comb,5,1,2,2,10,3,1048,3,1,9,15,9,3,8,14,T Cell,3,2
191,CY58_1_CD45_D06_S1002_comb,1,1,2,3,10,1,2598,7,2,18,10,5,3,1,14,T Cell,1,2
192,Cy72_CD45_D04_S712_comb,1,1,2,5,10,1,2380,3,1,18,5,17,3,1,14,T Cell,1,2
193,Cy72_CD45_C06_S702_comb,3,1,4,1,11,1,1665,4,3,10,14,1,4,1,7,B Cell,1,3
194,Cy74_CD45_F10_S454_comb,3,1,4,1,11,1,2665,4,3,10,14,1,4,3,7,B Cell,1,3
195,Cy72_CD45_C12_S708_comb,1,1,6,3,10,1,2690,16,4,22,8,5,3,2,9,T Cell,1,2
196,Cy72_CD45_E04_S724_comb,1,1,2,4,10,1,1558,2,2,18,10,5,3,1,14,T Cell,1,2
197,Cy81_FNA_CD45_B02_S206_comb,1,1,2,5,10,1,2003,3,1,14,5,8,1,1,14,T Cell,1,2
198,Cy80_II_CD45_C02_S890_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
199,Cy80_II_CD45_F01_S925_comb,12,2,3,6,7,2,4,1,8,13,13,28,6,10,11,Melanoma,2,1
200,Cy74_CD45_D10_S430_comb,1,1,2,5,10,1,2585,2,2,18,10,18,3,1,14,T Cell,1,2
201,Cy72_CD45_D11_S719_comb,1,1,2,5,10,3,1286,2,2,18,10,18,3,1,14,T Cell,3,2
202,Cy72_CD45_H03_S759_comb,1,1,2,5,10,1,2208,3,1,18,5,5,3,1,14,T Cell,1,2
203,Cy80_II_CD45_G10_S946_comb,14,2,9,6,3,5,117,8,7,21,6,25,6,12,12,Endothelial,5,5
204,Cy81_FNA_CD45_H02_S278_comb,1,1,2,3,10,1,2641,2,1,18,5,13,1,1,14,T Cell,1,2
205,Cy80_II_CD45_F08_S932_comb,14,2,9,7,3,5,88,8,7,21,6,25,6,12,12,Endothelial,5,5
206,Cy80_II_CD45_E01_S913_comb,8,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
207,Cy81_FNA_CD45_B02_S302_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
208,Cy72_CD45_F04_S736_comb,3,1,4,1,11,1,2428,4,3,10,14,1,4,1,7,B Cell,1,3
209,CY58_1_CD45_H11_S1055_comb,2,1,2,2,10,1,2292,3,1,14,5,11,3,1,14,T Cell,1,2
210,Cy71_CD45_D05_S521_comb,2,1,2,2,10,1,2269,3,1,14,5,11,3,1,14,T Cell,1,2
211,CY58_1_CD45_A03_S963_comb,5,1,2,2,10,1,2120,3,1,14,16,15,3,1,9,T Cell,1,2
212,Cy74_CD45_E07_S439_comb,2,1,1,2,1,3,1819,3,1,9,15,11,1,1,14,T Cell,3,2
213,Cy72_CD45_C02_S698_comb,1,1,2,2,10,3,1661,2,1,20,15,20,1,1,14,T Cell,3,2
214,Cy81_FNA_CD45_F07_S355_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
215,Cy80_II_CD45_H11_S959_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
216,Cy81_FNA_CD45_E04_S340_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
217,Cy81_FNA_CD45_F03_S255_comb,5,1,2,2,10,1,2283,3,1,14,5,15,3,1,14,T Cell,1,2
218,CY58_1_CD45_C02_S986_comb,2,1,1,7,1,3,1275,3,1,9,15,11,1,1,14,T Cell,3,2
219,Cy74_CD45_F04_S448_comb,2,1,1,2,1,3,1465,2,1,20,15,11,1,1,14,T Cell,3,2
220,Cy74_CD45_G10_S466_comb,5,1,2,5,10,3,2294,3,1,9,15,8,1,1,14,T Cell,3,2
221,Cy81_FNA_CD45_H09_S381_comb,7,2,3,3,5,2,3,1,8,8,13,26,6,8,10,Melanoma,2,1
222,Cy81_FNA_CD45_C03_S219_comb,5,1,2,2,10,1,1765,3,1,14,16,8,1,1,14,T Cell,1,2
223,Cy80_II_CD45_A01_S865_comb,8,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
