GeneSym	Count_NonImmune	NonImmuneEnrichment
CFL1	47	0.69
213766_x_at	46	0.68
DAG1	46	0.68
ATRN	46	0.68
CBX7	46	0.68
FAM127A	46	0.68
GIPC1	46	0.68
MDH2	46	0.68
TOMM70A	46	0.68
ITGB1	46	0.68
SNRPD2	46	0.68
GAPDH	46	0.68
SF3B5	46	0.68
TBCA	46	0.68
KIAA0174	46	0.68
HIGD2A	46	0.68
CCT4	46	0.68
PARP6	46	0.68
RPL6	46	0.68
TRIP12	46	0.68
SORBS3	46	0.68
PPIA	46	0.68
RPL21	46	0.68
TCF25	46	0.68
EFEMP1	45	0.66
DCN	45	0.66
AKR1B1	45	0.66
HBA2	45	0.66
COX5B	45	0.66
GPX4	45	0.66
PRAF2	45	0.66
NDFIP1	45	0.66
COX8A	45	0.66
UCRC	45	0.66
UBE2I	45	0.66
DUSP1	45	0.66
ZMYND11	45	0.66
SSR4	45	0.66
PFDN5	45	0.66
RPS5	45	0.66
C2orf28	45	0.66
PSMG2	45	0.66
FAM120A	45	0.66
TMEM147	45	0.66
EEF1G	45	0.66
LOC100093631	45	0.66
TXNL4A	45	0.66
FIS1	45	0.66
GSK3A	45	0.66
207365_x_at	45	0.66
HEATR2	45	0.66
GPX3	44	0.65
C1S	44	0.65
GATM	44	0.65
RNASE1	44	0.65
LDOC1	44	0.65
MTUS1	44	0.65
GSTP1	44	0.65
MGLL	44	0.65
TSPAN13	44	0.65
FTH1	44	0.65
IFITM2	44	0.65
POLR2L	44	0.65
UQCR	44	0.65
CRTC3	44	0.65
ADAR	44	0.65
TXNIP	44	0.65
RPL36	44	0.65
PAPSS1	44	0.65
PFKP	44	0.65
ATP5F1	44	0.65
LAPTM4A	44	0.65
SLC25A6	44	0.65
217379_at	44	0.65
RPS16	44	0.65
RUSC2	44	0.65
RNF4	44	0.65
ARPC5L	44	0.65
RPS18	44	0.65
RPL18A	44	0.65
RPS28	44	0.65
RPL19	44	0.65
RPL27A	44	0.65
WDR45L	44	0.65
MGP	43	0.63
TAGLN	43	0.63
MAP1B	43	0.63
PTGDS	43	0.63
FSTL1	43	0.63
NR2F2	43	0.63
MT1X	43	0.63
213288_at	43	0.63
S100A10	43	0.63
SERPINB6	43	0.63
LOC23117	43	0.63
MARCKSL1	43	0.63
SLC25A3	43	0.63
CCT2	43	0.63
PSMB2	43	0.63
EIF3K	43	0.63
HK1	43	0.63
RPL11	43	0.63
EIF3CL	43	0.63
RPS12	43	0.63
ACTB	43	0.63
RPS29	43	0.63
OAZ1	43	0.63
RPL30	43	0.63
RPS23	43	0.63
IGFBP4	42	0.62
GSTM3	42	0.62
DDR1	42	0.62
SERPINE2	42	0.62
FKBP9L	42	0.62
IFITM1	42	0.62
CD74	42	0.62
SPINT2	42	0.62
HSD17B10	42	0.62
DAD1	42	0.62
FAM168B	42	0.62
DYNLL1	42	0.62
RPL8	42	0.62
RPS7	42	0.62
UBE2Q1	42	0.62
RPS6	42	0.62
216187_x_at	42	0.62
NARS	42	0.62
NOL6	42	0.62
MXRA8	41	0.60
MYLK	41	0.60
HSPB8	41	0.60
FXYD6	41	0.60
FGFR2	41	0.60
CKB	41	0.60
NUPR1	41	0.60
TIMP1	41	0.60
MT1H	41	0.60
TENC1	41	0.60
CCDC92	41	0.60
NPC2	41	0.60
ATP5C1	41	0.60
211600_at	41	0.60
SEMA4C	41	0.60
PGAM4	41	0.60
GPX1	41	0.60
LDHB	41	0.60
FH	41	0.60
RPLP0	41	0.60
DYNLT1	41	0.60
RPL29	41	0.60
RNH1	41	0.60
SHFM1	41	0.60
PHB2	41	0.60
EIF3E	41	0.60
ILK	41	0.60
G6PC3	41	0.60
RPLP1	41	0.60
PIGP	41	0.60
RPL39	41	0.60
MATR3	41	0.60
AP3S1	41	0.60
NDUFA2	41	0.60
SREBF2	41	0.60
COPE	41	0.60
SERPINF1	40	0.59
COQ9	40	0.59
CEBPB	40	0.59
FGFR1	40	0.59
LGALS3BP	40	0.59
SEC13	40	0.59
TUBA1A	40	0.59
SPTAN1	40	0.59
FTO	40	0.59
TMBIM6	40	0.59
VIM	40	0.59
RPL18	40	0.59
RPS15A	40	0.59
DGCR6L	40	0.59
PSMD8	40	0.59
PFDN2	40	0.59
HYOU1	40	0.59
RPL7A	40	0.59
IDH3G	40	0.59
RPL32	40	0.59
RPL27	40	0.59
CDC16	40	0.59
HDAC6	40	0.59
CLTA	40	0.59
VPS26A	40	0.59
RPL9	40	0.59
SKIV2L	40	0.59
GPRC5B	39	0.57
SPOCK1	39	0.57
HSPA2	39	0.57
ITM2A	39	0.57
GOT1	39	0.57
PPAP2B	39	0.57
ATP9A	39	0.57
ANXA2	39	0.57
CNN3	39	0.57
CDC42BPB	39	0.57
PINK1	39	0.57
ARL2BP	39	0.57
ANXA5	39	0.57
SUCLG1	39	0.57
BLCAP	39	0.57
APEX1	39	0.57
TNPO2	39	0.57
RER1	39	0.57
LRP1	39	0.57
BRP44	39	0.57
CREB3	39	0.57
PFN1	39	0.57
CCDC56	39	0.57
TCEAL4	39	0.57
SFRS9	39	0.57
TOLLIP	39	0.57
RPLP2	39	0.57
NME1-NME2	39	0.57
ATP6V1F	39	0.57
RERE	39	0.57
GUK1	39	0.57
IRF9	39	0.57
TFG	39	0.57
TRIM44	39	0.57
TOMM7	39	0.57
IFT20	39	0.57
215588_x_at	39	0.57
CRELD2	39	0.57
215179_x_at	39	0.57
220856_x_at	39	0.57
RPS11	39	0.57
COL3A1	38	0.56
MT1G	38	0.56
PDGFRA	38	0.56
PGM1	38	0.56
CNTNAP1	38	0.56
212151_at	38	0.56
GALNT11	38	0.56
MDH1	38	0.56
PTK2	38	0.56
TRIM8	38	0.56
SCAP	38	0.56
C11orf49	38	0.56
NISCH	38	0.56
NME4	38	0.56
LSM4	38	0.56
ITGAV	38	0.56
GNAQ	38	0.56
PHF1	38	0.56
RPS3	38	0.56
UQCRC2	38	0.56
SSR2	38	0.56
RPL15	38	0.56
RPS4X	38	0.56
RPL10	38	0.56
SEC24C	38	0.56
LDHA	38	0.56
UBA52	38	0.56
215383_x_at	38	0.56
TXNDC14	38	0.56
UBL4A	38	0.56
COPS6	38	0.56
MRPL24	38	0.56
FBXO42	38	0.56
ARFRP1	38	0.56
COL6A3	37	0.54
TRIM2	37	0.54
NFIB	37	0.54
GPR177	37	0.54
PAM	37	0.54
212148_at	37	0.54
AKAP12	37	0.54
CLSTN1	37	0.54
VEGFA	37	0.54
SNRPN	37	0.54
TNS3	37	0.54
MGST2	37	0.54
TFE3	37	0.54
LASP1	37	0.54
PQLC1	37	0.54
FDFT1	37	0.54
CD99	37	0.54
SLC25A5	37	0.54
HDLBP	37	0.54
ATP5B	37	0.54
EIF3D	37	0.54
QARS	37	0.54
CD59	37	0.54
LOC26010	37	0.54
TUBA1C	37	0.54
RPN2	37	0.54
RPS8	37	0.54
RPL35A	37	0.54
C14orf166	37	0.54
ITM2B	37	0.54
212547_at	37	0.54
EIF3I	37	0.54
PSMB1	37	0.54
MSL1	37	0.54
214316_x_at	37	0.54
ERH	37	0.54
C20orf30	37	0.54
PARK7	37	0.54
217144_at	37	0.54
BAT1	37	0.54
CAMK2N1	36	0.53
CPE	36	0.53
C10orf116	36	0.53
SERPING1	36	0.53
MT1F	36	0.53
PPAP2A	36	0.53
CXADR	36	0.53
IL1R1	36	0.53
214679_x_at	36	0.53
PRKCZ	36	0.53
STOM	36	0.53
LHFP	36	0.53
SDC4	36	0.53
SH3BP4	36	0.53
MSRB2	36	0.53
TRIP6	36	0.53
NDUFA1	36	0.53
TMEM14A	36	0.53
YBX1	36	0.53
POLR1D	36	0.53
NAP1L4	36	0.53
AURKAIP1	36	0.53
ATP6V0B	36	0.53
MRP63	36	0.53
GNG5	36	0.53
MRPS33	36	0.53
PTOV1	36	0.53
CLOCK	36	0.53
RPL4	36	0.53
C20orf3	36	0.53
CALM2	36	0.53
MRPS35	36	0.53
UBE3A	36	0.53
R3HDM2	36	0.53
MRPL40	36	0.53
COMMD3	36	0.53
ARL8B	36	0.53
FAM128A	36	0.53
PIH1D1	36	0.53
B2M	36	0.53
ISCU	36	0.53
CAB39	36	0.53
NBPF16	36	0.53
C2orf25	36	0.53
MBTPS1	36	0.53
DEDD	36	0.53
NPLOC4	36	0.53
DIP2A	36	0.53
FGFR3	35	0.51
C1orf115	35	0.51
RP1-21O18.1	35	0.51
GNG12	35	0.51
FAM171A1	35	0.51
ANK3	35	0.51
PDLIM1	35	0.51
213944_x_at	35	0.51
BASP1	35	0.51
TUBB2A	35	0.51
RAB31	35	0.51
ACAT1	35	0.51
41162	35	0.51
CAST	35	0.51
SAT1	35	0.51
TMEM106C	35	0.51
SPRY2	35	0.51
TSPYL2	35	0.51
REEP5	35	0.51
MKNK2	35	0.51
TAGLN2	35	0.51
CTSF	35	0.51
PSAP	35	0.51
216565_x_at	35	0.51
SFXN3	35	0.51
HCFC1R1	35	0.51
TMEM214	35	0.51
HNRNPAB	35	0.51
DYNC1H1	35	0.51
FBXL7	35	0.51
PABPC4	35	0.51
EIF3A	35	0.51
HINT1	35	0.51
DSTN	35	0.51
NONO	35	0.51
HIGD1A	35	0.51
NDUFB8	35	0.51
KIAA0494	35	0.51
IMMT	35	0.51
ATP1B3	35	0.51
IPO9	35	0.51
PDE4C	35	0.51
GTF2IP1	35	0.51
MRPL3	35	0.51
GABARAP	35	0.51
KLHL9	35	0.51
RNF167	35	0.51
PFDN1	35	0.51
ATXN2L	35	0.51
203961_at	34	0.50
PCP4	34	0.50
C1R	34	0.50
MYL9	34	0.50
PEG3	34	0.50
AK1	34	0.50
GPR56	34	0.50
HSPB1	34	0.50
PTPRK	34	0.50
HBB	34	0.50
ECHDC2	34	0.50
LRP10	34	0.50
203704_s_at	34	0.50
KIAA0284	34	0.50
TSEN34	34	0.50
ATP1A1	34	0.50
CD151	34	0.50
C13orf15	34	0.50
RNF130	34	0.50
ARHGEF12	34	0.50
PTBP1	34	0.50
PPIB	34	0.50
RAF1	34	0.50
AP1G2	34	0.50
ATOX1	34	0.50
GLRX	34	0.50
MAPRE1	34	0.50
MTCH1	34	0.50
RPL10A	34	0.50
C7orf42	34	0.50
NDUFS2	34	0.50
NRD1	34	0.50
SET	34	0.50
RPS2	34	0.50
GORASP2	34	0.50
PTP4A2	34	0.50
CCT8	34	0.50
XRCC5	34	0.50
LAMP1	34	0.50
RAD21	34	0.50
NOMO3	34	0.50
RPS17	34	0.50
208655_at	34	0.50
TAF10	34	0.50
NAT15	34	0.50
POLR2E	34	0.50
C3	33	0.49
FHL2	33	0.49
ID4	33	0.49
KRT10	33	0.49
MAOA	33	0.49
FXYD1	33	0.49
TPD52L1	33	0.49
TMEM47	33	0.49
FAT1	33	0.49
CSDA	33	0.49
MYO10	33	0.49
ABCA8	33	0.49
C3orf14	33	0.49
OXCT1	33	0.49
DPYSL2	33	0.49
NDRG3	33	0.49
HADHA	33	0.49
TGFBR2	33	0.49
CLIC1	33	0.49
CYFIP1	33	0.49
CNDP2	33	0.49
PRDX4	33	0.49
STAT3	33	0.49
HABP4	33	0.49
JTV1	33	0.49
UXT	33	0.49
CIB1	33	0.49
NDUFA9	33	0.49
ARPC2	33	0.49
ARL6IP1	33	0.49
EIF3EIP	33	0.49
KHDRBS1	33	0.49
RPS19	33	0.49
TPI1	33	0.49
EWSR1	33	0.49
C18orf32	33	0.49
RPS25	33	0.49
CEP27	33	0.49
HSPA1A	33	0.49
GTF3C2	33	0.49
FKBP2	33	0.49
215778_x_at	33	0.49
FEZ1	32	0.47
NCAM1	32	0.47
ATP1A2	32	0.47
SLC4A4	32	0.47
BEX1	32	0.47
PLLP	32	0.47
MEST	32	0.47
OSBPL1A	32	0.47
TUBB6	32	0.47
OAT	32	0.47
TNFRSF1A	32	0.47
DHRS7	32	0.47
HEBP2	32	0.47
ATP5G2	32	0.47
ARF6	32	0.47
PCDH12	32	0.47
AKTIP	32	0.47
SIRT2	32	0.47
VCL	32	0.47
JAK1	32	0.47
SNRPD3	32	0.47
RDH11	32	0.47
ACVR1B	32	0.47
AVPI1	32	0.47
TERF2IP	32	0.47
ZFP36	32	0.47
AFF1	32	0.47
ABHD11	32	0.47
RPL14	32	0.47
EIF3F	32	0.47
H3F3A	32	0.47
ARID1A	32	0.47
TUBA1B	32	0.47
214020_x_at	32	0.47
PAK4	32	0.47
DHX30	32	0.47
CTBP1	32	0.47
BRD9	32	0.47
C21orf33	32	0.47
MRPL20	32	0.47
BCAT2	32	0.47
PSMD7	32	0.47
SPCS2	32	0.47
VTI1B	32	0.47
TRAPPC2L	32	0.47
UBA1	32	0.47
AGT	31	0.46
GPM6B	31	0.46
CHGA	31	0.46
STXBP1	31	0.46
GOLSYN	31	0.46
REEP1	31	0.46
SOX10	31	0.46
WASF3	31	0.46
ATP2A2	31	0.46
HSPA12A	31	0.46
C16orf45	31	0.46
SORBS1	31	0.46
CTSH	31	0.46
SMYD2	31	0.46
IDH2	31	0.46
GAS2L1	31	0.46
FARP1	31	0.46
GPC1	31	0.46
212970_at	31	0.46
PDIA5	31	0.46
DOCK9	31	0.46
SDHA	31	0.46
TXNDC5	31	0.46
ASAH1	31	0.46
CS	31	0.46
TTLL13	31	0.46
MAPK8IP1	31	0.46
PH-4	31	0.46
MAGEH1	31	0.46
WSB2	31	0.46
GFOD1	31	0.46
FBL	31	0.46
JAM3	31	0.46
TMBIM1	31	0.46
ZBTB20	31	0.46
ZFP36L1	31	0.46
C20orf24	31	0.46
HLA-B	31	0.46
ENSA	31	0.46
C14orf2	31	0.46
KCMF1	31	0.46
EIF6	31	0.46
KARS	31	0.46
C6orf48	31	0.46
NDUFB1	31	0.46
METTL9	31	0.46
SEC61B	31	0.46
PABPC1	31	0.46
212155_at	31	0.46
RPL12	31	0.46
PSMD2	31	0.46
RPL36A	31	0.46
RPSA	31	0.46
UBR4	31	0.46
PRMT1	31	0.46
TCEA1	31	0.46
CCDC72	31	0.46
RPL34	31	0.46
PPP2CA	31	0.46
MRPL48	31	0.46
PUM1	31	0.46
TPT1	31	0.46
RBM23	31	0.46
TAF6	31	0.46
RPS27A	31	0.46
TF	30	0.44
SCRG1	30	0.44
LMO3	30	0.44
NUAK1	30	0.44
CFHR1	30	0.44
SYNM	30	0.44
RAP1GAP	30	0.44
PTN	30	0.44
RBPMS	30	0.44
RAB40B	30	0.44
COL18A1	30	0.44
TYRO3	30	0.44
S100A11	30	0.44
ST5	30	0.44
ATP6V0E2	30	0.44
RTN3	30	0.44
CLTB	30	0.44
GRHPR	30	0.44
USP11	30	0.44
MPST	30	0.44
HLA-DRB5	30	0.44
CLDN5	30	0.44
PYGB	30	0.44
PLD3	30	0.44
MPDZ	30	0.44
SNN	30	0.44
STAT6	30	0.44
ITPK1	30	0.44
GSTK1	30	0.44
TMEM184B	30	0.44
COX17	30	0.44
PSMA6	30	0.44
ENO1	30	0.44
ZNF207	30	0.44
DUSP22	30	0.44
ARMCX6	30	0.44
YPEL5	30	0.44
C14orf124	30	0.44
TBCB	30	0.44
EZH1	30	0.44
NHP2L1	30	0.44
NDUFS8	30	0.44
CRKL	30	0.44
CHP	30	0.44
TM9SF2	30	0.44
KATNB1	30	0.44
UNC84A	30	0.44
RGL2	30	0.44
HSPA1B	30	0.44
TH1L	30	0.44
DDX1	30	0.44
PSMD4	30	0.44
PSMC5	30	0.44
EIF2B2	30	0.44
PITPNB	30	0.44
RPS6KA4	30	0.44
PLP1	29	0.43
DSP	29	0.43
209167_at	29	0.43
NDRG4	29	0.43
KIF5C	29	0.43
TSPAN7	29	0.43
MAP1A	29	0.43
COL6A2	29	0.43
MMP2	29	0.43
EPB49	29	0.43
SYS1-DBNDD2	29	0.43
RIN2	29	0.43
PPIC	29	0.43
PRSS23	29	0.43
C10orf10	29	0.43
B3GNT1	29	0.43
IGFBP6	29	0.43
C6orf134	29	0.43
209505_at	29	0.43
203817_at	29	0.43
PRKCDBP	29	0.43
AMOTL2	29	0.43
HEBP1	29	0.43
KANK1	29	0.43
212906_at	29	0.43
HNF1B	29	0.43
ACO2	29	0.43
CYC1	29	0.43
KDELR2	29	0.43
SORL1	29	0.43
DENND5A	29	0.43
EXDL2	29	0.43
CMTM6	29	0.43
TXNDC4	29	0.43
RANBP1	29	0.43
AHCY	29	0.43
CCDC85B	29	0.43
AKAP13	29	0.43
CHPT1	29	0.43
MARS	29	0.43
RBX1	29	0.43
ATPIF1	29	0.43
ATP5D	29	0.43
PSMA5	29	0.43
ARPC1A	29	0.43
HLA-A	29	0.43
RPL13A	29	0.43
MRLC2	29	0.43
213655_at	29	0.43
MAPK3	29	0.43
XRCC6	29	0.43
CARKD	29	0.43
PPP1CC	29	0.43
216647_at	29	0.43
SND1	29	0.43
HAX1	29	0.43
NDUFB3	29	0.43
HDDC2	29	0.43
COMMD4	29	0.43
OS9	29	0.43
PSMB3	29	0.43
SERF2	29	0.43
EIF4A2	29	0.43
FNDC3A	29	0.43
RPS3A	29	0.43
VBP1	29	0.43
DNAJA1	29	0.43
GSS	29	0.43
UBC	29	0.43
VSNL1	28	0.41
EEF1A2	28	0.41
COX7A1	28	0.41
UCHL1	28	0.41
EFHD1	28	0.41
205117_at	28	0.41
FBLN1	28	0.41
ANK2	28	0.41
ERBB3	28	0.41
CD24	28	0.41
LUM	28	0.41
RCAN2	28	0.41
CLIP3	28	0.41
PRUNE2	28	0.41
213455_at	28	0.41
APOE	28	0.41
LARP6	28	0.41
KHDRBS3	28	0.41
ID1	28	0.41
GAS7	28	0.41
SCHIP1	28	0.41
STEAP3	28	0.41
HSPG2	28	0.41
BCL2L2	28	0.41
GOT2	28	0.41
CALM1	28	0.41
PPME1	28	0.41
DIP2C	28	0.41
RAMP1	28	0.41
PCBP4	28	0.41
ANXA1	28	0.41
221127_s_at	28	0.41
CDC42EP4	28	0.41
SNX26	28	0.41
HLA-DRB1	28	0.41
TBC1D8	28	0.41
ACADVL	28	0.41
BEX4	28	0.41
ITM2C	28	0.41
SPRY1	28	0.41
DHRS3	28	0.41
CDC42EP1	28	0.41
SH3GLB1	28	0.41
NDUFV2	28	0.41
RAN	28	0.41
SGK1	28	0.41
GCSH	28	0.41
GLTSCR2	28	0.41
ZMIZ1	28	0.41
ANXA6	28	0.41
RAP1B	28	0.41
TMEM123	28	0.41
KIF3B	28	0.41
EEF1D	28	0.41
TMED9	28	0.41
CALCOCO1	28	0.41
CMPK1	28	0.41
PARL	28	0.41
EIF3G	28	0.41
PPP1CA	28	0.41
HNRNPU	28	0.41
SEC16A	28	0.41
NDUFS3	28	0.41
MXI1	28	0.41
PTTG1IP	28	0.41
ZNF32	28	0.41
PUM2	28	0.41
GOLGA7	28	0.41
220452_x_at	28	0.41
FIBP	28	0.41
BANF1	28	0.41
CSDE1	28	0.41
41159	28	0.41
GNPAT	28	0.41
TUBGCP2	28	0.41
CLTC	28	0.41
RPS26	28	0.41
MBP	27	0.40
KRT18	27	0.40
MAPT	27	0.40
CDH1	27	0.40
S100A1	27	0.40
ATP2B2	27	0.40
SRPX	27	0.40
TGFBI	27	0.40
ALDOC	27	0.40
ADCY2	27	0.40
CKMT1A	27	0.40
204584_at	27	0.40
CX3CL1	27	0.40
MLLT11	27	0.40
AKR1C2	27	0.40
DLG5	27	0.40
BCAS1	27	0.40
GNAS	27	0.40
TSPAN6	27	0.40
ABAT	27	0.40
PLA2G16	27	0.40
DTX4	27	0.40
IQCK	27	0.40
YWHAH	27	0.40
BACE1	27	0.40
SPATA20	27	0.40
MYL6B	27	0.40
BSCL2	27	0.40
UROS	27	0.40
SGCE	27	0.40
BCL6	27	0.40
LAMA5	27	0.40
UBE2O	27	0.40
PGRMC1	27	0.40
NDN	27	0.40
TSPYL5	27	0.40
OPTN	27	0.40
SYNE1	27	0.40
SNURF	27	0.40
PNMA1	27	0.40
MARK4	27	0.40
HRAS	27	0.40
UBL3	27	0.40
201319_at	27	0.40
REXO2	27	0.40
IER2	27	0.40
TUBA4A	27	0.40
ECE1	27	0.40
SAMM50	27	0.40
NPTN	27	0.40
GLUD1	27	0.40
217914_at	27	0.40
NCOA4	27	0.40
PDIA6	27	0.40
PPP2CB	27	0.40
PDHB	27	0.40
ACACA	27	0.40
SPG21	27	0.40
PEX5	27	0.40
BTG3	27	0.40
212195_at	27	0.40
208646_at	27	0.40
RTN4	27	0.40
WBP5	27	0.40
LSS	27	0.40
TMEM50A	27	0.40
LASS2	27	0.40
MYL6	27	0.40
215587_x_at	27	0.40
AP2S1	27	0.40
SCYE1	27	0.40
SRP19	27	0.40
POM121C	27	0.40
C16orf61	27	0.40
NUDC	27	0.40
OLA1	27	0.40
FTHL3P	27	0.40
POMP	27	0.40
ELK1	27	0.40
PSMB7	27	0.40
214902_x_at	27	0.40
ATP6V1G1	27	0.40
ARAF	27	0.40
FABP7	26	0.38
S100B	26	0.38
PMP2	26	0.38
PERP	26	0.38
C1orf61	26	0.38
SCG5	26	0.38
PLEKHB1	26	0.38
RAB6B	26	0.38
SCG2	26	0.38
NRN1	26	0.38
EPB41L1	26	0.38
CAP2	26	0.38
TAGLN3	26	0.38
CSRP2	26	0.38
TCEAL2	26	0.38
TMEM176A	26	0.38
LAMC1	26	0.38
SOBP	26	0.38
CAV2	26	0.38
SH3GL3	26	0.38
CELSR2	26	0.38
CFD	26	0.38
NPTX2	26	0.38
RAPGEF5	26	0.38
PTPRN2	26	0.38
CRISPLD2	26	0.38
SOX9	26	0.38
ENPP2	26	0.38
ProSAPiP1	26	0.38
QKI	26	0.38
HOPX	26	0.38
FBLN5	26	0.38
SCRN1	26	0.38
ANXA4	26	0.38
JUP	26	0.38
SNTA1	26	0.38
TRIP10	26	0.38
FMOD	26	0.38
202133_at	26	0.38
AATK	26	0.38
EPB41L3	26	0.38
PON2	26	0.38
KIFAP3	26	0.38
EPS8	26	0.38
LPCAT4	26	0.38
NR2F6	26	0.38
BAG3	26	0.38
COX7B	26	0.38
STK39	26	0.38
DCTN1	26	0.38
HLA-DPB1	26	0.38
IMPDH2	26	0.38
FAM134A	26	0.38
GPSN2	26	0.38
FAM65A	26	0.38
ARMCX1	26	0.38
ASNS	26	0.38
CDKN1A	26	0.38
RPL22	26	0.38
DNMBP	26	0.38
MINK1	26	0.38
TNFAIP1	26	0.38
POLR2H	26	0.38
HLA-G	26	0.38
RP11-345P4.4	26	0.38
NMB	26	0.38
CALCOCO2	26	0.38
TSPYL1	26	0.38
SRPRB	26	0.38
DDOST	26	0.38
CHMP2A	26	0.38
ARID5B	26	0.38
RABAC1	26	0.38
ENOPH1	26	0.38
EIF3H	26	0.38
UBXN6	26	0.38
RPL37	26	0.38
RSAD1	26	0.38
PDCD6IP	26	0.38
