cell,altAnalyze,ascend,bigScale,cellranger,cidr,countClust,monocle,pcaReduce,phenograph,raceid,rca,sc3,scran,seurat,simlr,sincera,tscan,truth
RHC3585__Epithelial__.2749FE,32,1,2,2,8,1,6,29,4,3,7,7,2,5,7,3,3,Epithelial
RHC3589__Epithelial__.2749FE,9,1,1,2,4,7,3,12,2,2,0,7,4,1,7,2,3,Epithelial
RHC3590__Epithelial__.2749FE,1,1,2,2,8,3,6,29,6,2,4,7,1,5,7,2,3,Epithelial
RHC3591__Epithelial__.2749FE,1,1,9,1,4,1,6,31,3,3,7,7,3,2,7,4,4,Epithelial
RHC3593__Epithelial__.2749FE,24,1,9,2,8,1,6,29,2,2,0,7,3,5,7,3,3,Epithelial
RHC3594__Bcell__.7DEA7B,1,1,2,4,5,2,4,19,1,5,10,13,3,1,4,1,1,Bcell
RHC3596__Bcell__.7DEA7B,1,1,2,4,5,2,6,19,1,3,13,7,3,2,7,1,4,Bcell
RHC3597__Epithelial__.2749FE,1,1,9,1,2,7,6,6,1,12,12,7,4,2,7,4,4,Epithelial
RHC3598__Epithelial__.2749FE,1,1,2,2,9,3,3,29,5,2,0,7,2,5,7,2,3,Epithelial
RHC3599__Epithelial__.2749FE,1,2,9,1,4,7,6,16,5,2,14,7,4,2,7,4,5,Epithelial
RHC3600__Bcell__.7DEA7B,24,3,2,4,2,2,4,23,2,2,2,13,2,5,7,1,1,Bcell
RHC3602__Bcell__.7DEA7B,1,2,2,4,10,4,4,19,5,3,10,13,1,1,5,1,3,Bcell
RHC3608__Epithelial__.2749FE,23,1,2,2,8,3,6,29,6,2,7,7,2,5,7,2,3,Epithelial
RHC3609__Epithelial__.2749FE,24,1,9,2,9,1,6,29,1,2,4,7,3,5,7,3,3,Epithelial
RHC3617__Epithelial__.2749FE,1,1,9,2,9,1,6,29,1,2,2,7,2,5,7,3,3,Epithelial
RHC3619__Epithelial__.2749FE,1,3,2,3,2,3,3,12,3,2,17,7,1,5,6,2,3,Epithelial
RHC3621__Epithelial__.2749FE,1,1,9,5,4,1,6,6,1,2,12,7,4,2,7,4,4,Epithelial
RHC3625__Epithelial__.2749FE,1,3,2,2,8,3,2,12,1,2,7,7,1,5,7,2,3,Epithelial
RHC3628__Epithelial__.2749FE,1,1,2,2,8,7,3,9,3,1,0,9,1,5,5,2,3,Epithelial
RHC3629__Epithelial__.2749FE,1,1,9,5,4,1,6,6,1,2,7,4,4,2,7,4,4,Epithelial
RHC3633__Bcell__.7DEA7B,24,3,2,4,2,2,4,19,2,2,17,13,3,1,7,1,1,Bcell
RHC3635__Epithelial__.2749FE,1,1,9,2,4,3,6,29,1,2,2,7,3,5,7,3,4,Epithelial
RHC3638__Epithelial__.2749FE,24,3,2,2,2,3,3,9,2,2,9,9,1,5,7,2,2,Epithelial
RHC3640__Epithelial__.2749FE,22,1,9,2,4,3,6,29,2,2,4,7,3,5,7,4,3,Epithelial
RHC3641__Epithelial__.2749FE,1,1,9,5,11,1,6,24,6,3,3,4,1,2,7,5,3,Epithelial
RHC3835__Fibroblast__.FB4E09,24,1,3,5,8,8,2,7,2,3,15,11,2,3,7,6,3,Fibroblast
RHC3836__Epithelial__.2749FE,1,1,7,5,11,1,1,25,3,4,11,1,2,3,4,6,4,Epithelial
RHC3837__Epithelial__.2749FE,1,1,7,5,9,1,1,26,1,3,5,1,2,3,7,6,3,Epithelial
RHC3838__Epithelial__.2749FE,1,3,7,3,12,1,3,15,1,3,2,1,2,1,7,6,2,Epithelial
RHC3839__Epithelial__.2749FE,1,1,7,5,12,1,1,25,3,4,5,1,2,3,4,6,4,Epithelial
RHC3840__Epithelial__.2749FE,1,1,7,5,6,5,1,26,1,5,5,1,3,3,4,6,4,Epithelial
RHC3843__Fibroblast__.FB4E09,34,5,3,5,13,8,2,8,4,3,6,11,3,3,7,1,4,Fibroblast
RHC3844__Epithelial__.2749FE,24,1,7,5,12,2,1,15,2,2,12,1,2,1,4,6,3,Epithelial
RHC3845__Epithelial__.2749FE,1,1,2,5,9,7,3,10,1,2,0,12,2,1,7,2,3,Epithelial
RHC3846__Epithelial__.2749FE,1,1,7,5,12,5,1,15,3,1,5,1,1,1,5,6,2,Epithelial
RHC3847__Fibroblast__.FB4E09,1,5,3,5,1,8,2,8,1,3,15,11,3,3,7,1,5,Fibroblast
RHC3848__Epithelial__.2749FE,1,1,7,5,6,1,1,26,1,5,5,1,2,3,4,6,6,Epithelial
RHC3849__Epithelial__.2749FE,31,1,7,5,9,1,1,26,4,3,7,1,2,3,4,6,6,Epithelial
RHC3850__Epithelial__.2749FE,37,1,1,3,7,4,1,15,4,6,11,1,1,1,1,6,2,Epithelial
RHC3851__Fibroblast__.FB4E09,1,1,3,5,11,1,2,8,1,2,4,11,1,3,6,1,3,Fibroblast
RHC3852__Epithelial__.2749FE,1,1,7,5,12,1,1,26,1,2,0,1,2,3,4,6,3,Epithelial
RHC3855__Epithelial__.2749FE,1,1,7,5,5,1,1,26,1,3,6,1,2,3,7,6,3,Epithelial
RHC3856__Epithelial__.2749FE,1,1,7,5,11,1,1,26,1,5,5,1,2,3,4,6,3,Epithelial
RHC3862__Epithelial__.2749FE,24,1,7,2,9,2,1,15,2,3,2,1,2,3,7,6,3,Epithelial
RHC3863__Epithelial__.2749FE,1,1,7,5,12,1,1,26,1,3,5,1,2,3,4,6,6,Epithelial
RHC3864__Epithelial__.2749FE,1,3,7,3,7,4,1,15,3,2,5,1,1,1,1,6,2,Epithelial
RHC3865__Epithelial__.2749FE,1,1,7,5,11,5,1,15,1,2,5,1,1,1,2,6,3,Epithelial
RHC3866__Macrophage__.FFFF55,30,5,5,4,13,4,2,2,4,5,13,14,2,7,5,1,1,Macrophage
RHC3868__Epithelial__.2749FE,38,1,7,5,5,2,1,26,4,3,10,1,3,3,4,6,6,Epithelial
RHC3869__Epithelial__.2749FE,28,1,7,2,9,3,3,26,4,2,5,1,3,2,7,2,3,Epithelial
RHC3870__Epithelial__.2749FE,1,1,7,5,4,5,1,26,1,2,10,1,4,3,7,6,6,Epithelial
RHC3871__Epithelial__.2749FE,33,1,7,5,5,1,1,25,4,3,11,1,3,3,4,6,4,Epithelial
RHC3872__Epithelial__.2749FE,1,1,7,5,5,1,1,15,1,2,5,1,2,3,4,6,3,Epithelial
RHC3874__Epithelial__.2749FE,1,1,7,5,6,1,1,26,1,3,6,1,2,3,4,6,6,Epithelial
RHC3875__Epithelial__.2749FE,24,1,7,5,8,2,1,26,2,2,3,1,4,3,7,6,6,Epithelial
RHC3876__Epithelial__.2749FE,1,3,7,2,9,3,3,15,1,7,3,1,1,1,7,2,2,Epithelial
RHC3878__Epithelial__.2749FE,24,1,1,5,5,2,1,15,2,2,9,1,3,1,7,6,3,Epithelial
RHC3879__Epithelial__.2749FE,1,1,7,1,12,1,1,28,1,5,5,1,3,3,4,6,4,Epithelial
RHC3881__Epithelial__.2749FE,1,2,7,5,10,1,1,26,3,4,5,1,2,3,4,6,6,Epithelial
RHC3882__Epithelial__.2749FE,1,1,7,3,7,5,1,15,3,2,5,1,1,1,5,6,2,Epithelial
RHC3883__Epithelial__.2749FE,24,1,7,5,8,3,1,15,2,2,7,1,2,3,7,6,3,Epithelial
RHC3884__Epithelial__.2749FE,1,1,7,5,11,1,1,26,1,2,5,1,1,3,2,6,2,Epithelial
RHC3885__Fibroblast__.FB4E09,1,5,3,5,13,8,4,21,4,3,6,11,3,3,7,1,5,Fibroblast
RHC3886__Macrophage__.FFFF55,1,5,5,4,6,4,2,7,3,3,0,14,1,7,6,1,1,Macrophage
RHC3890__Fibroblast__.FB4E09,24,1,3,5,9,8,2,8,2,2,6,11,4,3,3,1,6,Fibroblast
RHC3891__Epithelial__.2749FE,1,1,7,5,12,3,1,18,5,7,5,1,1,1,1,6,2,Epithelial
RHC3895__Fibroblast__.FB4E09,1,5,3,3,12,8,2,8,1,2,15,11,3,1,4,1,4,Fibroblast
RHC3897__Epithelial__.2749FE,1,1,7,5,12,2,1,25,2,2,1,1,3,3,7,6,3,Epithelial
RHC3898__Epithelial__.2749FE,1,2,7,5,9,1,1,26,1,3,0,1,2,3,7,6,6,Epithelial
RHC3900__Epithelial__.2749FE,24,1,7,5,9,2,1,26,2,2,5,1,3,3,7,6,3,Epithelial
RHC3901__Epithelial__.2749FE,1,2,9,1,3,1,7,14,5,4,16,3,3,2,5,7,4,Epithelial
RHC3902__Epithelial__.2749FE,1,1,7,5,4,1,1,25,1,2,10,1,4,3,4,6,4,Epithelial
RHC3903__Epithelial__.2749FE,24,1,1,5,9,3,6,14,2,3,6,3,4,2,7,7,4,Epithelial
RHC3904__Epithelial__.2749FE,19,2,2,3,2,3,3,9,2,2,9,9,3,1,7,2,3,Epithelial
RHC3905__Epithelial__.2749FE,1,2,9,1,10,4,7,14,3,3,0,3,1,2,5,7,6,Epithelial
RHC3906__Tcell__.C6E879,1,3,1,4,6,4,4,18,3,3,17,8,1,1,1,1,2,Tcell
RHC3907__Macrophage__.FFFF55,1,5,5,4,13,4,2,7,3,3,10,14,1,7,6,1,1,Macrophage
RHC3909__Macrophage__.FFFF55,21,1,5,5,13,2,2,7,2,2,10,14,2,7,7,1,1,Macrophage
RHC3910__Epithelial__.2749FE,1,1,1,3,6,1,6,14,6,3,2,3,4,1,7,7,6,Epithelial
RHC3911__Epithelial__.2749FE,42,1,1,3,8,1,3,18,4,3,7,1,1,3,6,2,2,Epithelial
RHC3912__Bcell__.7DEA7B,1,3,2,4,11,1,4,23,3,3,0,13,1,1,7,1,3,Bcell
RHC3914__Epithelial__.2749FE,24,1,9,1,6,2,7,14,2,3,2,3,4,2,7,7,6,Epithelial
RHC3915__Epithelial__.2749FE,1,1,7,5,6,1,1,25,1,5,10,1,2,3,4,6,4,Epithelial
RHC3919__Epithelial__.2749FE,1,1,7,5,9,1,1,26,1,2,12,1,2,3,7,6,3,Epithelial
RHC3920__Epithelial__.2749FE,1,2,2,3,7,3,4,18,3,4,6,9,1,1,1,2,2,Epithelial
RHC3922__Epithelial__.2749FE,1,2,7,1,6,1,1,25,3,2,5,1,2,3,4,6,6,Epithelial
RHC3923__Epithelial__.2749FE,1,1,7,5,9,1,1,26,1,3,12,1,2,3,4,6,6,Epithelial
RHC3924__Epithelial__.2749FE,34,1,6,1,12,1,8,17,4,3,14,2,4,4,7,7,4,Epithelial
RHC3925__Epithelial__.2749FE,1,1,6,1,12,1,1,17,3,5,5,2,2,4,4,6,4,Epithelial
RHC3926__Epithelial__.2749FE,1,2,1,1,6,1,7,14,4,3,0,3,1,2,1,7,3,Epithelial
RHC3927__Macrophage__.FFFF55,1,5,5,1,6,4,2,11,3,3,13,4,3,7,5,7,5,Macrophage
RHC3947__Epithelial__.2749FE,1,2,9,3,6,4,6,14,5,3,14,3,2,2,5,7,4,Epithelial
RHC4014__Epithelial__.2749FE,1,2,2,2,7,1,1,12,3,3,7,3,1,5,1,2,3,Epithelial
RHC4021__Epithelial__.2749FE,1,2,9,1,6,1,7,11,3,3,11,3,4,2,7,7,4,Epithelial
RHC4031__Epithelial__.2749FE,1,1,1,3,2,1,3,12,2,2,0,9,3,1,7,2,3,Epithelial
RHC4050__Epithelial__.2749FE,1,1,1,5,13,5,3,3,5,3,3,9,4,1,5,5,4,Epithelial
RHC4051__Macrophage__.FFFF55,1,5,5,4,1,6,2,2,3,1,13,14,4,7,5,1,5,Macrophage
RHC4053__Tcell__.C6E879,29,4,4,4,5,6,4,20,4,3,8,5,4,6,4,1,5,Tcell
RHC4065__Epithelial__.2749FE,1,1,1,1,11,1,6,3,1,3,4,4,3,2,5,5,4,Epithelial
RHC4067__Macrophage__.FFFF55,1,5,5,4,1,6,2,2,1,3,13,14,4,7,5,1,5,Macrophage
RHC4068__Epithelial__.2749FE,1,1,1,3,2,2,3,12,1,2,9,9,3,1,7,2,3,Epithelial
RHC4073__Epithelial__.2749FE,1,2,1,5,11,1,6,3,5,4,1,9,3,2,5,5,4,Epithelial
RHC4075__Epithelial__.2749FE,1,1,2,2,8,3,3,12,2,2,2,9,2,5,7,2,3,Epithelial
RHC4079__Fibroblast__.FB4E09,1,5,3,4,6,8,2,19,3,3,6,11,3,3,5,1,5,Fibroblast
RHC4080__Bcell__.7DEA7B,1,2,1,4,1,6,4,23,3,3,13,14,3,1,5,1,5,Bcell
RHC4083__Bcell__.7DEA7B,1,4,4,4,1,6,4,20,4,4,10,5,3,6,5,1,5,Bcell
RHC4122__Epithelial__.2749FE,37,3,1,3,10,4,6,24,4,3,12,9,1,1,4,8,3,Epithelial
RHC4123__Epithelial__.2749FE,38,1,1,4,9,1,6,24,4,2,6,9,4,1,7,8,6,Epithelial
RHC4124__Epithelial__.2749FE,1,2,8,1,9,1,7,27,5,3,1,4,4,2,7,7,4,Epithelial
RHC4128__Fibroblast__.FB4E09,1,5,3,5,6,8,2,8,3,3,6,11,2,3,5,1,4,Fibroblast
RHC4130__Epithelial__.2749FE,1,2,1,3,10,4,6,30,5,4,3,9,1,1,4,8,3,Epithelial
RHC4131__Epithelial__.2749FE,1,2,8,1,6,1,7,27,6,4,9,2,2,2,5,7,4,Epithelial
RHC4134__Epithelial__.2749FE,3,1,1,2,4,3,3,12,2,2,9,9,4,1,3,8,3,Epithelial
RHC4141__Epithelial__.2749FE,25,1,1,3,12,3,3,9,2,2,6,9,3,1,7,9,3,Epithelial
RHC4142__Epithelial__.2749FE,24,1,1,3,5,2,3,12,2,2,14,9,3,1,7,9,3,Epithelial
RHC4144__Epithelial__.2749FE,1,1,1,3,12,2,3,18,3,8,7,9,1,1,1,9,2,Epithelial
RHC4148__Epithelial__.2749FE,1,2,1,3,10,4,3,12,5,4,0,9,2,1,5,8,3,Epithelial
RHC4155__Epithelial__.2749FE,1,3,2,3,12,4,4,18,3,9,14,9,1,5,7,2,2,Epithelial
RHC4159__Epithelial__.2749FE,1,1,1,3,5,5,3,12,1,3,15,9,2,1,7,8,3,Epithelial
RHC4161__Epithelial__.2749FE,1,3,1,3,7,3,3,9,5,3,2,9,1,1,1,9,2,Epithelial
RHC4165__Fibroblast__.FB4E09,17,1,3,3,5,2,2,8,2,2,6,11,4,1,7,1,6,Fibroblast
RHC4169__Fibroblast__.FB4E09,12,5,3,3,13,8,2,8,2,2,15,11,4,1,7,1,4,Fibroblast
RHC4174__Epithelial__.2749FE,1,2,1,3,3,4,3,30,5,9,0,3,1,1,5,7,4,Epithelial
RHC4196__Epithelial__.2749FE,1,1,1,3,12,1,3,9,5,2,0,9,1,1,2,9,2,Epithelial
RHC4743__Epithelial__.2749FE,1,3,2,5,7,1,6,9,3,5,19,10,1,2,2,10,2,Epithelial
RHC4745__Tcell__.C6E879,1,4,4,4,1,6,4,23,5,3,8,5,1,6,1,1,3,Tcell
RHC4746__Epithelial__.2749FE,1,1,2,5,11,1,6,22,1,3,3,10,1,2,1,10,3,Epithelial
RHC4747__Tcell__.C6E879,1,4,4,4,1,6,4,20,3,9,8,5,1,6,5,1,1,Tcell
RHC4751__Macrophage__.FFFF55,1,5,5,4,13,2,2,7,1,3,13,14,1,7,1,1,1,Macrophage
RHC4755__Tcell__.C6E879,1,4,4,4,1,6,4,23,3,1,8,5,1,6,5,1,3,Tcell
RHC4757__Epithelial__.2749FE,1,3,2,3,10,4,3,18,3,10,19,10,1,1,5,10,2,Epithelial
RHC4758__Macrophage__.FFFF55,25,1,5,4,13,2,2,7,2,2,7,14,2,7,7,1,1,Macrophage
RHC4760__Epithelial__.2749FE,1,3,2,3,7,4,6,30,3,10,19,10,1,1,1,10,3,Epithelial
RHC4761__Epithelial__.2749FE,41,1,2,3,8,3,3,9,4,2,17,10,1,1,6,2,2,Epithelial
RHC4763__Epithelial__.2749FE,1,3,2,2,11,5,3,18,3,2,2,10,1,2,2,2,2,Epithelial
RHC4767__Macrophage__.FFFF55,1,3,2,2,11,8,2,9,1,2,1,10,1,5,6,2,2,Macrophage
RHC4768__Epithelial__.2749FE,1,1,2,1,9,1,6,22,3,10,16,10,2,2,7,10,6,Epithelial
RHC4769__Fibroblast__.FB4E09,1,5,3,3,6,8,2,7,3,8,15,11,1,3,1,1,3,Fibroblast
RHC4771__Tcell__.C6E879,41,1,4,4,1,6,4,23,4,3,8,5,1,6,1,1,1,Tcell
RHC4772__Epithelial__.2749FE,1,3,2,5,11,1,6,12,1,2,19,10,1,1,7,10,2,Epithelial
RHC4774__Epithelial__.2749FE,8,1,2,3,12,3,4,18,2,2,7,10,2,1,7,2,2,Epithelial
RHC4775__Fibroblast__.FB4E09,1,5,3,3,13,8,2,7,1,8,15,11,1,3,1,1,3,Fibroblast
RHC4776__Tcell__.C6E879,1,4,4,4,5,6,4,23,2,3,8,5,2,6,5,1,1,Tcell
RHC4780__Epithelial__.2749FE,1,1,2,5,12,1,6,22,3,3,12,10,2,2,7,10,6,Epithelial
RHC4781__Epithelial__.2749FE,24,1,7,5,5,5,6,22,2,2,3,12,4,3,7,10,6,Epithelial
RHC4784__Epithelial__.2749FE,24,1,2,2,8,2,3,9,2,2,12,10,1,1,1,2,2,Epithelial
RHC4787__Macrophage__.FFFF55,23,5,5,4,13,8,2,7,6,2,7,14,2,7,7,1,1,Macrophage
RHC4788__Epithelial__.2749FE,1,1,2,5,9,1,6,22,1,3,12,10,2,2,7,10,6,Epithelial
RHC4789__Epithelial__.2749FE,24,1,2,2,11,1,6,12,2,2,1,10,1,2,2,10,2,Epithelial
RHC4797__Fibroblast__.FB4E09,41,1,3,5,5,8,2,8,4,3,6,11,3,3,7,1,4,Fibroblast
RHC4800__Tcell__.C6E879,1,2,4,4,14,1,4,18,3,4,8,9,1,1,1,1,3,Tcell
RHC4801__Epithelial__.2749FE,24,1,2,2,8,1,6,13,2,3,0,10,1,2,7,10,2,Epithelial
RHC4804__Tcell__.C6E879,36,4,4,4,1,6,4,20,4,1,8,5,1,6,5,1,1,Tcell
RHC4807__Epithelial__.2749FE,20,1,2,2,8,2,3,9,2,2,1,10,2,1,7,10,2,Epithelial
RHC4810__Macrophage__.FFFF55,1,5,5,4,6,4,3,30,3,10,1,10,1,7,6,10,1,Macrophage
RHC4811__Epithelial__.2749FE,40,3,2,3,7,3,6,12,4,2,19,10,1,1,1,10,3,Epithelial
RHC4813__Epithelial__.2749FE,1,1,2,1,9,1,6,22,3,10,11,10,2,2,7,10,6,Epithelial
RHC4815__Epithelial__.2749FE,6,3,2,2,9,2,3,18,2,2,15,10,1,1,7,2,2,Epithelial
RHC4859__Epithelial__.2749FE,1,2,8,1,11,1,7,24,3,3,4,3,1,4,1,7,2,Epithelial
RHC4861__Epithelial__.2749FE,1,3,1,2,7,1,5,9,3,2,20,8,1,5,2,9,2,Epithelial
RHC4862__Epithelial__.2749FE,1,1,2,2,11,1,3,9,1,2,9,8,1,5,2,2,2,Epithelial
RHC4864__Bcell__.7DEA7B,17,1,2,2,11,2,5,9,2,2,2,8,1,2,2,2,2,Bcell
RHC4871__Epithelial__.2749FE,1,1,1,2,11,1,7,12,6,2,11,8,1,2,7,7,2,Epithelial
RHC4872__Epithelial__.2749FE,1,3,9,2,7,1,6,9,1,2,1,12,1,2,2,4,2,Epithelial
RHC4874__Epithelial__.2749FE,1,3,1,2,7,4,5,9,3,4,4,8,1,2,1,9,2,Epithelial
RHC4877__Epithelial__.2749FE,1,2,8,1,7,1,7,24,3,3,11,3,1,2,2,7,2,Epithelial
RHC4878__Epithelial__.2749FE,16,1,8,2,5,1,7,24,2,2,11,3,3,2,3,7,3,Epithelial
RHC4879__Epithelial__.2749FE,25,1,1,2,8,2,5,12,2,3,16,8,1,2,7,7,2,Epithelial
RHC4880__Epithelial__.2749FE,13,1,1,3,2,3,3,9,2,2,0,12,1,1,5,2,2,Epithelial
RHC4881__Epithelial__.2749FE,4,1,1,2,8,2,3,18,2,2,3,12,1,1,1,2,2,Epithelial
RHC4886__Tcell__.C6E879,1,4,4,4,5,6,4,9,2,2,18,9,1,1,1,1,3,Tcell
RHC4887__Epithelial__.2749FE,1,2,1,3,2,1,3,18,3,2,2,9,1,1,6,2,2,Epithelial
RHC4890__Epithelial__.2749FE,40,1,8,1,14,1,7,5,4,2,6,2,1,4,1,7,2,Epithelial
RHC4897__Bcell__.7DEA7B,2,1,1,4,8,2,4,18,2,2,0,13,4,1,3,2,3,Bcell
RHC4900__Epithelial__.2749FE,7,1,1,2,8,2,3,18,2,2,0,8,1,1,1,9,2,Epithelial
RHC4902__Epithelial__.2749FE,1,1,8,1,5,1,7,5,6,3,11,3,2,2,7,7,6,Epithelial
RHC4910__Epithelial__.2749FE,18,1,1,5,8,2,3,9,2,2,0,12,1,1,7,2,3,Epithelial
RHC4911__Epithelial__.2749FE,3,1,2,5,8,2,3,9,2,2,12,12,2,1,7,2,2,Epithelial
RHC4915__Epithelial__.2749FE,1,2,8,1,14,1,7,24,3,3,3,3,1,2,1,7,3,Epithelial
RHC4916__Epithelial__.2749FE,14,1,1,2,8,2,5,9,2,2,9,8,1,2,2,9,2,Epithelial
RHC4921__Epithelial__.2749FE,3,1,1,2,8,2,3,9,2,2,11,12,2,1,7,2,2,Epithelial
RHC4922__Epithelial__.2749FE,27,1,8,1,14,1,7,24,4,3,0,3,1,2,1,7,2,Epithelial
RHC4924__Epithelial__.2749FE,1,1,1,2,11,2,5,12,2,8,0,8,1,1,1,9,2,Epithelial
RHC4925__Epithelial__.2749FE,24,1,7,3,2,3,3,12,2,2,11,8,1,1,7,9,2,Epithelial
RHC4926__Epithelial__.2749FE,17,1,8,1,4,1,7,5,2,2,6,3,4,2,3,7,3,Epithelial
RHC4931__Epithelial__.2749FE,1,1,1,2,9,1,5,12,6,3,4,8,1,2,1,9,2,Epithelial
RHC4935__Epithelial__.2749FE,1,2,1,2,8,1,3,9,3,8,16,8,1,1,1,9,2,Epithelial
RHC4937__Epithelial__.2749FE,15,1,1,2,11,2,3,9,2,2,5,8,1,1,2,9,2,Epithelial
RHC4938__Epithelial__.2749FE,1,2,8,1,14,1,7,5,4,2,3,3,1,4,1,7,2,Epithelial
RHC4940__Epithelial__.2749FE,24,1,1,2,11,2,5,9,2,2,3,8,1,2,2,9,2,Epithelial
RHC4944__Epithelial__.2749FE,19,1,8,2,9,1,5,24,2,2,10,8,2,2,7,7,2,Epithelial
RHC4945__Epithelial__.2749FE,35,1,8,2,11,1,7,24,4,8,1,8,1,2,1,7,2,Epithelial
RHC4947__Epithelial__.2749FE,1,2,8,1,14,1,7,5,4,8,3,3,1,4,1,7,3,Epithelial
RHC5544__Epithelial__.2749FE,1,3,9,5,9,1,6,22,1,2,3,12,1,2,6,4,3,Epithelial
RHC5546__Epithelial__.2749FE,1,2,6,1,14,1,8,1,5,4,14,2,1,4,1,7,3,Epithelial
RHC5547__Epithelial__.2749FE,1,1,9,2,11,1,5,13,1,8,1,6,1,2,1,7,2,Epithelial
RHC5549__Epithelial__.2749FE,1,2,6,1,14,1,8,1,5,5,4,2,1,4,5,7,6,Epithelial
RHC5550__Epithelial__.2749FE,1,2,6,1,14,1,8,1,5,4,9,2,1,4,5,7,3,Epithelial
RHC5552__Epithelial__.2749FE,40,1,1,2,8,1,5,12,4,8,0,6,1,2,1,14,2,Epithelial
RHC5553__Epithelial__.2749FE,1,2,6,1,10,1,8,1,5,4,0,2,1,4,5,7,3,Epithelial
RHC5554__Epithelial__.2749FE,1,1,6,1,8,1,8,5,3,3,1,6,1,4,1,14,3,Epithelial
RHC5555__Epithelial__.2749FE,1,2,6,1,10,1,8,1,5,4,9,2,1,4,5,7,3,Epithelial
RHC5557__Epithelial__.2749FE,33,1,1,5,8,1,6,10,4,3,11,12,1,1,6,2,3,Epithelial
RHC5558__Epithelial__.2749FE,1,1,6,1,14,1,8,1,6,4,1,2,1,4,1,7,6,Epithelial
RHC5560__Epithelial__.2749FE,1,3,9,5,11,7,6,30,3,11,3,12,1,1,6,4,3,Epithelial
RHC5561__Epithelial__.2749FE,1,2,6,1,14,1,8,17,5,5,1,2,1,4,5,7,6,Epithelial
RHC5562__Epithelial__.2749FE,1,1,9,2,2,1,5,9,3,11,2,6,1,1,2,14,2,Epithelial
RHC5563__Epithelial__.2749FE,1,3,9,2,11,1,5,9,3,4,2,6,1,5,2,14,2,Epithelial
RHC5564__Epithelial__.2749FE,1,1,1,2,11,1,5,9,1,2,0,6,1,1,2,14,2,Epithelial
RHC5565__Epithelial__.2749FE,1,1,9,2,2,1,5,9,5,3,0,6,1,5,1,14,2,Epithelial
RHC5566__Epithelial__.2749FE,33,1,6,1,11,1,8,5,4,3,1,6,1,4,1,14,2,Epithelial
RHC5567__Epithelial__.2749FE,1,1,6,1,11,1,5,5,3,3,4,6,1,4,1,14,3,Epithelial
RHC5568__Epithelial__.2749FE,24,1,1,5,2,7,3,9,2,2,7,12,2,1,7,2,2,Epithelial
RHC5569__Epithelial__.2749FE,1,2,6,1,11,1,8,1,3,5,4,2,1,4,5,7,3,Epithelial
RHC5570__Epithelial__.2749FE,1,3,9,2,11,1,6,9,3,11,0,4,1,2,2,4,2,Epithelial
RHC5571__Tcell__.C6E879,1,4,4,4,1,6,4,20,5,3,0,5,1,6,5,1,1,Tcell
RHC5574__Epithelial__.2749FE,1,1,9,2,11,1,5,12,1,2,2,6,1,2,2,14,2,Epithelial
RHC5575__Epithelial__.2749FE,1,2,6,1,14,1,8,1,5,4,4,2,1,4,5,7,6,Epithelial
RHC5576__Tcell__.C6E879,1,2,4,4,10,6,4,23,5,3,18,5,1,6,5,1,3,Tcell
RHC5577__Epithelial__.2749FE,1,2,6,1,10,1,8,1,5,4,1,2,1,4,5,7,6,Epithelial
RHC5578__Epithelial__.2749FE,1,2,9,2,11,1,1,13,5,2,1,6,2,2,7,14,3,Epithelial
