"name"	"dataset"	"algorithm"	"F.Mean"	"F.Low"	"F.High"	"Rec.Mean"	"Rec.Low"	"Rec.High"	"Prec.Mean"	"Prec.Low"	"Prec.High"	"Rank"	"score"
"x.47"	"dg-CHETAH"	"dg"	"CHETAH"	0.96	0.95	0.96	"0.92"	"0.91"	"0.93"	"1"	"1"	"1"	14	15.5
"x.48"	"dg-scID"	"dg"	"scID"	0.81	0.79	0.82	"0.75"	"0.74"	"0.76"	"0.94"	"0.93"	"0.95"	20	20
"x.49"	"dg-scmapcell"	"dg"	"scmapcell"	0.97	0.96	0.97	"0.94"	"0.94"	"0.95"	"0.99"	"0.99"	"1"	15	13
"x.50"	"dg-scmapcluster"	"dg"	"scmapcluster"	0.78	0.77	0.79	"0.65"	"0.64"	"0.67"	"0.99"	"0.99"	"1"	21	21
"x.51"	"dg-singleR"	"dg"	"singleR"	0.99	0.99	0.99	"0.99"	"0.99"	"0.99"	"0.99"	"0.99"	"0.99"	6	4
"x.52"	"jam-cibersort"	"jam"	"cibersort"	0.4	0.39	0.41	"0.43"	"0.41"	"0.44"	"0.57"	"0.56"	"0.59"	23	21
"x.53"	"jam-gsea"	"jam"	"gsea"	0.41	0.39	0.42	"0.48"	"0.47"	"0.49"	"0.36"	"0.35"	"0.38"	22	19.5
"x.54"	"jam-gsva"	"jam"	"gsva"	0.53	0.52	0.54	"0.56"	"0.54"	"0.57"	"0.67"	"0.66"	"0.68"	19	17
"x.55"	"jam-metaneighbor"	"jam"	"metaneighbor"	0.34	0.32	0.35	"0.45"	"0.44"	"0.46"	"0.28"	"0.27"	"0.29"	24	25
"x.56"	"jam-ora"	"jam"	"ora"	0.41	0.39	0.42	"0.48"	"0.47"	"0.5"	"0.37"	"0.36"	"0.39"	18	19.5
"x.57"	"jam-adobo"	"jam"	"adobo"	0.06	0.06	0.07	"0.07"	"0.06"	"0.07"	"0.06"	"0.05"	"0.06"	25	26
"x.58"	"jam-sccatch"	"jam"	"sccatch"	0.38	0.37	0.39	"0.35"	"0.34"	"0.36"	"0.5"	"0.49"	"0.51"	26	23
"x.59"	"jam-SVM"	"jam"	"SVM"	0.88	0.87	0.89	"0.88"	"0.88"	"0.89"	"0.88"	"0.87"	"0.89"	2	3.5
"x.60"	"jam-SVMrej"	"jam"	"SVMrej"	0.83	0.83	0.84	"0.79"	"0.78"	"0.8"	"0.93"	"0.92"	"0.94"	7	9.5
"x.61"	"jam-RF"	"jam"	"RF"	0.84	0.83	0.85	"0.86"	"0.85"	"0.87"	"0.86"	"0.84"	"0.87"	9	7.5
"x.62"	"jam-LDA"	"jam"	"LDA"	0.88	0.87	0.88	"0.88"	"0.87"	"0.89"	"0.88"	"0.87"	"0.89"	10	3.5
"x.63"	"jam-LDArej"	"jam"	"LDArej"	0.87	0.86	0.88	"0.86"	"0.85"	"0.87"	"0.89"	"0.88"	"0.89"	11	5
"x.64"	"jam-NMC"	"jam"	"NMC"	0.78	0.78	0.79	"0.76"	"0.75"	"0.77"	"0.82"	"0.81"	"0.83"	16	12
"x.65"	"jam-kNN9"	"jam"	"kNN9"	0.58	0.57	0.59	"0.58"	"0.57"	"0.6"	"0.75"	"0.73"	"0.76"	13	16
"x.66"	"jam-ACTINN"	"jam"	"ACTINN"	0.86	0.85	0.87	"0.87"	"0.86"	"0.88"	"0.86"	"0.85"	"0.87"	4	6
"x.67"	"jam-scVI"	"jam"	"scVI"	0.83	0.82	0.84	"0.84"	"0.83"	"0.84"	"0.82"	"0.81"	"0.83"	3	9.5
"x.68"	"jam-Cell_BLAST"	"jam"	"Cell_BLAST"	0.46	0.45	0.47	"0.43"	"0.42"	"0.44"	"0.6"	"0.57"	"0.63"	17	18
"x.69"	"jam-SingleCellNet"	"jam"	"SingleCellNet"	0.95	0.95	0.96	"0.95"	"0.95"	"0.96"	"0.95"	"0.95"	"0.96"	5	2
"x.70"	"jam-LAmbDA"	"jam"	"LAmbDA"	0.77	0.76	0.78	"0.77"	"0.76"	"0.78"	"0.77"	"0.76"	"0.78"	12	14
"x.71"	"jam-scPred"	"jam"	"scPred"	0.77	0.76	0.78	"0.74"	"0.73"	"0.75"	"0.89"	"0.88"	"0.9"	1	14
"x.72"	"jam-CaSTLe"	"jam"	"CaSTLe"	0.96	0.95	0.96	"0.96"	"0.96"	"0.96"	"0.96"	"0.96"	"0.96"	8	1
"x.73"	"jam-CHETAH"	"jam"	"CHETAH"	0.79	0.78	0.8	"0.73"	"0.72"	"0.74"	"0.88"	"0.87"	"0.88"	14	11
"x.74"	"jam-scID"	"jam"	"scID"	0.77	0.76	0.78	"0.73"	"0.72"	"0.74"	"0.85"	"0.84"	"0.86"	20	14
"x.75"	"jam-scmapcell"	"jam"	"scmapcell"	0.39	0.37	0.4	"0.35"	"0.34"	"0.36"	"0.74"	"0.7"	"0.78"	15	22
"x.76"	"jam-scmapcluster"	"jam"	"scmapcluster"	0.35	0.33	0.36	"0.33"	"0.32"	"0.34"	"0.75"	"0.59"	"0.86"	21	24
"x.77"	"jam-singleR"	"jam"	"singleR"	0.84	0.83	0.85	"0.84"	"0.83"	"0.85"	"0.84"	"0.84"	"0.85"	6	7.5
"x.78"	"li_crc-cibersort"	"li_crc"	"cibersort"	0.76	0.71	0.81	"0.83"	"0.79"	"0.87"	"0.71"	"0.65"	"0.77"	23	15.5
"x.79"	"li_crc-gsea"	"li_crc"	"gsea"	0.76	0.71	0.81	"0.83"	"0.79"	"0.87"	"0.71"	"0.65"	"0.77"	22	15.5
"x.80"	"li_crc-gsva"	"li_crc"	"gsva"	0.49	0.44	0.54	"0.41"	"0.36"	"0.46"	"0.76"	"0.71"	"0.8"	19	21
"x.81"	"li_crc-metaneighbor"	"li_crc"	"metaneighbor"	0.26	0.21	0.32	"0.25"	"0.21"	"0.3"	"0.8"	"0.76"	"0.83"	24	25
"x.82"	"li_crc-ora"	"li_crc"	"ora"	0.78	0.73	0.83	"0.83"	"0.79"	"0.87"	"0.75"	"0.69"	"0.8"	18	11.5
"x.83"	"li_crc-adobo"	"li_crc"	"adobo"	0.39	0.33	0.44	"0.28"	"0.23"	"0.32"	"0.74"	"0.66"	"0.81"	25	23
"x.84"	"li_crc-sccatch"	"li_crc"	"sccatch"	0.13	0.09	0.16	"0.12"	"0.09"	"0.15"	"0.14"	"0.1"	"0.18"	26	26
"x.85"	"li_crc-SVM"	"li_crc"	"SVM"	0.93	0.9	0.96	"0.94"	"0.91"	"0.96"	"0.94"	"0.92"	"0.96"	2	4
"x.86"	"li_crc-SVMrej"	"li_crc"	"SVMrej"	0.89	0.86	0.92	"0.84"	"0.8"	"0.88"	"0.99"	"0.98"	"1"	7	7
"x.87"	"li_crc-RF"	"li_crc"	"RF"	0.84	0.8	0.88	"0.87"	"0.84"	"0.91"	"0.88"	"0.81"	"0.91"	9	9.5
"x.88"	"li_crc-LDA"	"li_crc"	"LDA"	0.78	0.73	0.83	"0.81"	"0.77"	"0.85"	"0.78"	"0.72"	"0.83"	10	11.5
"x.89"	"li_crc-LDArej"	"li_crc"	"LDArej"	0.76	0.71	0.81	"0.78"	"0.74"	"0.82"	"0.77"	"0.71"	"0.82"	11	15.5
"x.90"	"li_crc-NMC"	"li_crc"	"NMC"	0.76	0.72	0.8	"0.72"	"0.67"	"0.77"	"0.87"	"0.84"	"0.9"	16	15.5
"x.91"	"li_crc-kNN9"	"li_crc"	"kNN9"	0.66	0.6	0.72	"0.76"	"0.72"	"0.81"	"0.61"	"0.53"	"0.69"	13	18.5
"x.92"	"li_crc-ACTINN"	"li_crc"	"ACTINN"	0.88	0.84	0.92	"0.9"	"0.86"	"0.93"	"0.9"	"0.86"	"0.93"	4	8
"x.93"	"li_crc-scVI"	"li_crc"	"scVI"	0.97	0.95	0.99	"0.97"	"0.95"	"0.99"	"0.97"	"0.95"	"0.99"	3	1.5
"x.94"	"li_crc-Cell_BLAST"	"li_crc"	"Cell_BLAST"	0.66	0.6	0.72	"0.76"	"0.71"	"0.8"	"0.58"	"0.51"	"0.65"	17	18.5
"x.95"	"li_crc-SingleCellNet"	"li_crc"	"SingleCellNet"	0.91	0.87	0.94	"0.91"	"0.87"	"0.94"	"0.95"	"0.92"	"0.97"	5	6
"x.96"	"li_crc-LAmbDA"	"li_crc"	"LAmbDA"	0.77	0.73	0.81	"0.74"	"0.69"	"0.78"	"0.82"	"0.78"	"0.86"	12	13
"x.97"	"li_crc-scPred"	"li_crc"	"scPred"	0.96	0.93	0.98	"0.96"	"0.94"	"0.98"	"0.96"	"0.94"	"0.98"	1	3
"x.98"	"li_crc-CaSTLe"	"li_crc"	"CaSTLe"	0.84	0.8	0.89	"0.87"	"0.84"	"0.91"	"0.87"	"0.8"	"0.91"	8	9.5
"x.99"	"li_crc-CHETAH"	"li_crc"	"CHETAH"	0.92	0.89	0.94	"0.87"	"0.84"	"0.91"	"0.98"	"0.96"	"0.99"	14	5
"x.100"	"li_crc-scID"	"li_crc"	"scID"	0.32	0.27	0.38	"0.21"	"0.17"	"0.25"	"0.9"	"0.84"	"0.93"	20	24
"x.101"	"li_crc-scmapcell"	"li_crc"	"scmapcell"	0.65	0.59	0.7	"0.65"	"0.6"	"0.7"	"0.64"	"0.58"	"0.71"	15	20
"x.102"	"li_crc-scmapcluster"	"li_crc"	"scmapcluster"	0.44	0.39	0.49	"0.31"	"0.26"	"0.36"	"0.74"	"0.69"	"0.79"	21	22
"x.103"	"li_crc-singleR"	"li_crc"	"singleR"	0.97	0.95	0.99	"0.97"	"0.95"	"0.99"	"0.97"	"0.95"	"0.99"	6	1.5
"x.104"	"llc-cibersort"	"llc"	"cibersort"	0.27	0.27	0.28	"0.35"	"0.35"	"0.36"	"0.68"	"0.67"	"0.69"	23	20.5
"x.105"	"llc-gsea"	"llc"	"gsea"	0.21	0.21	0.22	"0.28"	"0.28"	"0.29"	"0.72"	"0.72"	"0.73"	22	23
"x.106"	"llc-gsva"	"llc"	"gsva"	0.26	0.26	0.26	"0.3"	"0.3"	"0.31"	"0.41"	"0.4"	"0.41"	19	22
"x.107"	"llc-metaneighbor"	"llc"	"metaneighbor"	0.04	0.04	0.04	"0.08"	"0.08"	"0.08"	"0.03"	"0.03"	"0.03"	24	24
"x.108"	"llc-ora"	"llc"	"ora"	0.29	0.29	0.3	"0.36"	"0.35"	"0.36"	"0.72"	"0.71"	"0.73"	18	19
"x.109"	"llc-adobo"	"llc"	"adobo"										25	25.5
"x.110"	"llc-sccatch"	"llc"	"sccatch"										26	25.5
"x.111"	"llc-SVM"	"llc"	"SVM"	0.98	0.98	0.98	"0.98"	"0.98"	"0.98"	"0.98"	"0.98"	"0.98"	2	2.5
"x.112"	"llc-SVMrej"	"llc"	"SVMrej"	0.98	0.97	0.98	"0.96"	"0.96"	"0.96"	"0.99"	"0.99"	"0.99"	7	2.5
"x.113"	"llc-RF"	"llc"	"RF"	0.94	0.93	0.94	"0.94"	"0.94"	"0.95"	"0.94"	"0.94"	"0.95"	9	10
"x.114"	"llc-LDA"	"llc"	"LDA"	0.94	0.93	0.94	"0.94"	"0.94"	"0.94"	"0.94"	"0.94"	"0.94"	10	10
"x.115"	"llc-LDArej"	"llc"	"LDArej"	0.94	0.94	0.94	"0.94"	"0.94"	"0.94"	"0.94"	"0.94"	"0.94"	11	10
"x.116"	"llc-NMC"	"llc"	"NMC"	0.74	0.74	0.75	"0.71"	"0.7"	"0.71"	"0.85"	"0.84"	"0.85"	16	18
"x.117"	"llc-kNN9"	"llc"	"kNN9"	0.93	0.93	0.93	"0.94"	"0.93"	"0.94"	"0.94"	"0.94"	"0.94"	13	12
"x.118"	"llc-ACTINN"	"llc"	"ACTINN"	0.98	0.98	0.98	"0.98"	"0.98"	"0.98"	"0.98"	"0.98"	"0.98"	4	2.5
"x.119"	"llc-scVI"	"llc"	"scVI"	0.95	0.94	0.95	"0.95"	"0.95"	"0.96"	"0.95"	"0.95"	"0.95"	3	7.5
"x.120"	"llc-Cell_BLAST"	"llc"	"Cell_BLAST"	0.95	0.95	0.95	"0.94"	"0.94"	"0.94"	"0.96"	"0.96"	"0.96"	17	7.5
"x.121"	"llc-SingleCellNet"	"llc"	"SingleCellNet"	0.96	0.96	0.97	"0.96"	"0.96"	"0.97"	"0.96"	"0.96"	"0.97"	5	6
"x.122"	"llc-LAmbDA"	"llc"	"LAmbDA"	0.76	0.76	0.77	"0.73"	"0.72"	"0.73"	"0.86"	"0.86"	"0.86"	12	17
"x.123"	"llc-scPred"	"llc"	"scPred"	0.98	0.98	0.98	"0.97"	"0.97"	"0.97"	"0.98"	"0.98"	"0.99"	1	2.5
"x.124"	"llc-CaSTLe"	"llc"	"CaSTLe"	0.97	0.96	0.97	"0.97"	"0.97"	"0.97"	"0.97"	"0.97"	"0.97"	8	5
"x.125"	"llc-CHETAH"	"llc"	"CHETAH"	0.82	0.82	0.82	"0.77"	"0.76"	"0.77"	"0.9"	"0.89"	"0.9"	14	15
"x.126"	"llc-scID"	"llc"	"scID"	0.27	0.27	0.28	"0.2"	"0.19"	"0.2"	"0.91"	"0.91"	"0.92"	20	20.5
"x.127"	"llc-scmapcell"	"llc"	"scmapcell"	0.91	0.91	0.91	"0.86"	"0.86"	"0.87"	"0.98"	"0.98"	"0.98"	15	13
"x.128"	"llc-scmapcluster"	"llc"	"scmapcluster"	0.79	0.79	0.8	"0.7"	"0.7"	"0.71"	"0.95"	"0.94"	"0.95"	21	16
"x.129"	"llc-singleR"	"llc"	"singleR"	0.88	0.88	0.89	"0.87"	"0.87"	"0.87"	"0.92"	"0.92"	"0.92"	6	14
"x.130"	"peng-cibersort"	"peng"	"cibersort"	0.96	0.96	0.96	"0.96"	"0.96"	"0.96"	"0.96"	"0.96"	"0.96"	23	12.5
"x.131"	"peng-gsea"	"peng"	"gsea"	0.02	0.01	0.02	"0.08"	"0.07"	"0.08"	"0.01"	"0.01"	"0.01"	22	23
"x.132"	"peng-gsva"	"peng"	"gsva"	0.96	0.96	0.97	"0.96"	"0.96"	"0.97"	"0.97"	"0.96"	"0.97"	19	12.5
"x.133"	"peng-metaneighbor"	"peng"	"metaneighbor"	0.89	0.88	0.89	"0.89"	"0.89"	"0.9"	"0.92"	"0.91"	"0.92"	24	19
"x.134"	"peng-ora"	"peng"	"ora"	0.96	0.96	0.96	"0.96"	"0.96"	"0.96"	"0.96"	"0.96"	"0.96"	18	12.5
"x.135"	"peng-adobo"	"peng"	"adobo"	0.7	0.69	0.7	"0.62"	"0.62"	"0.62"	"0.89"	"0.89"	"0.89"	25	21
"x.136"	"peng-sccatch"	"peng"	"sccatch"										26	25
"x.137"	"peng-SVM"	"peng"	"SVM"	0.98	0.98	0.99	"0.98"	"0.98"	"0.99"	"0.98"	"0.98"	"0.99"	2	5
"x.138"	"peng-SVMrej"	"peng"	"SVMrej"	0.98	0.98	0.98	"0.97"	"0.97"	"0.98"	"0.99"	"0.99"	"0.99"	7	5
"x.139"	"peng-RF"	"peng"	"RF"	0.97	0.97	0.98	"0.98"	"0.97"	"0.98"	"0.98"	"0.97"	"0.98"	9	8.5
"x.140"	"peng-LDA"	"peng"	"LDA"										10	25
"x.141"	"peng-LDArej"	"peng"	"LDArej"										11	25
"x.142"	"peng-NMC"	"peng"	"NMC"	0.83	0.82	0.83	"0.81"	"0.81"	"0.81"	"0.86"	"0.86"	"0.87"	16	20
"x.143"	"peng-kNN9"	"peng"	"kNN9"	0.96	0.96	0.96	"0.96"	"0.96"	"0.96"	"0.96"	"0.96"	"0.96"	13	12.5
"x.144"	"peng-ACTINN"	"peng"	"ACTINN"	0.98	0.98	0.99	"0.98"	"0.98"	"0.99"	"0.98"	"0.98"	"0.99"	4	5
"x.145"	"peng-scVI"	"peng"	"scVI"	0.99	0.99	0.99	"0.99"	"0.99"	"0.99"	"0.99"	"0.99"	"0.99"	3	1.5
"x.146"	"peng-Cell_BLAST"	"peng"	"Cell_BLAST"	0.98	0.98	0.98	"0.98"	"0.98"	"0.98"	"0.98"	"0.98"	"0.98"	17	5
"x.147"	"peng-SingleCellNet"	"peng"	"SingleCellNet"	0.98	0.97	0.98	"0.98"	"0.97"	"0.98"	"0.98"	"0.98"	"0.98"	5	5
"x.148"	"peng-LAmbDA"	"peng"	"LAmbDA"	0.94	0.94	0.94	"0.94"	"0.94"	"0.95"	"0.94"	"0.94"	"0.95"	12	17
"x.149"	"peng-scPred"	"peng"	"scPred"	0.99	0.98	0.99	"0.98"	"0.98"	"0.98"	"0.99"	"0.99"	"0.99"	1	1.5
"x.150"	"peng-CaSTLe"	"peng"	"CaSTLe"	0.97	0.97	0.98	"0.97"	"0.97"	"0.98"	"0.97"	"0.97"	"0.98"	8	8.5
"x.151"	"peng-CHETAH"	"peng"	"CHETAH"	0.91	0.91	0.91	"0.89"	"0.89"	"0.9"	"0.94"	"0.93"	"0.94"	14	18
"x.152"	"peng-scID"	"peng"	"scID"	0.6	0.6	0.61	"0.53"	"0.52"	"0.53"	"0.87"	"0.87"	"0.87"	20	22
"x.153"	"peng-scmapcell"	"peng"	"scmapcell"	0.96	0.96	0.96	"0.94"	"0.94"	"0.94"	"0.99"	"0.99"	"0.99"	15	12.5
"x.154"	"peng-scmapcluster"	"peng"	"scmapcluster"	0.95	0.95	0.95	"0.94"	"0.94"	"0.94"	"0.96"	"0.96"	"0.96"	21	16
"x.155"	"peng-singleR"	"peng"	"singleR"	0.96	0.95	0.96	"0.96"	"0.96"	"0.96"	"0.96"	"0.96"	"0.96"	6	12.5
"x.156"	"tm-cibersort"	"tm"	"cibersort"	0.6	0.58	0.62	"0.68"	"0.66"	"0.69"	"0.57"	"0.55"	"0.58"	23	22.5
"x.157"	"tm-gsea"	"tm"	"gsea"	0.66	0.64	0.67	"0.67"	"0.66"	"0.69"	"0.65"	"0.63"	"0.67"	22	19.5
"x.158"	"tm-gsva"	"tm"	"gsva"	0.66	0.64	0.67	"0.67"	"0.66"	"0.69"	"0.65"	"0.63"	"0.66"	19	19.5
"x.159"	"tm-metaneighbor"	"tm"	"metaneighbor"	0.64	0.63	0.66	"0.67"	"0.66"	"0.69"	"0.63"	"0.62"	"0.65"	24	21
"x.160"	"tm-ora"	"tm"	"ora"	0.6	0.58	0.62	"0.67"	"0.66"	"0.69"	"0.57"	"0.56"	"0.59"	18	22.5
"x.161"	"tm-adobo"	"tm"	"adobo"	0.55	0.53	0.56	"0.55"	"0.54"	"0.57"	"0.54"	"0.52"	"0.56"	25	24
"x.162"	"tm-sccatch"	"tm"	"sccatch"	0.44	0.42	0.45	"0.36"	"0.34"	"0.37"	"0.98"	"0.97"	"0.98"	26	25
"x.163"	"tm-SVM"	"tm"	"SVM"	0.99	0.99	1	"0.99"	"0.99"	"1"	"0.99"	"0.99"	"1"	2	5
"x.164"	"tm-SVMrej"	"tm"	"SVMrej"	0.99	0.99	1	"0.99"	"0.99"	"0.99"	"1"	"1"	"1"	7	5
"x.165"	"tm-RF"	"tm"	"RF"	0.98	0.97	0.98	"0.98"	"0.98"	"0.99"	"0.98"	"0.98"	"0.99"	9	10.5
"x.166"	"tm-LDA"	"tm"	"LDA"	0.99	0.99	0.99	"0.99"	"0.99"	"0.99"	"0.99"	"0.99"	"0.99"	10	5
"x.167"	"tm-LDArej"	"tm"	"LDArej"	0.99	0.99	0.99	"0.99"	"0.99"	"0.99"	"0.99"	"0.99"	"0.99"	11	5
"x.168"	"tm-NMC"	"tm"	"NMC"	0.97	0.96	0.97	"0.97"	"0.96"	"0.97"	"0.97"	"0.96"	"0.97"	16	12
"x.169"	"tm-kNN9"	"tm"	"kNN9"	0.93	0.92	0.94	"0.95"	"0.94"	"0.95"	"0.93"	"0.91"	"0.94"	13	15
"x.170"	"tm-ACTINN"	"tm"	"ACTINN"	0.99	0.98	0.99	"0.99"	"0.99"	"0.99"	"0.99"	"0.99"	"0.99"	4	5
"x.171"	"tm-scVI"	"tm"	"scVI"	0.98	0.98	0.99	"0.99"	"0.98"	"0.99"	"0.99"	"0.98"	"0.99"	3	10.5
