"dataset"	"algorithm"	"homogeneity_mean"	"homogeneity_low_CI"	"homogeneity_high_CI"	"score"	"rank"
"llc"	"ACTINN"	"0.93"	"0.92"	"0.93"	2.5	4.75
"llc"	"scVI"	"0.88"	"0.88"	"0.89"	6.5	4
"llc"	"Cell_BLAST"	"0.86"	"0.86"	"0.87"	8	22.5
"llc"	"SingleCellNet"	"0.88"	"0.88"	"0.89"	6.5	6.75
"llc"	"LAmbDA"	"0.68"	"0.68"	"0.69"	17	14
"llc"	"scPred"	"0.93"	"0.93"	"0.93"	2.5	2.75
"llc"	"CaSTLe"	"0.9"	"0.89"	"0.9"	5	8.5
"llc"	"CHETAH"	"0.71"	"0.7"	"0.71"	15	12.75
"llc"	"scID"	"0.58"	"0.58"	"0.59"	19.5	17.5
"llc"	"scmapcell"	"0.81"	"0.81"	"0.82"	14	17.25
"llc"	"scmapcluster"	"0.7"	"0.7"	"0.71"	16	19.5
"llc"	"singleR"	"0.84"	"0.83"	"0.84"	9.5	8.25
"peng"	"cibersort"	"0.91"	"0.91"	"0.91"	13	22
"peng"	"gsea"	"0.1"	"0.1"	"0.1"	23	19.75
"peng"	"gsva"	"0.92"	"0.91"	"0.92"	10.5	16.75
"peng"	"metaneighbor"	"0.84"	"0.84"	"0.84"	18	19.25
"peng"	"ora"	"0.91"	"0.91"	"0.91"	13	18
"peng"	"adobo"	"0.7"	"0.69"	"0.7"	20	22
"peng"	"sccatch"				25	24.5
"peng"	"SVM"	"0.95"	"0.95"	"0.96"	4	3.5
"peng"	"SVMrej"	"0.95"	"0.95"	"0.96"	4	4.5
"peng"	"RF"	"0.93"	"0.93"	"0.93"	8	10.5
"peng"	"LDA"				25	13.25
"peng"	"LDArej"				25	13.25
"peng"	"NMC"	"0.69"	"0.69"	"0.7"	21	16.75
"peng"	"kNN9"	"0.91"	"0.9"	"0.91"	13	17.5
"peng"	"ACTINN"	"0.95"	"0.95"	"0.96"	4	4.75
"peng"	"scVI"	"0.96"	"0.96"	"0.97"	1.5	4
"peng"	"Cell_BLAST"	"0.94"	"0.94"	"0.95"	6	22.5
"peng"	"SingleCellNet"	"0.93"	"0.93"	"0.93"	8	6.75
"peng"	"LAmbDA"	"0.87"	"0.86"	"0.87"	17	14
"peng"	"scPred"	"0.96"	"0.96"	"0.96"	1.5	2.75
"peng"	"CaSTLe"	"0.93"	"0.93"	"0.93"	8	8.5
"peng"	"CHETAH"	"0.81"	"0.81"	"0.82"	19	12.75
"peng"	"scID"	"0.6"	"0.59"	"0.6"	22	17.5
"peng"	"scmapcell"	"0.92"	"0.92"	"0.92"	10.5	17.25
"peng"	"scmapcluster"	"0.89"	"0.89"	"0.89"	16	19.5
"peng"	"singleR"	"0.9"	"0.9"	"0.9"	15	8.25
"vg"	"cibersort"	"0.24"	"0.23"	"0.24"	24	22
"vg"	"gsea"	"0.4"	"0.4"	"0.41"	17.5	19.75
"vg"	"gsva"	"0.55"	"0.54"	"0.55"	11	16.75
"vg"	"metaneighbor"	"0.53"	"0.53"	"0.54"	12.5	19.25
"vg"	"ora"	"0.38"	"0.38"	"0.39"	19	18
"vg"	"adobo"				25.5	22
"vg"	"sccatch"				25.5	24.5
"vg"	"SVM"	"0.67"	"0.67"	"0.68"	5	3.5
"vg"	"SVMrej"	"0.63"	"0.62"	"0.64"	7	4.5
"vg"	"RF"	"0.6"	"0.59"	"0.6"	8	10.5
"vg"	"LDA"	"0.31"	"0.3"	"0.31"	21.5	13.25
"vg"	"LDArej"	"0.31"	"0.3"	"0.31"	21.5	13.25
"vg"	"NMC"	"0.4"	"0.39"	"0.41"	17.5	16.75
"vg"	"kNN9"	"0.52"	"0.51"	"0.53"	14	17.5
"vg"	"ACTINN"	"0.67"	"0.66"	"0.68"	5	4.75
"vg"	"scVI"	"0.76"	"0.75"	"0.76"	1	4
"vg"	"Cell_BLAST"	"0.58"	"0.57"	"0.59"	9	22.5
"vg"	"SingleCellNet"	"0.69"	"0.68"	"0.7"	3	6.75
"vg"	"LAmbDA"	"0.53"	"0.52"	"0.53"	12.5	14
"vg"	"scPred"	"0.71"	"0.7"	"0.72"	2	2.75
"vg"	"CaSTLe"	"0.67"	"0.66"	"0.67"	5	8.5
"vg"	"CHETAH"	"0.46"	"0.45"	"0.46"	15	12.75
"vg"	"scID"	"0.29"	"0.28"	"0.29"	23	17.5
"vg"	"scmapcell"	"0.45"	"0.44"	"0.46"	16	17.25
"vg"	"scmapcluster"	"0.37"	"0.36"	"0.37"	20	19.5
"vg"	"singleR"	"0.56"	"0.56"	"0.57"	10	8.25
