"dataset"	"algorithm"	"ARI"	"ARI_low_CI"	"ARI_high_CI"	"score"	"rank"
"dg"	"SVMrej"	"0.97"	"0.96"	"0.98"	9.5	3.75
"dg"	"RF"	"0.97"	"0.96"	"0.97"	9.5	9.25
"dg"	"LDA"	"0.94"	"0.93"	"0.95"	13	11.75
"dg"	"LDArej"	"0.94"	"0.93"	"0.95"	13	11.75
"dg"	"NMC"	"0.88"	"0.86"	"0.9"	16.5	16.75
"dg"	"kNN9"	"0.74"	"0.72"	"0.77"	20	15
"dg"	"ACTINN"	"0.98"	"0.97"	"0.99"	4	4.5
"dg"	"scVI"	"0.98"	"0.98"	"0.99"	4	4.25
"dg"	"Cell_BLAST"	"0.81"	"0.79"	"0.83"	18	19.5
"dg"	"SingleCellNet"	"0.98"	"0.97"	"0.98"	4	4.5
"dg"	"LAmbDA"	"0.93"	"0.91"	"0.94"	15	14.5
"dg"	"scPred"	"0.98"	"0.97"	"0.99"	4	4.25
"dg"	"CaSTLe"	"0.97"	"0.96"	"0.98"	9.5	7.25
"dg"	"CHETAH"	"0.88"	"0.86"	"0.89"	16.5	16.75
"dg"	"scID"	"0.78"	"0.76"	"0.8"	19	20
"dg"	"scmapcell"	"0.94"	"0.93"	"0.95"	13	16.25
"dg"	"scmapcluster"	"0.46"	"0.44"	"0.48"	23	22.5
"dg"	"singleR"	"0.98"	"0.97"	"0.99"	4	9.5
"jam"	"cibersort"	"0.33"	"0.31"	"0.35"	22	22
"jam"	"gsea"	"0.42"	"0.41"	"0.44"	19	17.75
"jam"	"gsva"	"0.41"	"0.4"	"0.43"	20	20
"jam"	"metaneighbor"	"0.43"	"0.42"	"0.44"	17.5	20.5
"jam"	"ora"	"0.43"	"0.42"	"0.44"	17.5	16.25
"jam"	"adobo"	"0.12"	"0.11"	"0.13"	26	23.25
"jam"	"sccatch"	"0.31"	"0.3"	"0.33"	24.5	25
"jam"	"SVM"	"0.84"	"0.82"	"0.85"	3	3.25
"jam"	"SVMrej"	"0.8"	"0.78"	"0.81"	7.5	3.75
"jam"	"RF"	"0.8"	"0.78"	"0.81"	7.5	9.25
"jam"	"LDA"	"0.82"	"0.81"	"0.84"	5	11.75
"jam"	"LDArej"	"0.82"	"0.81"	"0.83"	5	11.75
"jam"	"NMC"	"0.62"	"0.6"	"0.63"	15	16.75
"jam"	"kNN9"	"0.5"	"0.48"	"0.52"	16	15
"jam"	"ACTINN"	"0.82"	"0.8"	"0.83"	5	4.5
"jam"	"scVI"	"0.77"	"0.75"	"0.78"	9	4.25
"jam"	"Cell_BLAST"	"0.34"	"0.33"	"0.36"	21	19.5
"jam"	"SingleCellNet"	"0.92"	"0.91"	"0.93"	2	4.5
"jam"	"LAmbDA"	"0.66"	"0.65"	"0.68"	12	14.5
"jam"	"scPred"	"0.72"	"0.71"	"0.74"	11	4.25
"jam"	"CaSTLe"	"0.93"	"0.92"	"0.94"	1	7.25
"jam"	"CHETAH"	"0.65"	"0.64"	"0.67"	13	16.75
"jam"	"scID"	"0.63"	"0.61"	"0.65"	14	20
"jam"	"scmapcell"	"0.32"	"0.31"	"0.34"	23	16.25
"jam"	"scmapcluster"	"0.31"	"0.29"	"0.32"	24.5	22.5
"jam"	"singleR"	"0.76"	"0.75"	"0.78"	10	9.5
"li_crc"	"cibersort"	"0.37"	"0.27"	"0.48"	16.5	22
"li_crc"	"gsea"	"0.37"	"0.27"	"0.48"	16.5	17.75
"li_crc"	"gsva"	"0.09"	"0.04"	"0.14"	22	20
"li_crc"	"metaneighbor"	"0.03"	"0"	"0.06"	24	20.5
"li_crc"	"ora"	"0.58"	"0.48"	"0.69"	10.5	16.25
"li_crc"	"adobo"	"0.19"	"0.11"	"0.27"	20	23.25
"li_crc"	"sccatch"	"0.58"	"0.48"	"0.68"	10.5	25
"li_crc"	"SVM"	"0.79"	"0.71"	"0.87"	6	3.25
"li_crc"	"SVMrej"	"0.84"	"0.77"	"0.9"	4	3.75
"li_crc"	"RF"	"0.55"	"0.45"	"0.66"	12	9.25
"li_crc"	"LDA"	"0.38"	"0.28"	"0.49"	15	11.75
"li_crc"	"LDArej"	"0.44"	"0.34"	"0.55"	13	11.75
"li_crc"	"NMC"	"0.34"	"0.26"	"0.43"	18	16.75
"li_crc"	"kNN9"	"0.01"	"0"	"0.05"	25	15
"li_crc"	"ACTINN"	"0.69"	"0.6"	"0.78"	8	4.5
"li_crc"	"scVI"	"0.96"	"0.92"	"0.99"	1	4.25
"li_crc"	"Cell_BLAST"	"0.05"	"0.01"	"0.12"	23	19.5
"li_crc"	"SingleCellNet"	"0.81"	"0.73"	"0.89"	5	4.5
"li_crc"	"LAmbDA"	"0.43"	"0.34"	"0.52"	14	14.5
"li_crc"	"scPred"	"0.9"	"0.84"	"0.95"	3	4.25
"li_crc"	"CaSTLe"	"0.68"	"0.59"	"0.77"	9	7.25
"li_crc"	"CHETAH"	"0.74"	"0.66"	"0.81"	7	16.75
"li_crc"	"scID"	"0.13"	"0.05"	"0.22"	21	20
"li_crc"	"scmapcell"	"0.27"	"0.18"	"0.36"	19	16.25
"li_crc"	"scmapcluster"	"-0.09"	"-0.12"	"-0.06"	26	22.5
"li_crc"	"singleR"	"0.93"	"0.88"	"0.97"	2	9.5
"tm"	"cibersort"	"0.74"	"0.72"	"0.75"	22	22
"tm"	"gsea"	"0.93"	"0.92"	"0.94"	12.5	17.75
"tm"	"gsva"	"0.93"	"0.92"	"0.94"	12.5	20
"tm"	"metaneighbor"	"0.89"	"0.87"	"0.9"	17	20.5
"tm"	"ora"	"0.75"	"0.74"	"0.77"	21	16.25
"tm"	"adobo"	"0.8"	"0.78"	"0.81"	19	23.25
"tm"	"sccatch"	"0.48"	"0.46"	"0.5"	26	25
"tm"	"SVM"	"0.99"	"0.98"	"0.99"	2	3.25
"tm"	"SVMrej"	"0.99"	"0.99"	"1"	2	3.75
"tm"	"RF"	"0.97"	"0.96"	"0.98"	10.5	9.25
"tm"	"LDA"	"0.98"	"0.97"	"0.99"	6.5	11.75
"tm"	"LDArej"	"0.98"	"0.97"	"0.99"	6.5	11.75
"tm"	"NMC"	"0.92"	"0.9"	"0.93"	14	16.75
"tm"	"kNN9"	"0.89"	"0.88"	"0.91"	17	15
"tm"	"ACTINN"	"0.98"	"0.97"	"0.98"	6.5	4.5
"tm"	"scVI"	"0.97"	"0.96"	"0.98"	10.5	4.25
"tm"	"Cell_BLAST"	"0.64"	"0.63"	"0.66"	24	19.5
"tm"	"SingleCellNet"	"0.99"	"0.98"	"0.99"	2	4.5
"tm"	"LAmbDA"	"0.9"	"0.88"	"0.91"	15	14.5
"tm"	"scPred"	"0.98"	"0.97"	"0.99"	6.5	4.25
"tm"	"CaSTLe"	"0.98"	"0.97"	"0.99"	6.5	7.25
"tm"	"CHETAH"	"0.89"	"0.88"	"0.91"	17	16.75
"tm"	"scID"	"0.55"	"0.53"	"0.57"	25	20
"tm"	"scmapcell"	"0.79"	"0.77"	"0.81"	20	16.25
"tm"	"scmapcluster"	"0.66"	"0.63"	"0.68"	23	22.5
"tm"	"singleR"	"0.98"	"0.97"	"0.98"	6.5	9.5
"llc"	"cibersort"	"0.37"	"0.37"	"0.38"	22	22
"llc"	"gsea"	"0.31"	"0.31"	"0.32"	23	17.75
"llc"	"gsva"	"0.47"	"0.46"	"0.47"	20	20
"llc"	"metaneighbor"	"0.14"	"0.14"	"0.15"	24	20.5
"llc"	"ora"	"0.43"	"0.43"	"0.44"	21	16.25
"llc"	"adobo"				25.5	23.25
"llc"	"sccatch"				25.5	25
"llc"	"SVM"	"0.97"	"0.97"	"0.97"	2	3.25
"llc"	"SVMrej"	"0.97"	"0.96"	"0.97"	2	3.75
"llc"	"RF"	"0.92"	"0.91"	"0.92"	9	9.25
"llc"	"LDA"	"0.9"	"0.9"	"0.91"	10.5	11.75
"llc"	"LDArej"	"0.9"	"0.9"	"0.91"	10.5	11.75
"llc"	"NMC"	"0.57"	"0.57"	"0.58"	17	16.75
"llc"	"kNN9"	"0.89"	"0.88"	"0.89"	12	15
"llc"	"ACTINN"	"0.97"	"0.96"	"0.97"	2	4.5
"llc"	"scVI"	"0.96"	"0.95"	"0.96"	4.5	4.25
"llc"	"Cell_BLAST"	"0.94"	"0.93"	"0.94"	7.5	19.5
"llc"	"SingleCellNet"	"0.94"	"0.94"	"0.95"	7.5	4.5
"llc"	"LAmbDA"	"0.55"	"0.55"	"0.56"	18	14.5
"llc"	"scPred"	"0.96"	"0.96"	"0.96"	4.5	4.25
"llc"	"CaSTLe"	"0.95"	"0.95"	"0.95"	6	7.25
"llc"	"CHETAH"	"0.64"	"0.63"	"0.64"	15	16.75
"llc"	"scID"	"0.51"	"0.5"	"0.52"	19	20
"llc"	"scmapcell"	"0.82"	"0.82"	"0.83"	13	16.25
"llc"	"scmapcluster"	"0.58"	"0.57"	"0.58"	16	22.5
"llc"	"singleR"	"0.76"	"0.75"	"0.77"	14	9.5
"peng"	"cibersort"	"0.93"	"0.92"	"0.93"	12.5	22
"peng"	"gsea"	"0.03"	"0.03"	"0.03"	23	17.75
"peng"	"gsva"	"0.93"	"0.93"	"0.93"	12.5	20
"peng"	"metaneighbor"	"0.79"	"0.79"	"0.8"	19	20.5
"peng"	"ora"	"0.93"	"0.92"	"0.93"	12.5	16.25
"peng"	"adobo"	"0.5"	"0.49"	"0.5"	21	23.25
"peng"	"sccatch"				25	25
"peng"	"SVM"	"0.97"	"0.97"	"0.97"	3.5	3.25
"peng"	"SVMrej"	"0.97"	"0.97"	"0.97"	3.5	3.75
"peng"	"RF"	"0.95"	"0.95"	"0.96"	8	9.25
"peng"	"LDA"				25	11.75
"peng"	"LDArej"				25	11.75
"peng"	"NMC"	"0.63"	"0.62"	"0.63"	20	16.75
"peng"	"kNN9"	"0.93"	"0.93"	"0.93"	12.5	15
"peng"	"ACTINN"	"0.97"	"0.97"	"0.97"	3.5	4.5
"peng"	"scVI"	"0.98"	"0.98"	"0.98"	1	4.25
"peng"	"Cell_BLAST"	"0.96"	"0.96"	"0.96"	6	19.5
"peng"	"SingleCellNet"	"0.95"	"0.95"	"0.96"	8	4.5
"peng"	"LAmbDA"	"0.89"	"0.89"	"0.9"	17	14.5
"peng"	"scPred"	"0.97"	"0.97"	"0.98"	3.5	4.25
"peng"	"CaSTLe"	"0.95"	"0.95"	"0.96"	8	7.25
"peng"	"CHETAH"	"0.81"	"0.81"	"0.82"	18	16.75
"peng"	"scID"	"0.38"	"0.37"	"0.38"	22	20
"peng"	"scmapcell"	"0.94"	"0.94"	"0.94"	10	16.25
"peng"	"scmapcluster"	"0.91"	"0.9"	"0.91"	15.5	22.5
"peng"	"singleR"	"0.91"	"0.91"	"0.92"	15.5	9.5
"vg"	"cibersort"	"0.13"	"0.13"	"0.14"	24	22
"vg"	"gsea"	"0.34"	"0.34"	"0.35"	16	17.75
"vg"	"gsva"	"0.52"	"0.51"	"0.53"	9.5	20
"vg"	"metaneighbor"	"0.5"	"0.49"	"0.51"	12	20.5
"vg"	"ora"	"0.35"	"0.34"	"0.35"	15	16.25
"vg"	"adobo"				25.5	23.25
"vg"	"sccatch"				25.5	25
"vg"	"SVM"	"0.7"	"0.69"	"0.71"	3.5	3.25
"vg"	"SVMrej"	"0.52"	"0.51"	"0.53"	9.5	3.75
"vg"	"RF"	"0.61"	"0.6"	"0.61"	7	9.25
"vg"	"LDA"	"0.3"	"0.29"	"0.31"	19.5	11.75
"vg"	"LDArej"	"0.3"	"0.29"	"0.31"	19.5	11.75
"vg"	"NMC"	"0.31"	"0.3"	"0.32"	18	16.75
"vg"	"kNN9"	"0.48"	"0.47"	"0.49"	14	15
"vg"	"ACTINN"	"0.69"	"0.68"	"0.7"	5.5	4.5
"vg"	"scVI"	"0.78"	"0.78"	"0.79"	1	4.25
"vg"	"Cell_BLAST"	"0.56"	"0.55"	"0.57"	8	19.5
"vg"	"SingleCellNet"	"0.7"	"0.69"	"0.71"	3.5	4.5
"vg"	"LAmbDA"	"0.51"	"0.5"	"0.52"	11	14.5
"vg"	"scPred"	"0.71"	"0.7"	"0.72"	2	4.25
"vg"	"CaSTLe"	"0.69"	"0.68"	"0.7"	5.5	7.25
"vg"	"CHETAH"	"0.33"	"0.32"	"0.34"	17	16.75
"vg"	"scID"	"0.18"	"0.17"	"0.18"	23	20
"vg"	"scmapcell"	"0.25"	"0.24"	"0.25"	21	16.25
"vg"	"scmapcluster"	"0.19"	"0.18"	"0.19"	22	22.5
"vg"	"singleR"	"0.49"	"0.48"	"0.5"	13	9.5
